0
Classical monocytes
CD4 memory
CD4 memory
Naive B
CD4 memory
Regulatory T cells
CD8 naive
Classical monocytes
MAIT-NKT cells
CD4 memory
CD4 and CD8 activated memory
CD4 memory
CD4 naive I
MAIT-NKT cells
Classical monocytes
CD4 memory
CD8 naive
Non classical monocytes
CD56dim CD16bright NK
CD4 naive I
CD8 effector
CD8 effector
CD8 memory
CD4 naive I
CD56dim CD16bright NK
CD8 naive
CD8 memory
Naive B
CD56dim CD16bright NK
Platelet-bound monocytes
CD4 memory
CD56dim CD16bright NK
CD8 memory
CD56dim CD16bright NK
CD4 memory
CD8 effector
CD56dim CD16bright NK
CD8 effector
CD4 memory
Classical monocytes
CD4 memory
CD8 naive
CD4 naive II
CD8 effector
CD4 memory
CD4 naive I
MAIT-NKT cells
CD4 memory
CD8 naive
CD8 memory
CD4 memory
CD8 naive
CD8 effector
CD8 effector
CD56dim CD16bright NK
CD8 memory
CD4 naive I
CD4 memory
CD4 naive I
Non classical monocytes
CD56dim CD16bright NK
CD56dim CD16bright NK
Regulatory T cells
Classical monocytes
Non classical monocytes
Naive B
CD56dim CD16bright NK
CD4 memory
CD56dim CD16bright NK
Naive B
NK-T doublets
CD8 effector
CD8 memory
CD4 naive I
CD8 effector
CD4 naive I
CD4 memory
CD56dim CD16bright NK
CD4 naive I
CD4 memory
plasmacytoid DC
CD56dim CD16bright NK
CD56dim CD16bright NK
CD8 naive
CD4 naive I
CD56dim CD16bright NK
CD4 memory
CD8 memory
CD4 naive I
CD4 memory
Platelet-bound monocytes
Classical monocytes
CD4 naive I
CD4 naive I
gdT cells
MAIT-NKT cells
CD4 naive I
Classical monocytes
CD8 naive
Naive B
T-NK-B cell doublets
CD4 and CD8 activated memory
CD4 memory
CD4 memory
gdT cells
CD8 effector
CD4 memory
CD4 naive I
Platelet-bound monocytes
CD4 naive I
MAIT-NKT cells
NK-T doublets
CD8 naive
CD8 effector
CD4 naive I
Classical monocytes
CD4 memory
CD4 memory
MAIT-NKT cells
MAIT-NKT cells
CD4 naive II
CD4 naive II
Naive B
CD56bright CD16dim NK
CD4 naive I
Naive B
CD4 memory
CD4 memory
CD4 memory
MAIT-NKT cells
CD4 naive I
CD8 naive
Classical monocytes
CD4 memory
Naive B
CD56dim CD16bright NK
MAIT-NKT cells
Classical monocytes
CD8 memory
CD4 memory
CD4 naive I
CD4 memory
CD56dim CD16bright NK
CD8 memory
CD8 effector
CD8 naive
CD56dim CD16bright NK
MAIT-NKT cells
Platelet-bound monocytes
CD4 memory
Memory B
CD56dim CD16bright NK
Platelet-bound monocytes
CD4 naive I
CD8 effector
CD56bright CD16dim NK
CD4 memory
CD56dim CD16bright NK
CD56dim CD16bright NK
CD4 naive I
CD4 memory
CD4 memory
CD4 memory
MAIT-NKT cells
CD4 memory
CD4 naive I
MAIT-NKT cells
CD8 memory
CD8 effector
MAIT-NKT cells
CD8 memory
Proliferating T and NK cell
MAIT-NKT cells
CD4 naive I
CD8 memory
CD4 memory
CD56dim CD16bright NK
Platelet-bound monocytes
CD4 memory
MAIT-NKT cells
Naive B
NK-T doublets
conventional DC
CD8 memory
CD4 memory
Memory B
CD8 effector
gdT cells
MAIT-NKT cells
CD4 memory
CD4 memory
CD8 naive
CD4 naive I
CD4 memory
Non classical monocytes
MAIT-NKT cells
CD8 effector
CD4 naive I
CD56dim CD16bright NK
MAIT-NKT cells
CD4 naive II
CD4 naive I
Neutrophils
Platelet-bound monocytes
CD8 effector
Non classical monocytes
CD4 memory
Naive B
CD4 memory
CD56dim CD16bright NK
CD8 effector
CD8 memory
CD4 naive II
MAIT-NKT cells
Naive B
MAIT-NKT cells
MAIT-NKT cells
CD4 memory
CD4 naive I
Memory B
CD8 memory
Proliferating T and NK cell
CD4 memory
Memory B
CD8 memory
Memory B
CD4 memory
CD8 naive
Non classical monocytes
CD8 effector
Naive B
MAIT-NKT cells
Naive B
CD4 memory
Classical monocytes
CD8 naive
CD56bright CD16dim NK
CD8 memory
CD8 effector
CD4 memory
CD4 and CD8 activated memory
CD8 effector
Regulatory T cells
CD4 memory
CD4 memory
CD4 memory
CD4 memory
T-NK-B cell doublets
MAIT-NKT cells
CD4 naive I
Regulatory T cells
Platelets
gdT cells
MAIT-NKT cells
CD4 naive II
CD4 memory
CD56dim CD16bright NK
CD8 memory
Classical monocytes
CD8 effector
MAIT-NKT cells
CD56dim CD16bright NK
MAIT-NKT cells
CD4 memory
CD4 memory
CD4 naive I
CD4 memory
CD8 naive
Classical monocytes
Classical monocytes
MAIT-NKT cells
Classical monocytes
CD4 memory
CD8 naive
CD8 effector
CD4 naive I
CD8 effector
CD56dim CD16bright NK
CD4 memory
CD8 memory
Naive B
CD8 effector
CD8 memory
CD4 naive I
Neutrophils
CD4 naive I
CD4 naive I
CD4 naive I
CD4 naive I
CD4 naive I
Neutrophils
CD4 naive I
Naive B
CD8 effector
CD8 memory
CD56dim CD16bright NK
Memory B
CD4 naive I
plasmacytoid DC
Regulatory T cells
CD4 naive I
CD8 effector
MAIT-NKT cells
CD8 naive
CD8 memory
CD8 naive
CD4 naive I
CD4 and CD8 activated memory
Classical monocytes
CD8 effector
CD4 naive I
Naive B
CD8 naive
CD4 naive I
CD56dim CD16bright NK
Classical monocytes
Classical monocytes
CD56dim CD16bright NK
CD56dim CD16bright NK
CD8 memory
Naive B
CD56dim CD16bright NK
CD8 naive
CD8 effector
CD4 memory
T-NK-B cell doublets
CD4 memory
CD8 memory
CD8 memory
Classical monocytes
MAIT-NKT cells
CD4 memory
CD4 naive I
CD8 naive
CD4 memory
CD56dim CD16bright NK
Classical monocytes
Classical monocytes
gdT cells
Non classical monocytes
CD4 memory
CD4 naive I
CD4 naive I
Naive B
CD4 memory
CD8 effector
CD8 memory
CD4 naive I
CD4 memory
CD56dim CD16bright NK
CD4 memory
MAIT-NKT cells
CD4 memory
CD4 memory
CD4 memory
MAIT-NKT cells
CD4 memory
CD4 memory
CD8 effector
CD4 naive I
CD4 memory
CD56bright CD16dim NK
CD8 memory
Naive B
CD56dim CD16bright NK
Platelet-bound monocytes
CD4 memory
MAIT-NKT cells
CD4 naive I
MAIT-NKT cells
MAIT-NKT cells
CD4 memory
CD4 naive II
CD56bright CD16dim NK
CD4 naive I
CD4 memory
CD56dim CD16bright NK
MAIT-NKT cells
CD8 naive
CD56dim CD16bright NK
CD8 effector
CD4 memory
CD4 memory
CD4 memory
CD4 memory
Memory B
Classical monocytes
CD8 memory
CD56dim CD16bright NK
CD56dim CD16bright NK
CD4 naive II
CD8 naive
gdT cells
CD8 memory
Classical monocytes
MAIT-NKT cells
CD4 memory
CD8 effector
CD8 memory
Naive B
Memory B
CD56dim CD16bright NK
CD4 naive I
MAIT-NKT cells
CD8 effector
NK-T doublets
CD8 effector
CD56dim CD16bright NK
MAIT-NKT cells
CD4 naive I
CD56dim CD16bright NK
CD4 memory
gdT cells
CD8 effector
CD4 memory
MAIT-NKT cells
CD4 memory
CD4 naive I
Memory B
CD8 naive
MAIT-NKT cells
CD8 memory
CD56dim CD16bright NK
CD56dim CD16bright NK
CD4 memory
CD4 memory
CD8 effector
Platelet-bound monocytes
CD8 memory
CD8 naive
CD8 effector
Platelet-bound monocytes
CD8 naive
Non classical monocytes
CD4 memory
MAIT-NKT cells
MAIT-NKT cells
CD8 naive
Classical monocytes
CD56bright CD16dim NK
Classical monocytes
CD4 memory
CD4 memory
CD56dim CD16bright NK
CD4 memory
CD56dim CD16bright NK
CD4 memory
CD56dim CD16bright NK
CD8 effector
CD4 memory
Classical monocytes
CD8 effector
CD56bright CD16dim NK
Non classical monocytes
conventional DC
CD4 naive I
T-NK-B cell doublets
CD8 memory
CD8 naive
Classical monocytes
Classical monocytes
MAIT-NKT cells
CD56dim CD16bright NK
conventional DC
Classical monocytes
CD4 naive I
CD4 naive I
CD4 memory
CD4 memory
Memory B
CD4 memory
Naive B
CD8 memory
MAIT-NKT cells
MAIT-NKT cells
T-NK-B cell doublets
CD8 naive
MAIT-NKT cells
Memory B
CD56dim CD16bright NK
Neutrophils
CD4 naive I
Non classical monocytes
MAIT-NKT cells
CD4 memory
CD56dim CD16bright NK
CD4 memory
CD4 naive I
CD4 memory
CD8 naive
CD4 memory
CD8 effector
CD56dim CD16bright NK
CD4 memory
CD8 memory
CD8 naive
CD4 naive I
CD4 memory
CD4 memory
CD8 memory
CD4 naive II
CD4 memory
Memory B
CD4 memory
CD8 memory
CD4 naive I
CD4 naive I
CD8 naive
Classical monocytes
CD8 naive
CD4 memory
CD4 naive I
Classical monocytes
CD8 memory
MAIT-NKT cells
MAIT-NKT cells
CD4 memory
CD4 naive I
CD4 and CD8 activated memory
CD4 memory
CD8 effector
CD4 memory
CD8 effector
CD4 naive II
CD8 naive
Classical monocytes
CD4 memory
CD4 memory
CD8 effector
CD4 memory
CD8 memory
CD8 naive
CD4 memory
MAIT-NKT cells
CD56dim CD16bright NK
CD4 memory
CD4 memory
Naive B
CD8 effector
CD4 memory
CD4 memory
CD4 memory
CD56dim CD16bright NK
Regulatory T cells
MAIT-NKT cells
Non classical monocytes
CD8 memory
CD8 effector
CD4 naive I
Memory B
CD4 naive II
CD4 naive I
MAIT-NKT cells
CD8 effector
Classical monocytes
MAIT-NKT cells
CD56dim CD16bright NK
CD56dim CD16bright NK
MAIT-NKT cells
CD4 memory
gdT cells
CD8 effector
CD4 and CD8 activated memory
CD4 memory
CD4 memory
CD4 naive I
gdT cells
CD4 naive I
Naive B
Platelet-bound monocytes
CD8 memory
CD8 naive
CD8 memory
MAIT-NKT cells
CD8 memory
CD4 memory
CD4 memory
CD8 effector
CD8 naive
CD8 effector
gdT cells
gdT cells
CD4 memory
CD8 naive
CD56bright CD16dim NK
CD4 naive I
CD4 naive II
CD4 naive I
CD8 naive
CD4 memory
CD4 memory
Regulatory T cells
Classical monocytes
NK-T doublets
Classical monocytes
CD8 effector
Classical monocytes
Classical monocytes
MAIT-NKT cells
CD8 memory
MAIT-NKT cells
CD8 naive
CD4 memory
CD4 naive I
CD4 memory
plasmacytoid DC
MAIT-NKT cells
CD8 memory
CD56dim CD16bright NK
CD8 naive
CD56dim CD16bright NK
conventional DC
CD56dim CD16bright NK
CD4 memory
CD4 naive I
CD8 effector
CD8 effector
Regulatory T cells
Memory B
T-NK-B cell doublets
Classical monocytes
CD4 memory
CD56dim CD16bright NK
CD56dim CD16bright NK
T-NK-B cell doublets
CD4 naive I
CD8 effector
Non classical monocytes
MAIT-NKT cells
Naive B
Naive B
CD4 memory
Neutrophils
MAIT-NKT cells
CD4 memory
CD4 naive I
CD8 effector
CD4 memory
CD56dim CD16bright NK
CD4 naive I
MAIT-NKT cells
gdT cells
Classical monocytes
Regulatory T cells
CD4 memory
T-NK-B cell doublets
CD4 memory
CD8 effector
CD56dim CD16bright NK
CD8 memory
gdT cells
CD4 memory
CD4 memory
Naive B
CD4 naive I
CD4 memory
CD4 memory
CD8 naive
Naive B
CD4 memory
CD8 naive
CD8 naive
CD8 effector
CD4 memory
Non classical monocytes
CD4 memory
CD4 memory
CD4 memory
CD4 memory
CD8 memory
Classical monocytes
CD4 memory
Platelet-bound monocytes
CD4 memory
CD8 effector
Non classical monocytes
CD56dim CD16bright NK
CD8 effector
CD56dim CD16bright NK
CD8 effector
T-NK-B cell doublets
CD8 memory
CD8 naive
Non classical monocytes
CD8 naive
CD4 memory
CD4 memory
CD8 memory
Platelet-bound monocytes
CD56dim CD16bright NK
Classical monocytes
MAIT-NKT cells
Classical monocytes
CD8 effector
Neutrophils
Classical monocytes
MAIT-NKT cells
Memory B
CD8 naive
CD8 naive
CD8 effector
CD4 memory
gdT cells
MAIT-NKT cells
MAIT-NKT cells
CD4 memory
Neutrophils
MAIT-NKT cells
CD4 naive II
CD4 memory
CD8 effector
CD4 naive I
CD56dim CD16bright NK
CD8 memory
CD8 effector
CD8 effector
CD8 memory
Regulatory T cells
CD8 naive
Classical monocytes
CD8 naive
Memory B
CD4 naive I
plasmacytoid DC
CD4 memory
CD8 memory
CD8 effector
Neutrophils
Memory B
Neutrophils
CD4 memory
CD4 naive I
CD4 memory
CD4 memory
CD4 naive II
CD4 memory
Non classical monocytes
NK-T doublets
Classical monocytes
CD8 memory
CD56bright CD16dim NK
CD8 naive
CD4 naive II
CD4 naive I
CD8 effector
CD4 memory
Memory B
CD8 memory
Non classical monocytes
CD4 naive I
CD4 naive I
CD4 and CD8 activated memory
Classical monocytes
MAIT-NKT cells
Naive B
CD4 memory
CD4 naive I
Memory B
CD8 naive
CD4 memory
CD8 memory
CD8 memory
CD4 naive I
CD4 naive I
CD8 effector
T-NK-B cell doublets
Regulatory T cells
CD4 memory
CD8 effector
CD4 naive I
CD8 memory
CD8 effector
Classical monocytes
Classical monocytes
CD56dim CD16bright NK
CD4 memory
CD56dim CD16bright NK
gdT cells
CD8 effector
CD8 effector
Platelets
MAIT-NKT cells
CD8 naive
CD4 naive II
CD4 naive I
CD4 naive II
Naive B
CD4 memory
CD4 naive I
Classical monocytes
CD8 effector
CD4 memory
CD4 naive II
CD4 memory
CD4 memory
CD4 naive I
CD8 naive
CD8 naive
CD4 memory
CD4 memory
gdT cells
CD8 effector
MAIT-NKT cells
CD4 memory
CD8 memory
CD8 memory
MAIT-NKT cells
CD8 naive
Naive B
CD4 memory
CD56dim CD16bright NK
CD4 memory
CD8 memory
CD4 memory
CD8 effector
CD8 effector
Naive B
Classical monocytes
CD8 effector
CD8 naive
Platelet-bound monocytes
CD4 memory
Classical monocytes
CD8 effector
CD4 naive I
CD56dim CD16bright NK
CD4 and CD8 activated memory
CD56dim CD16bright NK
CD8 effector
MAIT-NKT cells
MAIT-NKT cells
CD56dim CD16bright NK
CD8 memory
CD8 effector
CD4 memory
MAIT-NKT cells
MAIT-NKT cells
CD4 naive I
CD4 naive I
T-NK-B cell doublets
CD4 memory
Classical monocytes
gdT cells
CD4 naive I
MAIT-NKT cells
CD4 memory
MAIT-NKT cells
Memory B
CD4 and CD8 activated memory
MAIT-NKT cells
gdT cells
Classical monocytes
CD4 naive I
Neutrophils
CD56dim CD16bright NK
CD8 effector
CD4 naive I
CD8 effector
CD4 memory
CD8 memory
CD4 memory
CD56dim CD16bright NK
CD4 naive I
MAIT-NKT cells
CD4 naive II
CD4 naive II
CD8 naive
CD4 naive I
CD4 memory
Platelets
CD4 naive I
CD8 naive
T-NK-B cell doublets
CD4 memory
CD4 memory
CD4 memory
CD4 memory
CD4 memory
CD4 naive II
MAIT-NKT cells
Naive B
CD8 naive
CD56dim CD16bright NK
Classical monocytes
T-NK-B cell doublets
Naive B
CD8 memory
MAIT-NKT cells
CD8 effector
CD8 memory
CD56dim CD16bright NK
Classical monocytes
CD4 memory
Classical monocytes
CD4 memory
T-NK-B cell doublets
CD4 memory
CD56dim CD16bright NK
Memory B
CD8 memory
CD8 memory
CD4 naive I
Classical monocytes
MAIT-NKT cells
CD8 effector
CD8 naive
CD8 effector
CD8 naive
CD4 memory
CD8 naive
CD8 naive
CD56dim CD16bright NK
CD4 memory
Memory B
MAIT-NKT cells
Regulatory T cells
CD4 naive I
Classical monocytes
MAIT-NKT cells
CD8 memory
MAIT-NKT cells
Platelets
CD4 naive I
CD56dim CD16bright NK
CD4 memory
CD8 memory
CD8 naive
MAIT-NKT cells
CD8 naive
CD4 memory
MAIT-NKT cells
CD4 naive I
Memory B
CD4 naive I
CD4 memory
CD56dim CD16bright NK
CD4 naive I
Memory B
CD56dim CD16bright NK
CD4 memory
gdT cells
Naive B
CD8 effector
Classical monocytes
CD4 naive I
CD8 effector
CD4 memory
CD8 effector
CD8 memory
CD56bright CD16dim NK
CD4 memory
CD8 naive
CD4 memory
gdT cells
CD8 naive
Regulatory T cells
CD4 memory
CD8 memory
CD8 memory
CD4 memory
CD4 memory
CD8 effector
Naive B
CD4 naive I
CD4 memory
MAIT-NKT cells
CD8 naive
CD4 naive I
Neutrophils
MAIT-NKT cells
CD56dim CD16bright NK
CD4 memory
CD56dim CD16bright NK
