"","x"
"1","CD4 memory"
"2","CD4 naive II"
"3","gdT cells"
"4","CD8 naive"
"5","CD4 memory"
"6","CD8 effector"
"7","CD4 memory"
"8","CD4 naive I"
"9","CD56dim CD16bright NK"
"10","CD8 effector"
"11","CD56dim CD16bright NK"
"12","Classical monocytes"
"13","CD4 naive II"
"14","CD56dim CD16bright NK"
"15","CD56dim CD16bright NK"
"16","CD8 memory"
"17","gdT cells"
"18","CD8 memory"
"19","CD56bright CD16dim NK"
"20","CD56dim CD16bright NK"
"21","gdT cells"
"22","CD56dim CD16bright NK"
"23","Classical monocytes"
"24","Neutrophils"
"25","Platelet-bound monocytes"
"26","CD8 naive"
"27","CD8 naive"
"28","CD4 naive I"
"29","CD8 effector"
"30","CD4 naive I"
"31","CD4 naive I"
"32","CD8 effector"
"33","CD4 memory"
"34","Neutrophils"
"35","T-NK-B cell doublets"
"36","MAIT-NKT cells"
"37","CD8 memory"
"38","CD8 naive"
"39","CD8 effector"
"40","CD8 effector"
"41","MAIT-NKT cells"
"42","CD8 effector"
"43","CD8 effector"
"44","CD8 effector"
"45","Platelets"
"46","NK-T doublets"
"47","CD4 naive II"
"48","Classical monocytes"
"49","CD8 effector"
"50","CD8 memory"
"51","CD56dim CD16bright NK"
"52","CD56dim CD16bright NK"
"53","CD4 naive I"
"54","CD4 memory"
"55","Non classical monocytes"
"56","CD56dim CD16bright NK"
"57","CD8 effector"
"58","Non classical monocytes"
"59","Classical monocytes"
"60","CD4 naive I"
"61","CD8 naive"
"62","Classical monocytes"
"63","CD4 naive I"
"64","Classical monocytes"
"65","CD8 naive"
"66","CD4 naive II"
"67","MAIT-NKT cells"
"68","CD8 naive"
"69","CD56dim CD16bright NK"
"70","CD4 memory"
"71","CD4 naive II"
"72","CD4 naive II"
"73","Classical monocytes"
"74","CD8 effector"
"75","CD8 naive"
"76","CD56dim CD16bright NK"
"77","CD8 memory"
"78","Naive B"
"79","MAIT-NKT cells"
"80","Classical monocytes"
"81","CD8 naive"
"82","CD56dim CD16bright NK"
"83","CD4 naive I"
"84","Classical monocytes"
"85","CD4 memory"
"86","CD8 effector"
"87","CD8 naive"
"88","CD4 memory"
"89","CD4 memory"
"90","CD8 effector"
"91","CD8 naive"
"92","CD4 naive I"
"93","NK-T doublets"
"94","Non classical monocytes"
"95","CD8 effector"
"96","CD8 memory"
"97","Proliferating T and NK cell"
"98","CD4 memory"
"99","CD4 memory"
"100","CD4 naive I"
"101","CD8 effector"
"102","CD4 memory"
"103","CD8 effector"
"104","CD4 naive II"
"105","CD4 memory"
"106","CD56dim CD16bright NK"
"107","CD4 naive I"
"108","Proliferating T and NK cell"
"109","CD8 effector"
"110","CD4 naive I"
"111","CD4 naive I"
"112","CD8 effector"
"113","CD4 memory"
"114","CD4 naive II"
"115","CD56dim CD16bright NK"
"116","CD8 naive"
"117","CD4 naive I"
"118","CD8 effector"
"119","CD56dim CD16bright NK"
"120","Classical monocytes"
"121","CD8 effector"
"122","CD4 naive I"
"123","Classical monocytes"
"124","CD4 memory"
"125","MAIT-NKT cells"
"126","CD4 memory"
"127","CD8 naive"
"128","CD4 memory"
"129","CD4 naive I"
"130","CD4 memory"
"131","NK-T doublets"
"132","CD4 naive I"
"133","CD4 memory"
"134","CD4 naive II"
"135","CD8 effector"
"136","CD4 memory"
"137","CD4 naive I"
"138","CD4 naive I"
"139","Classical monocytes"
"140","CD8 effector"
"141","CD4 memory"
"142","CD8 naive"
"143","NK-T doublets"
"144","conventional DC"
"145","CD4 memory"
"146","CD4 memory"
"147","CD4 naive II"
"148","CD8 effector"
"149","CD8 effector"
"150","CD8 effector"
"151","Classical monocytes"
"152","CD4 naive I"
"153","CD4 naive I"
"154","CD56dim CD16bright NK"
"155","gdT cells"
"156","CD8 effector"
"157","T-NK-B cell doublets"
"158","CD8 naive"
"159","CD8 effector"
"160","Classical monocytes"
"161","CD8 effector"
"162","Classical monocytes"
"163","CD4 naive II"
"164","CD8 memory"
"165","CD56dim CD16bright NK"
"166","CD8 naive"
"167","CD4 memory"
"168","CD4 naive I"
"169","Classical monocytes"
"170","CD4 naive II"
"171","Platelet-bound monocytes"
"172","CD4 memory"
"173","CD4 naive II"
"174","CD8 effector"
"175","Non classical monocytes"
"176","CD8 naive"
"177","CD8 effector"
"178","CD4 naive I"
"179","CD8 memory"
"180","CD4 memory"
"181","gdT cells"
"182","Classical monocytes"
"183","CD8 effector"
"184","CD8 effector"
"185","CD8 effector"
"186","CD4 naive I"
"187","CD4 memory"
"188","CD4 memory"
"189","gdT cells"
"190","CD4 naive I"
"191","CD8 naive"
"192","CD56dim CD16bright NK"
"193","CD4 naive II"
"194","Classical monocytes"
"195","CD4 memory"
"196","CD4 naive I"
"197","CD4 naive I"
"198","CD4 memory"
"199","Naive B"
"200","Classical monocytes"
"201","T-NK-B cell doublets"
"202","CD56dim CD16bright NK"
"203","CD8 effector"
"204","CD8 effector"
"205","CD4 naive I"
"206","MAIT-NKT cells"
"207","Classical monocytes"
"208","CD4 naive I"
"209","Classical monocytes"
"210","CD4 memory"
"211","CD8 memory"
"212","CD56dim CD16bright NK"
"213","CD4 naive I"
"214","CD8 effector"
"215","CD4 memory"
"216","CD4 naive II"
"217","Neutrophils"
"218","CD4 memory"
"219","Regulatory T cells"
"220","CD4 naive I"
"221","CD4 memory"
"222","CD8 effector"
"223","MAIT-NKT cells"
"224","CD8 effector"
"225","CD4 naive I"
"226","Classical monocytes"
"227","Classical monocytes"
"228","CD8 memory"
"229","CD8 effector"
"230","Platelet-bound monocytes"
"231","CD56dim CD16bright NK"
"232","CD8 memory"
"233","CD4 memory"
"234","CD8 effector"
"235","CD4 naive II"
"236","CD4 memory"
"237","CD4 memory"
"238","MAIT-NKT cells"
"239","CD8 effector"
"240","CD8 effector"
"241","MAIT-NKT cells"
"242","CD4 naive I"
"243","CD4 memory"
"244","CD4 naive I"
"245","CD56dim CD16bright NK"
"246","gdT cells"
"247","Classical monocytes"
"248","CD4 naive I"
"249","CD4 naive I"
"250","CD4 naive I"
"251","CD4 naive I"
"252","CD4 naive II"
"253","CD56dim CD16bright NK"
"254","CD56dim CD16bright NK"
"255","Proliferating T and NK cell"
"256","CD4 naive I"
"257","CD4 memory"
"258","CD56dim CD16bright NK"
"259","CD8 naive"
"260","CD56dim CD16bright NK"
"261","CD4 naive I"
"262","CD4 memory"
"263","CD8 effector"
"264","CD4 naive I"
"265","CD4 naive I"
"266","CD4 naive I"
"267","CD56dim CD16bright NK"
"268","Classical monocytes"
"269","CD4 naive II"
"270","CD4 naive I"
"271","CD56dim CD16bright NK"
"272","Proliferating T and NK cell"
"273","CD4 naive II"
"274","CD8 naive"
"275","Non classical monocytes"
"276","CD4 naive II"
"277","CD4 memory"
"278","Neutrophils"
"279","CD4 memory"
"280","CD8 effector"
"281","CD4 naive II"
"282","Naive B"
"283","CD56dim CD16bright NK"
"284","Classical monocytes"
"285","CD4 memory"
"286","CD56dim CD16bright NK"
"287","NK-T doublets"
"288","CD4 naive I"
"289","Non classical monocytes"
"290","CD8 naive"
"291","Non classical monocytes"
"292","CD8 effector"
"293","CD4 memory"
"294","MAIT-NKT cells"
"295","CD4 memory"
"296","CD4 naive I"
"297","CD4 naive I"
"298","Classical monocytes"
"299","CD56dim CD16bright NK"
"300","CD8 effector"
"301","CD8 effector"
"302","CD8 effector"
"303","CD4 memory"
"304","CD56dim CD16bright NK"
"305","gdT cells"
"306","NK-monocyte doublets"
"307","Non classical monocytes"
"308","gdT cells"
"309","CD8 effector"
"310","CD4 naive I"
"311","CD8 effector"
"312","CD56dim CD16bright NK"
"313","Classical monocytes"
"314","Classical monocytes"
"315","CD4 naive I"
"316","CD4 naive I"
"317","gdT cells"
"318","CD4 naive I"
"319","CD8 naive"
"320","Non classical monocytes"
"321","Non classical monocytes"
"322","CD56dim CD16bright NK"
"323","CD8 naive"
"324","CD8 effector"
"325","CD4 naive II"
"326","gdT cells"
"327","CD4 memory"
"328","Classical monocytes"
"329","CD8 effector"
"330","CD8 effector"
"331","CD56dim CD16bright NK"
"332","CD4 naive I"
"333","CD8 effector"
"334","CD4 memory"
"335","Non classical monocytes"
"336","Classical monocytes"
"337","T-NK-B cell doublets"
"338","CD4 memory"
"339","CD8 naive"
"340","CD56dim CD16bright NK"
"341","NK-T doublets"
"342","CD4 naive II"
"343","CD4 memory"
"344","Proliferating T and NK cell"
"345","Naive B"
"346","conventional DC"
"347","gdT cells"
"348","CD4 naive I"
"349","CD8 naive"
"350","CD4 memory"
"351","Naive B"
"352","CD4 naive I"
"353","CD4 memory"
"354","CD4 memory"
"355","CD4 memory"
"356","CD56bright CD16dim NK"
"357","CD8 memory"
"358","CD4 naive II"
"359","CD4 memory"
"360","CD56dim CD16bright NK"
"361","NK-monocyte doublets"
"362","CD8 effector"
"363","CD8 effector"
"364","CD4 naive I"
"365","CD4 naive II"
"366","CD8 memory"
"367","CD4 naive II"
"368","CD8 effector"
"369","CD56dim CD16bright NK"
"370","Non classical monocytes"
"371","Classical monocytes"
"372","CD4 naive II"
"373","CD4 memory"
"374","CD56dim CD16bright NK"
"375","Classical monocytes"
"376","Classical monocytes"
"377","CD4 naive II"
"378","CD8 naive"
"379","Classical monocytes"
"380","CD8 naive"
"381","plasmacytoid DC"
"382","conventional DC"
"383","CD4 naive II"
"384","Platelet-bound monocytes"
"385","CD8 memory"
"386","Platelet-bound monocytes"
"387","CD8 naive"
"388","CD8 effector"
"389","CD8 naive"
"390","CD8 memory"
"391","CD8 effector"
"392","CD56dim CD16bright NK"
"393","CD4 naive I"
"394","CD4 memory"
"395","CD4 naive I"
"396","CD4 memory"
"397","Non classical monocytes"
"398","CD8 naive"
"399","Regulatory T cells"
"400","CD4 memory"
"401","CD8 effector"
"402","Classical monocytes"
"403","Neutrophils"
"404","CD8 effector"
"405","CD8 effector"
"406","CD4 memory"
"407","CD8 naive"
"408","Classical monocytes"
"409","CD4 naive I"
"410","CD4 memory"
"411","CD8 effector"
"412","Neutrophils"
"413","CD4 naive I"
"414","CD8 effector"
"415","CD4 naive I"
"416","CD4 naive I"
"417","CD56dim CD16bright NK"
"418","CD8 effector"
"419","gdT cells"
"420","MAIT-NKT cells"
"421","CD8 memory"
"422","Non classical monocytes"
"423","CD8 naive"
"424","CD4 naive II"
"425","CD8 naive"
"426","CD8 effector"
"427","Classical monocytes"
"428","CD4 naive II"
"429","gdT cells"
"430","CD8 memory"
"431","Naive B"
"432","CD4 naive I"
"433","CD56dim CD16bright NK"
"434","MAIT-NKT cells"
"435","CD8 effector"
"436","gdT cells"
"437","CD4 naive I"
"438","CD4 and CD8 activated memory"
"439","CD8 memory"
"440","Regulatory T cells"
"441","CD4 naive I"
"442","CD8 effector"
"443","CD4 memory"
"444","CD4 memory"
"445","CD4 naive I"
"446","CD8 naive"
"447","CD8 naive"
"448","CD8 effector"
"449","Classical monocytes"
"450","CD8 effector"
"451","CD4 naive I"
"452","Non classical monocytes"
"453","Platelets"
"454","MAIT-NKT cells"
"455","Classical monocytes"
"456","CD4 memory"
"457","CD8 naive"
"458","Platelet-bound monocytes"
"459","CD4 memory"
"460","CD4 memory"
"461","CD8 effector"
"462","CD56dim CD16bright NK"
"463","CD56dim CD16bright NK"
"464","CD8 effector"
"465","CD56dim CD16bright NK"
"466","Memory B"
"467","CD4 and CD8 activated memory"
"468","CD56dim CD16bright NK"
"469","conventional DC"
"470","Neutrophils"
"471","Classical monocytes"
"472","Non classical monocytes"
"473","CD56dim CD16bright NK"
"474","Naive B"
"475","CD4 memory"
"476","CD8 naive"
"477","CD4 naive I"
"478","Classical monocytes"
"479","CD4 memory"
"480","CD4 memory"
"481","CD8 memory"
"482","T-NK-B cell doublets"
"483","CD8 effector"
"484","CD4 naive II"
"485","conventional DC"
"486","Non classical monocytes"
"487","CD56bright CD16dim NK"
"488","CD4 naive I"
"489","CD8 effector"
"490","CD8 naive"
"491","CD8 naive"
"492","CD8 effector"
"493","CD56dim CD16bright NK"
"494","gdT cells"
"495","Regulatory T cells"
"496","CD8 effector"
"497","CD4 naive II"
"498","CD8 effector"
"499","CD8 memory"
"500","CD4 memory"
"501","Classical monocytes"
"502","CD4 naive II"
"503","NK-T doublets"
"504","CD8 naive"
"505","CD4 memory"
"506","Classical monocytes"
"507","Neutrophils"
"508","gdT cells"
