"","x"
"1","gdT cells"
"2","CD56dim CD16bright NK"
"3","CD4 naive I"
"4","CD56dim CD16bright NK"
"5","CD8 effector"
"6","Platelet-bound monocytes"
"7","CD56dim CD16bright NK"
"8","CD56dim CD16bright NK"
"9","gdT cells"
"10","gdT cells"
"11","NK-monocyte doublets"
"12","CD4 naive II"
"13","CD4 memory"
"14","CD4 naive I"
"15","Classical monocytes"
"16","CD8 memory"
"17","CD56bright CD16dim NK"
"18","CD4 memory"
"19","NK-T doublets"
"20","CD56bright CD16dim NK"
"21","T-NK-B cell doublets"
"22","CD56bright CD16dim NK"
"23","CD8 memory"
"24","CD4 naive I"
"25","Classical monocytes"
"26","CD4 naive I"
"27","CD56dim CD16bright NK"
"28","CD4 memory"
"29","CD8 memory"
"30","CD56dim CD16bright NK"
"31","NK-monocyte doublets"
"32","Neutrophils"
"33","Classical monocytes"
"34","CD56dim CD16bright NK"
"35","CD56dim CD16bright NK"
"36","CD8 effector"
"37","CD56dim CD16bright NK"
"38","CD56dim CD16bright NK"
"39","CD56dim CD16bright NK"
"40","Non classical monocytes"
"41","Platelet-bound monocytes"
"42","Proliferating T and NK cell"
"43","Non classical monocytes"
"44","Classical monocytes"
"45","Classical monocytes"
"46","Naive B"
"47","CD56dim CD16bright NK"
"48","CD4 naive II"
"49","T-NK-B cell doublets"
"50","CD56dim CD16bright NK"
"51","CD56dim CD16bright NK"
"52","T-NK-B cell doublets"
"53","Neutrophils"
"54","CD56dim CD16bright NK"
"55","Non classical monocytes"
"56","Memory B"
"57","CD4 naive I"
"58","gdT cells"
"59","gdT cells"
"60","NK-monocyte doublets"
"61","Classical monocytes"
"62","CD4 memory"
"63","CD8 memory"
"64","CD8 effector"
"65","CD4 naive I"
"66","Platelet-bound monocytes"
"67","CD4 memory"
"68","Non classical monocytes"
"69","CD8 naive"
"70","CD8 effector"
"71","CD4 naive I"
"72","CD8 effector"
"73","T-NK-B cell doublets"
"74","NK-T doublets"
"75","CD56dim CD16bright NK"
"76","Regulatory T cells"
"77","CD4 naive I"
"78","Classical monocytes"
"79","CD56dim CD16bright NK"
"80","CD4 naive I"
"81","gdT cells"
"82","Non classical monocytes"
"83","CD4 memory"
"84","conventional DC"
"85","CD56dim CD16bright NK"
"86","CD4 naive I"
"87","Classical monocytes"
"88","NK-T doublets"
"89","CD56dim CD16bright NK"
"90","CD4 naive II"
"91","CD8 naive"
"92","CD8 memory"
"93","CD56dim CD16bright NK"
"94","Neutrophils"
"95","CD8 naive"
"96","Non classical monocytes"
"97","Classical monocytes"
"98","CD4 naive I"
"99","CD4 naive II"
"100","Memory B"
"101","CD56bright CD16dim NK"
"102","CD56dim CD16bright NK"
"103","Non classical monocytes"
"104","CD56dim CD16bright NK"
"105","Classical monocytes"
"106","CD4 naive I"
"107","CD4 naive I"
"108","gdT cells"
"109","MAIT-NKT cells"
"110","CD4 memory"
"111","CD8 memory"
"112","Neutrophils"
"113","Neutrophils"
"114","Naive B"
"115","Platelets"
"116","CD8 memory"
"117","CD4 naive II"
"118","Neutrophils"
"119","CD4 memory"
"120","CD4 naive II"
"121","CD8 effector"
"122","conventional DC"
"123","CD4 naive I"
"124","CD56dim CD16bright NK"
"125","Classical monocytes"
"126","Classical monocytes"
"127","CD8 naive"
"128","CD4 memory"
"129","CD8 effector"
"130","CD8 naive"
"131","Classical monocytes"
"132","CD4 naive II"
"133","CD8 naive"
"134","CD4 naive II"
"135","CD56dim CD16bright NK"
"136","CD4 memory"
"137","Non classical monocytes"
"138","Classical monocytes"
"139","CD4 and CD8 activated memory"
"140","gdT cells"
"141","NK-T doublets"
"142","Classical monocytes"
"143","CD56dim CD16bright NK"
"144","CD4 naive I"
"145","CD4 naive I"
"146","CD56dim CD16bright NK"
"147","CD4 naive I"
"148","CD4 naive I"
"149","CD56dim CD16bright NK"
"150","CD4 naive I"
"151","NK-T doublets"
"152","CD56dim CD16bright NK"
"153","Platelet-bound monocytes"
"154","CD56dim CD16bright NK"
"155","CD56dim CD16bright NK"
"156","Platelet-bound monocytes"
"157","CD8 memory"
"158","CD56dim CD16bright NK"
"159","Neutrophils"
"160","Naive B"
"161","CD56dim CD16bright NK"
"162","CD4 naive II"
"163","MAIT-NKT cells"
"164","CD4 naive II"
"165","CD56dim CD16bright NK"
"166","CD56dim CD16bright NK"
"167","CD4 naive II"
"168","CD56dim CD16bright NK"
"169","NK-T doublets"
"170","Classical monocytes"
"171","CD4 memory"
"172","CD56dim CD16bright NK"
"173","Classical monocytes"
"174","MAIT-NKT cells"
"175","gdT cells"
"176","CD4 memory"
"177","CD8 naive"
"178","CD4 memory"
"179","CD56dim CD16bright NK"
"180","CD8 effector"
"181","Memory B"
"182","CD56dim CD16bright NK"
"183","CD56dim CD16bright NK"
"184","CD8 memory"
"185","Neutrophils"
"186","CD8 naive"
"187","Classical monocytes"
"188","CD8 naive"
"189","CD56dim CD16bright NK"
"190","Non classical monocytes"
"191","Non classical monocytes"
"192","CD8 effector"
"193","CD56dim CD16bright NK"
"194","CD56bright CD16dim NK"
"195","gdT cells"
"196","CD4 naive I"
"197","Naive B"
"198","CD4 memory"
"199","CD56dim CD16bright NK"
"200","MAIT-NKT cells"
"201","CD56dim CD16bright NK"
"202","CD56dim CD16bright NK"
"203","CD56dim CD16bright NK"
"204","Memory B"
"205","CD56bright CD16dim NK"
"206","Non classical monocytes"
"207","Non classical monocytes"
"208","CD4 naive I"
"209","CD56dim CD16bright NK"
"210","CD56dim CD16bright NK"
"211","CD8 memory"
"212","CD8 naive"
"213","CD8 effector"
"214","CD8 naive"
"215","CD56dim CD16bright NK"
"216","Memory B"
"217","CD56bright CD16dim NK"
"218","CD4 memory"
"219","gdT cells"
"220","CD8 memory"
"221","CD56dim CD16bright NK"
"222","CD56dim CD16bright NK"
"223","CD8 naive"
"224","T-NK-B cell doublets"
"225","CD56bright CD16dim NK"
"226","CD4 naive I"
"227","Classical monocytes"
"228","CD4 naive II"
"229","Classical monocytes"
"230","CD4 naive II"
"231","CD56dim CD16bright NK"
"232","Naive B"
"233","NK-monocyte doublets"
"234","Non classical monocytes"
"235","CD4 memory"
"236","CD56dim CD16bright NK"
"237","CD4 naive I"
"238","CD4 memory"
"239","CD56dim CD16bright NK"
"240","CD4 memory"
"241","CD4 naive I"
"242","CD8 naive"
"243","NK-T doublets"
"244","Naive B"
"245","CD56dim CD16bright NK"
"246","CD8 memory"
"247","Classical monocytes"
"248","Classical monocytes"
"249","Classical monocytes"
"250","CD8 naive"
"251","Memory B"
"252","CD4 naive II"
"253","CD56dim CD16bright NK"
"254","CD4 memory"
"255","MAIT-NKT cells"
"256","CD8 memory"
"257","CD8 effector"
"258","Classical monocytes"
"259","CD56dim CD16bright NK"
"260","CD4 naive II"
"261","Classical monocytes"
"262","CD4 naive I"
"263","CD4 memory"
"264","CD56dim CD16bright NK"
"265","CD8 effector"
"266","CD56dim CD16bright NK"
"267","CD56dim CD16bright NK"
"268","CD56dim CD16bright NK"
"269","CD8 naive"
"270","CD56dim CD16bright NK"
"271","CD8 memory"
"272","CD56bright CD16dim NK"
"273","CD8 memory"
"274","CD56dim CD16bright NK"
"275","CD8 effector"
"276","gdT cells"
"277","CD8 effector"
"278","CD4 memory"
"279","Regulatory T cells"
"280","CD56dim CD16bright NK"
"281","CD4 naive I"
"282","CD8 memory"
"283","Neutrophils"
"284","CD56bright CD16dim NK"
"285","CD4 naive I"
"286","CD8 naive"
"287","CD56dim CD16bright NK"
"288","NK-T doublets"
"289","Memory B"
"290","CD4 naive II"
"291","CD8 memory"
"292","CD8 memory"
"293","Regulatory T cells"
"294","CD56dim CD16bright NK"
"295","MAIT-NKT cells"
"296","MAIT-NKT cells"
"297","CD56bright CD16dim NK"
"298","CD4 naive I"
"299","Platelet-bound monocytes"
"300","CD4 memory"
"301","gdT cells"
"302","CD56dim CD16bright NK"
"303","CD56dim CD16bright NK"
"304","CD56dim CD16bright NK"
"305","CD56dim CD16bright NK"
"306","conventional DC"
"307","CD56dim CD16bright NK"
"308","Naive B"
"309","CD56dim CD16bright NK"
"310","gdT cells"
"311","Non classical monocytes"
"312","CD56dim CD16bright NK"
"313","gdT cells"
"314","T-NK-B cell doublets"
"315","CD56dim CD16bright NK"
"316","CD4 memory"
"317","Non classical monocytes"
"318","T-NK-B cell doublets"
"319","Neutrophils"
"320","CD56dim CD16bright NK"
"321","CD56dim CD16bright NK"
"322","Platelet-bound monocytes"
"323","CD56dim CD16bright NK"
"324","CD4 memory"
"325","Regulatory T cells"
"326","CD4 memory"
"327","CD56dim CD16bright NK"
"328","CD56bright CD16dim NK"
"329","CD8 effector"
"330","CD4 memory"
"331","CD56dim CD16bright NK"
"332","T-NK-B cell doublets"
"333","Non classical monocytes"
"334","Non classical monocytes"
"335","gdT cells"
"336","T-NK-B cell doublets"
"337","CD8 naive"
"338","gdT cells"
"339","CD56dim CD16bright NK"
"340","Platelet-bound monocytes"
"341","Regulatory T cells"
"342","CD56dim CD16bright NK"
"343","Classical monocytes"
"344","CD4 memory"
"345","CD4 naive I"
"346","CD4 memory"
"347","Classical monocytes"
"348","CD4 naive II"
"349","Neutrophils"
"350","CD4 naive I"
"351","Platelet-bound monocytes"
"352","gdT cells"
"353","CD8 memory"
"354","Regulatory T cells"
"355","Memory B"
"356","CD8 memory"
"357","CD8 effector"
"358","Classical monocytes"
"359","NK-T doublets"
"360","conventional DC"
"361","CD4 naive I"
"362","CD4 memory"
"363","CD56dim CD16bright NK"
"364","Classical monocytes"
"365","CD56dim CD16bright NK"
"366","CD56dim CD16bright NK"
"367","CD56dim CD16bright NK"
"368","CD56dim CD16bright NK"
"369","CD8 naive"
"370","gdT cells"
"371","CD56dim CD16bright NK"
"372","CD8 naive"
"373","CD4 naive I"
"374","CD56dim CD16bright NK"
"375","CD56dim CD16bright NK"
"376","CD56dim CD16bright NK"
"377","gdT cells"
"378","NK-monocyte doublets"
"379","Neutrophils"
"380","CD56dim CD16bright NK"
"381","Regulatory T cells"
"382","CD4 naive I"
"383","T-NK-B cell doublets"
"384","CD56dim CD16bright NK"
"385","CD4 memory"
"386","Non classical monocytes"
"387","Neutrophils"
"388","CD56dim CD16bright NK"
"389","MAIT-NKT cells"
"390","CD4 memory"
"391","CD8 effector"
"392","CD4 naive II"
"393","Classical monocytes"
"394","CD56dim CD16bright NK"
"395","Naive B"
"396","CD8 naive"
"397","MAIT-NKT cells"
"398","CD4 memory"
"399","CD4 memory"
"400","CD8 memory"
"401","CD4 naive I"
"402","CD8 effector"
"403","gdT cells"
"404","Classical monocytes"
"405","CD8 naive"
"406","CD56dim CD16bright NK"
"407","CD4 naive I"
"408","CD8 effector"
"409","CD56dim CD16bright NK"
"410","Classical monocytes"
"411","CD8 memory"
"412","CD8 memory"
"413","Classical monocytes"
"414","CD56dim CD16bright NK"
"415","CD4 naive I"
"416","CD4 naive I"
"417","CD4 naive I"
"418","CD8 naive"
"419","CD8 memory"
"420","Classical monocytes"
"421","CD4 naive II"
"422","CD8 memory"
"423","CD56dim CD16bright NK"
"424","Memory B"
"425","CD56dim CD16bright NK"
"426","CD8 memory"
"427","CD8 effector"
"428","CD4 naive I"
"429","CD8 naive"
"430","MAIT-NKT cells"
"431","CD4 memory"
"432","CD56dim CD16bright NK"
"433","Classical monocytes"
"434","CD4 memory"
"435","CD4 naive I"
"436","CD56dim CD16bright NK"
"437","CD56dim CD16bright NK"
"438","CD56dim CD16bright NK"
"439","CD8 naive"
"440","CD4 memory"
"441","CD56dim CD16bright NK"
"442","Classical monocytes"
"443","Classical monocytes"
"444","CD56dim CD16bright NK"
"445","Neutrophils"
"446","CD8 effector"
