,importance score
FO538757.2,0.07299173706788734
AP006222.2,0.032159664997513424
RP11-206L10.9,0.2268143354711552
FAM41C,0.29962644796118804
NOC2L,0.10130249907608745
ISG15,0.2119304657680162
TNFRSF18,1.368355266505229
TNFRSF4,0.7513981446565522
SDF4,0.09971106392800591
B3GALT6,0.9655826070403721
UBE2J2,0.4943289397015998
ACAP3,0.18850913262675228
PUSL1,0.08004759803889788
CPSF3L,1.0505706160961104
CPTP,0.08860086032889516
AURKAIP1,0.2814759027556919
CCNL2,1.5689430545126088
MRPL20,1.7350322510478817
ATAD3B,0.7759567022624049
ATAD3A,0.3019841997177734
SSU72,0.2072383025490726
RP5-832C2.5,0.114698651638713
C1orf233,0.3833090306933773
RP11-345P4.9,0.8390593997929784
MIB2,1.1246921262070058
CDK11B,0.3067645182638834
SLC35E2B,0.3319348615636843
CDK11A,1.6699372290408037
NADK,0.38543500654390456
GNB1,0.34705704505875157
FAAP20,0.2870766074860238
SKI,0.3452946460857493
RER1,0.40691300195062086
PEX10,0.12832808684623806
RP3-395M20.12,1.0790578874536083
TNFRSF14,0.4883355481858919
FAM213B,1.0366877668765613
TPRG1L,0.06459469976309157
WRAP73,0.41716497271630354
TP73-AS1,0.09569997426819238
SMIM1,0.40975490340827836
LRRC47,0.1804868495816671
CEP104,0.1720686624886944
C1orf174,0.15919923128059238
KCNAB2,1.9083236721648673
RPL22,2.835235180325236
ICMT,2.957720190341823
ACOT7,0.3282453535390319
TNFRSF25,0.08635767578396045
NOL9,0.6901927587599838
ZBTB48,0.09495630433783152
KLHL21,0.14437123562121665
THAP3,0.49736677437182597
DNAJC11,0.030148385320064384
CAMTA1,0.15248092911222583
VAMP3,0.05297166347270482
UTS2,0.06807423379254246
PARK7,0.3868755454484729
RERE,0.5243245367159941
ENO1,0.22882357291234567
H6PD,0.13685659157657956
SLC25A33,0.5142633371515993
PIK3CD,0.05491877858461616
CLSTN1,0.22155354753263057
CTNNBIP1,0.5400303373772662
LZIC,0.17128123666351946
NMNAT1,0.3120218891068655
RBP7,2.16870592441342
UBE4B,0.08432599868640431
KIF1B,0.5985213004965291
PGD,0.07604458095852018
APITD1,0.563770836963913
DFFA,0.07082858830456577
PEX14,0.3416059167769867
TARDBP,0.2716158905364863
SRM,1.283425600671128
EXOSC10,0.32575586647160654
MTOR,0.19679789763343317
UBIAD1,0.18829763349872375
FBXO44,0.25945136342081687
FBXO6,0.2042223368827292
MAD2L2,0.246455926402961
AGTRAP,0.9698106297632679
MTHFR,0.2735766472464511
KIAA2013,0.272458923479513
PLOD1,0.7774029628422486
MFN2,0.3238606337861876
MIIP,0.17198550851232222
TNFRSF1B,0.3934038709852337
VPS13D,0.045405332748402444
DHRS3,0.4484744091031675
PRDM2,0.05673989260451797
EFHD2,8.303855647705694
CASP9,0.28416040787653823
DNAJC16,0.14992553001508518
AGMAT,0.2558191315321749
DDI2,0.1542291719715235
PLEKHM2,0.0934351785564786
UQCRHL,0.20603787112442618
FLJ37453,0.8701117666123435
SPEN,0.04222456812860956
ZBTB17,0.5105103429260095
ARHGEF19,0.07723192245448009
FBXO42,1.9991289368744487
SZRD1,0.32709031467845434
NECAP2,0.3790977004464369
CROCC,0.008179312340269881
RP11-108M9.4,0.1662175822588973
ATP13A2,0.5054669927717435
SDHB,0.48441007434847577
PADI2,0.7759430096178269
PADI4,0.05413694408746969
RCC2,0.18631365345655773
UBR4,0.5006879361977262
EMC1,0.328418944835255
MRTO4,0.30484494757660135
AKR7A2,1.3464126936654526
PQLC2,0.1711060746463423
CAPZB,0.4285121923502707
MINOS1,0.38062840119566277
NBL1,0.26305453136220536
TMCO4,0.12558344649907674
MUL1,0.5141412527408512
CDA,0.27040734609764056
PINK1,0.24614044164852808
DDOST,0.46500060736276555
HP1BP3,0.48872078198287444
EIF4G3,0.2487123443111559
ECE1,0.10913320841008467
USP48,0.9705566474673862
LINC00339,0.9539742168933473
CDC42,3.06773989746377
KDM1A,0.24350316188983798
LUZP1,0.07602852296426715
HNRNPR,0.3972744784345731
TCEA3,0.26883723663664394
ID3,0.19634876127638234
MDS2,0.24747775684196355
RPL11,3.4856610467380555
TCEB3,0.07592808289128683
TCEB3-AS1,0.1346644035354496
PITHD1,0.02043152336355391
LYPLA2,0.1073578430933205
GALE,0.11999664692236496
HMGCL,0.05408788334814246
FUCA1,0.4037044050225848
CNR2,0.1499107475430803
PNRC2,1.8504722632928958
SRSF10,0.08578508923940696
NIPAL3,0.19855411571850257
RCAN3,0.10109595303028221
RP4-594I10.3,0.08425502933768403
SRRM1,0.0352897552389391
CLIC4,1.2769781596816123
RUNX3,1.9783267925846892
SYF2,0.18207661876775932
RSRP1,0.06816428601074923
TMEM50A,0.5089877616737561
TMEM57,0.03356630621035515
LDLRAP1,0.5330492532149157
MAN1C1,0.21690343927782527
RP1-187B23.1,0.1966203908631639
SEPN1,0.06225775755955561
MTFR1L,0.5331294944908445
PAQR7,1.016127953425553
STMN1,1.2150645622914167
PDIK1L,0.17887293623914466
ZNF593,0.19455287377642613
CEP85,0.002923763631571482
SH3BGRL3,1.7657855599311014
UBXN11,0.36335740853391335
CD52,3.285405197151786
DHDDS,0.23960485516216887
HMGN2,4.109398895535335
RPS6KA1,0.8127753969053418
ARID1A,0.1173689499118586
PIGV,0.08482227416058763
ZDHHC18,0.9106961858171558
GPN2,0.6309277467792812
GPATCH3,0.5386294864010691
NUDC,0.9913518304993391
WDTC1,0.20536910730120814
TMEM222,0.4104729652642058
SYTL1,2.9940919376352357
WASF2,0.47027586364377816
AHDC1,0.23237314641958473
FGR,0.45414413889166577
IFI6,0.49689797874949204
FAM76A,0.586500535362095
STX12,0.3337888829648908
PPP1R8,0.9375068253956591
THEMIS2,0.16696094874093237
RPA2,0.492287278449968
XKR8,0.8330818829338422
EYA3,0.1865227467071231
PTAFR,0.3761015805566249
DNAJC8,1.7828071818479478
ATPIF1,4.007309619117292
RP5-1092A3.4,1.229733402578463
PHACTR4,0.13530804789578083
RCC1,0.5546129612503337
TRNAU1AP,0.40330238771145016
SNHG12,0.06783048295287743
TAF12,4.399833536043727
GMEB1,0.09784686717983421
YTHDF2,0.23800601932095733
EPB41,0.6105072764738646
SRSF4,0.5644575125603423
MECR,0.6759804976526244
LAPTM5,0.9533964074260648
PUM1,0.49062299237728
SNRNP40,0.06796626189412923
ZCCHC17,0.04839811762371024
PEF1,1.0410168571911824
PTP4A2,0.7784220703033348
KHDRBS1,1.1507422709393926
TMEM39B,0.045087729856682975
KPNA6,0.2608005721530668
TXLNA,0.03044764014993392
CCDC28B,1.137325214834908
TMEM234,0.5354667072875632
EIF3I,0.584136426296157
LCK,2.673836924103902
HDAC1,0.34121137708629884
MARCKSL1,0.5600156651060435
BSDC1,0.36464808379459734
ZBTB8OS,0.1822317600353669
RBBP4,0.10789634992616898
SYNC,1.078867868999035
YARS,0.4285592382766751
S100PBP,0.29647836200103017
RNF19B,0.6233766926556659
AK2,0.38107941959127684
ZNF362,0.1233638514601411
PHC2,0.157344492976003
SMIM12,0.04504737895679033
ZMYM6,0.11969126175606493
ZMYM1,1.4020177034258736
SFPQ,0.5409358203048329
ZMYM4,0.0817359689313642
KIAA0319L,0.20524344145918333
NCDN,0.7127809876522808
RP4-728D4.2,0.2773370366697767
PSMB2,0.7076837769707947
C1orf216,0.053166722610716435
CLSPN,0.3862414442471889
AGO4,0.18987103305227826
AGO1,0.055734757830466684
AGO3,0.6870388072149727
ADPRHL2,0.6856005904863434
TRAPPC3,0.37421529591184044
MAP7D1,1.019798700343081
THRAP3,1.3879956155457638
STK40,0.06981611818797563
LSM10,1.9648099575162306
MRPS15,0.33631624152298617
CSF3R,0.5291218087803183
LINC01137,0.35407521466820496
ZC3H12A,0.30698486898377625
MEAF6,3.5948496328434505
SNIP1,0.2315335401493624
GNL2,0.245802409355774
C1orf109,0.46673151881780184
CDCA8,0.12307507220802985
YRDC,2.756027563237734
C1orf122,0.08847481857165178
MTF1,0.015334160085895478
INPP5B,0.23707385737745
SF3A3,0.2874608359823256
FHL3,0.32967368850109796
UTP11L,0.20437511663967214
RRAGC,0.07960288081822536
MYCBP,0.12687491527552874
AKIRIN1,0.6812821459129712
NDUFS5,0.3191497299396744
MACF1,0.03584456319402447
PABPC4,0.03611800053499418
PPIE,0.2899938280310061
TRIT1,0.21725545085436493
MYCL,0.10172771988014799
CAP1,0.24427042714470748
PPT1,0.2444924555750009
RLF,0.019619615518491847
RP1-39G22.7,0.26860453649309424
ZMPSTE24,0.2688592988900293
SMAP2,0.24422141837577482
NFYC,0.03563645224467892
CITED4,1.2655170824087314
CTPS1,0.0329654578979771
SCMH1,0.25975997189300515
HIVEP3,0.2158230204681277
FOXJ3,0.18001770735120598
PPCS,3.2673006318334274
PPIH,0.20723972840670296
YBX1,1.0792976306448145
P3H1,0.21339535849311184
C1orf50,0.37027139273756166
SVBP,0.7723942907867635
ERMAP,0.3506081714712885
SLC2A1,0.2494849046470642
EBNA1BP2,0.13986558176088235
CDC20,1.5117396464665263
ELOVL1,0.3423858121476719
MED8,0.09453407872477435
SZT2,0.17428158450620693
HYI,0.18354328796099786
IPO13,0.12290844930121135
DPH2,0.21124244310102303
ATP6V0B,0.1296233627525025
DMAP1,0.07517143360695101
ERI3,0.4453824672740729
RNF220,0.6277442977139519
C1orf228,0.989492925199584
KIF2C,1.916457222564784
RPS8,10.508642160339733
PLK3,0.9100454463864375
EIF2B3,0.425851458382442
HECTD3,0.6134044189002525
UROD,0.002885382734921138
MUTYH,0.382719465500604
TOE1,0.07026933655568461
PRDX1,0.5491702009675865
AKR1A1,0.03344947600244032
NASP,0.0705035183484063
GPBP1L1,0.9776107191485031
TMEM69,0.09919742768225275
IPP,0.06811856257088483
POMGNT1,0.19745486064783463
LRRC41,0.549908805092056
UQCRH,2.6501206829163304
NSUN4,0.20182136940784276
FAAH,0.18341181528312409
MKNK1,1.189177944799825
ATPAF1,0.13344766526119906
EFCAB14,0.10905466220533784
TAL1,0.26972459546215827
CMPK1,1.9442424933212032
BEND5,0.32199149752441364
FAF1,0.17608291099152995
CDKN2C,2.61368067356429
RNF11,0.3300559064101545
EPS15,1.1621072022112766
OSBPL9,0.3138303462587924
NRDC,0.029329000985272823
TXNDC12,0.447071938407382
KTI12,0.16735039662666895
BTF3L4,0.036083909931655146
PRPF38A,0.1113670425241131
ZCCHC11,0.3482249660179058
GPX7,0.25283758795060335
FAM159A,0.2266803183696654
COA7,0.7165836542358258
ZYG11B,0.8636617613150815
ECHDC2,0.2698310374465993
SCP2,2.130052376613942
CPT2,0.1768153696739932
C1orf123,0.4428074516205235
MAGOH,1.5965850748987618
RP11-117D22.2,0.36069665342046353
NDC1,0.5594114471547593
YIPF1,0.2608466269657754
HSPB11,0.4999588553019104
LRRC42,1.3410771227445952
TMEM59,0.3274802495477818
TCEANC2,0.23588742842982685
MRPL37,0.9688492845693579
SSBP3,0.06074620304791114
USP24,0.11895661857700851
OMA1,0.6279512221318777
MYSM1,0.5659059258443614
JUN,0.9499796535826058
HOOK1,0.9024278875418275
NFIA,1.0337278138899884
TM2D1,0.16671465385074055
INADL,0.21065542573240043
USP1,0.472381764205556
ATG4C,0.47485158417430934
ALG6,0.054214458171018914
ITGB3BP,0.06755599285758537
PGM1,0.941752633493667
JAK1,6.995469308926676
LEPROT,0.4654330391060029
LEPR,1.152125158519438
PDE4B,0.2643769866982003
MIER1,0.0734645994207301
SLC35D1,0.15590935164100267
SERBP1,0.47396274924760823
GADD45A,0.1483791876483083
DEPDC1,0.2091795806823606
LRRC7,0.9340642259084596
LRRC40,0.17086125845776926
SRSF11,0.7850624239957623
ANKRD13C,0.9713380579659621
HHLA3,0.5764993971141479
ZRANB2,0.2560636574231776
FPGT,0.12814287285060574
CRYZ,0.13435982457782006
TYW3,0.19425303226976134
ACADM,0.10337665026981423
RABGGTB,0.6251155283644371
PIGK,0.27776393473726185
AK5,0.8017567253095601
ZZZ3,0.3114859706972602
USP33,1.7570900573537842
FAM73A,0.18344855644818114
FUBP1,0.20651343716941706
RP11-386I14.4,0.06394059561351598
IFI44L,0.36967027696397625
IFI44,0.5480538964201004
RP5-887A10.1,3.4149903526005327
PRKACB,0.5170606944628775
RPF1,0.7283321189554267
GNG5,0.38167195045835955
CTBS,0.2099701140847834
SSX2IP,0.00826727434567158
C1orf52,0.8302469497504907
BCL10,0.30839428963771204
ZNHIT6,1.0918580706634604
ODF2L,0.9836178760788348
SH3GLB1,0.9876800011472573
SEP15,0.3950642588503016
HS2ST1,0.06583823501290403
LMO4,0.22565560696485326
PKN2,0.596211598152108
GTF2B,0.036874565102779984
CCBL2,0.19247815233519
RBMXL1,0.07344776183938756
GBP3,0.6035977989819037
GBP1,0.1772441192169818
GBP2,1.308895250086817
GBP4,1.2147853350139202
GBP5,0.9433898616801106
LRRC8B,0.03531071209606492
LRRC8C,0.14325258415105874
LRRC8D,0.22614437874184848
ZNF326,0.4007559894648264
ZNF644,0.48903871703525054
CDC7,0.8737605304279185
GLMN,0.008760866600430779
RPAP2,0.8479464993255263
EVI5,0.3585895289060735
RPL5,2.4090339869622204
MTF2,1.1276374762031443
TMED5,0.8908369209415659
CCDC18,0.17924037534964102
DR1,0.27005061278030984
DNTTIP2,1.6578323869235652
GCLM,0.19075174524289504
ABCD3,0.4435673127492742
CNN3,0.1377600192839601
ALG14,0.010946256855763337
TMEM56,0.19118314287335453
PTBP2,0.6127111603596312
DPYD,0.38657803180331946
AGL,0.1548276069837222
SLC35A3,0.04057638805693354
MFSD14A,0.5135584127321319
SASS6,0.49865204993934853
TRMT13,0.11888949793632456
DBT,0.3581163999981326
RTCA,0.27341759236982766
CDC14A,0.6677524016832828
