cellType1,cellType2,color1,color2
B,Naive CD20+ B IGKC+,#FF7F00,#B04723FF
B,B1 B IGKC-,#FF7F00,#C35022FF
B,Naive CD20+ B IGKC-,#FF7F00,#D55B21FF
B,B1 B IGKC+,#FF7F00,#E66720FF
B,Transitional B,#FF7F00,#EF7A25FF
B,Plasmablast IGKC+,#FF7F00,#F38F32FF
B,Plasmablast IGKC-,#FF7F00,#F5A443FF
B,Plasma cell IGKC+,#FF7F00,#F9B563FF
B,Plasma cell IGKC-,#FF7F00,#FFC685FF
CD4 T,CD4+ T naive,#B2DF8A,#2F8243FF
CD4 T,CD4+ T activated,#B2DF8A,#4E9A50FF
CD4 T,CD4+ T activated integrinB7+,#B2DF8A,#6AB25FFF
CD4 T,T reg,#B2DF8A,#87CB79FF
CD4 T,CD4+ T CD314+ CD45RA+,#B2DF8A,#B3E0A6FF
CD8 T,CD8+ T naive,#A6CEE3,#386592FF
CD8 T,CD8+ T CD49f+,#A6CEE3,#447AA1FF
CD8 T,CD8+ T TIGIT+ CD45RO+,#A6CEE3,#5081AEFF
CD8 T,CD8+ T CD57+ CD45RA+,#A6CEE3,#5F90BBFF
CD8 T,CD8+ T CD69+ CD45RO+,#A6CEE3,#6E9FC6FF
CD8 T,CD8+ T TIGIT+ CD45RA+,#A6CEE3,#7EAED3FF
CD8 T,CD8+ T CD69+ CD45RA+,#A6CEE3,#90BEDEFF
CD8 T,CD8+ T naive CD127+ CD26- CD101-,#A6CEE3,#A4CEE8FF
CD8 T,CD8+ T CD57+ CD45RO+,#A6CEE3,#B9DDF1FF
DC,pDC,#6A3D9A,#A5729AFF
DC,cDC2,#6A3D9A,#CD9BBCFF
DC,cDC1,#6A3D9A,#EEC9E5FF
monocyte,CD14+ Mono,#FB9A99,#D746BBFF
monocyte,CD16+ Mono,#FB9A99,#FFB9F1FF
NK,NK CD158e1+,#1F78B4,#435490FF
NK,NK,#1F78B4,#536998FF
other,Reticulocyte,#B15928,#B44F34FF
other,Normoblast,#B15928,#C26C43FF
other,Erythroblast,#B15928,#D18852FF
other,Proerythroblast,#B15928,#E1A25FFF
other,ILC1,#B15928,#EABE83FF
other,ILC,#B15928,#EEDBBDFF
progenitor,HSC,#E31A1C,#DA323FFF
progenitor,Lymph prog,#E31A1C,#EA4C47FF
progenitor,G/M prog,#E31A1C,#F67561FF
progenitor,MK/E prog,#E31A1C,#FB9B86FF
progenitor,T prog cycling,#E31A1C,#FFBEB2FF
unconventional T,MAIT,#33A02C,#5B642AFF
unconventional T,gdT TCRVD2+,#33A02C,#747B4AFF
unconventional T,gdT CD158b+,#33A02C,#9CA07EFF
unconventional T,dnT,#33A02C,#AFB296FF
