X,feature_types,gene_id,is_gene_coding
AL627309.5,GEX,ENSG00000241860,0
LINC01409,GEX,ENSG00000237491,0
LINC01128,GEX,ENSG00000228794,0
NOC2L,GEX,ENSG00000188976,1
KLHL17,GEX,ENSG00000187961,1
ISG15,GEX,ENSG00000187608,1
C1orf159,GEX,ENSG00000131591,1
SDF4,GEX,ENSG00000078808,1
B3GALT6,GEX,ENSG00000176022,1
UBE2J2,GEX,ENSG00000160087,1
ACAP3,GEX,ENSG00000131584,1
INTS11,GEX,ENSG00000127054,1
DVL1,GEX,ENSG00000107404,1
AURKAIP1,GEX,ENSG00000175756,1
CCNL2,GEX,ENSG00000221978,1
MRPL20,GEX,ENSG00000242485,1
ATAD3B,GEX,ENSG00000160072,1
ATAD3A,GEX,ENSG00000197785,1
SSU72,GEX,ENSG00000160075,1
MIB2,GEX,ENSG00000197530,1
MMP23B,GEX,ENSG00000189409,1
CDK11B,GEX,ENSG00000248333,1
SLC35E2B,GEX,ENSG00000189339,1
CDK11A,GEX,ENSG00000008128,1
SLC35E2A,GEX,ENSG00000215790,0
NADK,GEX,ENSG00000008130,1
GNB1,GEX,ENSG00000078369,1
PRKCZ,GEX,ENSG00000067606,1
FAAP20,GEX,ENSG00000162585,1
SKI,GEX,ENSG00000157933,1
MORN1,GEX,ENSG00000116151,1
RER1,GEX,ENSG00000157916,1
PEX10,GEX,ENSG00000157911,1
PLCH2,GEX,ENSG00000149527,1
PANK4,GEX,ENSG00000157881,1
AL139246.5,GEX,ENSG00000272449,0
TNFRSF14-AS1,GEX,ENSG00000238164,0
TNFRSF14,GEX,ENSG00000157873,1
PRXL2B,GEX,ENSG00000157870,1
TTC34,GEX,ENSG00000215912,1
MEGF6,GEX,ENSG00000162591,1
TPRG1L,GEX,ENSG00000158109,1
WRAP73,GEX,ENSG00000116213,1
SMIM1,GEX,ENSG00000235169,1
LRRC47,GEX,ENSG00000130764,1
CEP104,GEX,ENSG00000116198,1
DFFB,GEX,ENSG00000169598,1
C1orf174,GEX,ENSG00000198912,1
NPHP4,GEX,ENSG00000131697,1
KCNAB2,GEX,ENSG00000069424,1
RPL22,GEX,ENSG00000116251,1
ICMT,GEX,ENSG00000116237,1
GPR153,GEX,ENSG00000158292,1
ACOT7,GEX,ENSG00000097021,1
ESPN,GEX,ENSG00000187017,1
TNFRSF25,GEX,ENSG00000215788,1
NOL9,GEX,ENSG00000162408,1
ZBTB48,GEX,ENSG00000204859,1
KLHL21,GEX,ENSG00000162413,1
PHF13,GEX,ENSG00000116273,1
THAP3,GEX,ENSG00000041988,1
DNAJC11,GEX,ENSG00000007923,1
CAMTA1,GEX,ENSG00000171735,1
VAMP3,GEX,ENSG00000049245,1
PER3,GEX,ENSG00000049246,1
TNFRSF9,GEX,ENSG00000049249,1
PARK7,GEX,ENSG00000116288,1
ERRFI1,GEX,ENSG00000116285,1
RERE,GEX,ENSG00000142599,1
RERE-AS1,GEX,ENSG00000232912,0
ENO1,GEX,ENSG00000074800,1
SLC2A5,GEX,ENSG00000142583,1
GPR157,GEX,ENSG00000180758,1
H6PD,GEX,ENSG00000049239,1
SPSB1,GEX,ENSG00000171621,1
SLC25A33,GEX,ENSG00000171612,1
TMEM201,GEX,ENSG00000188807,1
PIK3CD,GEX,ENSG00000171608,1
PIK3CD-AS2,GEX,ENSG00000231789,0
CLSTN1,GEX,ENSG00000171603,1
CTNNBIP1,GEX,ENSG00000178585,1
LZIC,GEX,ENSG00000162441,1
NMNAT1,GEX,ENSG00000173614,1
RBP7,GEX,ENSG00000162444,1
UBE4B,GEX,ENSG00000130939,1
KIF1B,GEX,ENSG00000054523,1
