X,feature_types,gene_id,is_protein_coding
CD86,ADT,ENSG00000114013,1
CD274,ADT,ENSG00000120217,1
CD270,ADT,ENSG00000157873,1
CD155,ADT,ENSG00000073008,1
CD112,ADT,ENSG00000130202,1
CD47,ADT,ENSG00000196776,1
CD48,ADT,ENSG00000117091,1
CD40,ADT,ENSG00000101017,1
CD154,ADT,ENSG00000102245,1
CD52,ADT,ENSG00000169442,1
CD3,ADT,ENSG00000167286,1
CD8,ADT,ENSG00000153563,1
CD56,ADT,ENSG00000149294,1
CD19,ADT,ENSG00000177455,1
CD33,ADT,ENSG00000105383,1
CD11c,ADT,ENSG00000140678,1
HLA-A-B-C,ADT,ENSG00000206503,1
CD45RA,ADT,ENSG00000081237,1
CD123,ADT,ENSG00000185291,1
CD7,ADT,ENSG00000173762,1
CD105,ADT,ENSG00000106991,1
CD49f,ADT,ENSG00000091409,1
CD194,ADT,ENSG00000183813,1
CD4,ADT,ENSG00000010610,1
CD44,ADT,ENSG00000026508,1
CD14,ADT,ENSG00000170458,1
CD16,ADT,ENSG00000203747,1
CD25,ADT,ENSG00000134460,1
CD45RO,ADT,ENSG00000081237,1
CD279,ADT,ENSG00000188389,1
TIGIT,ADT,ENSG00000181847,1
CD20,ADT,ENSG00000156738,1
CD335,ADT,ENSG00000189430,1
CD31,ADT,ENSG00000261371,1
Podoplanin,ADT,ENSG00000162493,1
CD146,ADT,ENSG00000076706,1
IgM,ADT,ENSG00000211899,0
CD5,ADT,ENSG00000110448,1
CD195,ADT,ENSG00000160791,1
CD32,ADT,ENSG00000143226,1
CD196,ADT,ENSG00000112486,1
CD185,ADT,ENSG00000160683,1
CD103,ADT,ENSG00000083457,1
CD69,ADT,ENSG00000110848,1
CD62L,ADT,ENSG00000188404,1
CD161,ADT,ENSG00000111796,1
CD152,ADT,ENSG00000163599,1
CD223,ADT,ENSG00000089692,1
KLRG1,ADT,ENSG00000139187,1
CD27,ADT,ENSG00000139193,1
CD107a,ADT,ENSG00000185896,1
CD95,ADT,ENSG00000026103,1
CD134,ADT,ENSG00000186827,1
HLA-DR,ADT,ENSG00000204287,1
CD1c,ADT,ENSG00000158481,1
CD11b,ADT,ENSG00000169896,1
CD64,ADT,ENSG00000150337,1
CD141,ADT,ENSG00000178726,1
CD1d,ADT,ENSG00000158473,1
CD314,ADT,ENSG00000213809,1
CD35,ADT,ENSG00000203710,1
CD57,ADT,ENSG00000109956,1
CD272,ADT,ENSG00000186265,1
CD278,ADT,ENSG00000163600,1
CD58,ADT,ENSG00000116815,1
CD39,ADT,ENSG00000138185,1
CX3CR1,ADT,ENSG00000168329,1
CD24,ADT,ENSG00000272398,1
CD21,ADT,ENSG00000117322,1
CD11a,ADT,ENSG00000005844,1
CD79b,ADT,ENSG0000000731,0
CD244,ADT,ENSG00000122223,1
CD169,ADT,ENSG00000088827,1
integrinB7,ADT,ENSG00000139626,1
CD268,ADT,ENSG00000159958,1
CD42b,ADT,ENSG00000203618,1
CD54,ADT,ENSG00000126353,1
CD62P,ADT,ENSG00000174175,1
CD119,ADT,ENSG00000027697,1
TCR,ADT,,0
CD192,ADT,ENSG00000121807,1
CD122,ADT,ENSG00000100385,1
FceRIa,ADT,ENSG00000179639,1
CD41,ADT,ENSG00000005961,1
CD137,ADT,ENSG00000049249,1
CD163,ADT,ENSG00000177575,1
CD83,ADT,ENSG00000112149,1
CD124,ADT,ENSG00000077238,1
CD13,ADT,ENSG00000166825,1
CD2,ADT,ENSG00000116824,1
CD226,ADT,ENSG00000150637,1
CD29,ADT,ENSG00000150093,1
CD303,ADT,ENSG00000198178,1
CD49b,ADT,ENSG00000164171,1
CD81,ADT,ENSG00000110651,1
IgD,ADT,ENSG00000211898,0
CD18,ADT,ENSG00000160255,1
CD28,ADT,ENSG00000178562,1
CD38,ADT,ENSG00000004468,1
CD127,ADT,ENSG00000168685,1
CD45,ADT,ENSG00000081237,1
CD22,ADT,ENSG00000012124,1
CD71,ADT,ENSG00000072274,1
CD26,ADT,ENSG00000197635,1
CD115,ADT,ENSG00000182578,1
CD63,ADT,ENSG00000135404,1
CD304,ADT,ENSG00000099250,1
CD36,ADT,ENSG00000135218,1
CD172a,ADT,ENSG00000198053,1
CD72,ADT,ENSG00000137101,1
CD158,ADT,ENSG00000125498,1
CD93,ADT,ENSG00000125810,1
CD49a,ADT,ENSG00000213949,1
CD49d,ADT,ENSG00000115232,1
CD73,ADT,ENSG00000135318,1
CD9,ADT,ENSG00000010278,1
TCRVa7.2,ADT,,0
TCRVd2,ADT,,0
LOX-1,ADT,ENSG00000173391,1
CD158b,ADT,ENSG00000243772,1
CD158e1,ADT,ENSG00000167633,1
CD142,ADT,ENSG00000117525,1
CD319,ADT,ENSG00000026751,1
CD352,ADT,ENSG00000162739,1
CD94,ADT,ENSG00000134539,1
CD162,ADT,ENSG00000110876,1
CD85j,ADT,ENSG00000104972,1
CD23,ADT,ENSG00000104921,1
CD328,ADT,ENSG00000168995,1
HLA-E,ADT,ENSG00000204592,1
CD82,ADT,ENSG00000085117,1
CD101,ADT,ENSG00000134256,1
CD88,ADT,ENSG00000197405,1
CD224,ADT,ENSG00000100031,1
