ensembl_gene_id,chromosome_name,start_position,end_position,strand,gene_name,chr_name
ENSG00000000457,1,169849631,169894267,-1,SCYL3,chr1
ENSG00000000460,1,169662007,169854080,1,C1orf112,chr1
ENSG00000000938,1,27612064,27635185,-1,FGR,chr1
ENSG00000000971,1,196651754,196752476,1,CFH,chr1
ENSG00000001460,1,24356999,24416934,-1,STPG1,chr1
ENSG00000001461,1,24415802,24472976,1,NIPAL3,chr1
ENSG00000002549,4,17577198,17607972,1,LAP3,chr4
ENSG00000003393,2,201700267,201782112,-1,ALS2,chr2
ENSG00000003400,2,201182872,201229428,1,CASP10,chr2
ENSG00000003402,2,201116154,201176687,1,CFLAR,chr2
ENSG00000003436,2,187464230,187565760,-1,TFPI,chr2
ENSG00000003509,2,37231631,37253403,1,NDUFAF7,chr2
ENSG00000003756,3,50088919,50119021,1,RBM5,chr3
ENSG00000004399,3,129555214,129606676,-1,PLXND1,chr3
ENSG00000004455,1,33007986,33080996,-1,AK2,chr1
ENSG00000004468,4,15778275,15853232,1,CD38,chr4
ENSG00000004487,1,23019443,23083689,1,KDM1A,chr1
ENSG00000004534,3,49940007,50100045,1,RBM6,chr3
ENSG00000005059,4,109560209,109688719,1,MCUB,chr4
ENSG00000005436,2,75652000,75710985,-1,GCFC2,chr2
ENSG00000005448,2,74421678,74425755,1,WDR54,chr2
ENSG00000006555,1,54779712,54801323,-1,TTC22,chr1
ENSG00000006607,2,241356285,241494841,1,FARP2,chr2
ENSG00000006837,5,134286350,134371047,-1,CDKL3,chr5
ENSG00000007001,2,157876702,158136154,1,UPP2,chr2
ENSG00000007062,4,15963076,16084378,-1,PROM1,chr4
ENSG00000007341,1,112523514,112620825,-1,ST7L,chr1
ENSG00000007402,3,50362613,50504244,-1,CACNA2D2,chr3
ENSG00000007923,1,6634168,6701924,-1,DNAJC11,chr1
ENSG00000007944,6,16129086,16148248,1,MYLIP,chr6
ENSG00000007968,1,23506438,23531233,-1,E2F2,chr1
ENSG00000008083,6,15246069,15522042,1,JARID2,chr6
ENSG00000008128,1,1702379,1724357,-1,CDK11A,chr1
ENSG00000008130,1,1751232,1780457,-1,NADK,chr1
ENSG00000008226,3,38039205,38124025,1,DLEC1,chr3
ENSG00000008324,3,42581840,42596934,1,SS18L2,chr3
ENSG00000008869,2,36968383,37084372,-1,HEATR5B,chr2
ENSG00000008952,3,169966635,169998373,1,SEC62,chr3
ENSG00000009307,1,114716913,114758676,-1,CSDE1,chr1
ENSG00000009780,1,27725961,27763116,1,FAM76A,chr1
ENSG00000009790,1,209756032,209782320,1,TRAF3IP3,chr1
ENSG00000010017,6,13621498,13711835,-1,RANBP9,chr6
ENSG00000010072,1,231337104,231355023,1,SPRTN,chr1
ENSG00000010165,1,171781660,171814023,1,EEF1AKNMT,chr1
ENSG00000010256,3,48599002,48610976,-1,UQCRC1,chr3
ENSG00000010318,3,52410660,52423641,1,PHF7,chr3
ENSG00000010322,3,52455118,52493068,1,NISCH,chr3
ENSG00000010327,3,52495338,52524495,1,STAB1,chr3
ENSG00000010803,1,41027202,41242306,-1,SCMH1,chr1
ENSG00000011007,1,23743448,23762059,1,ELOA,chr1
ENSG00000011009,1,23791145,23795539,1,LYPLA2,chr1
ENSG00000011021,1,11806096,11848079,1,CLCN6,chr1
ENSG00000011198,3,43690108,43734371,1,ABHD5,chr3
ENSG00000011376,3,45388561,45554726,1,LARS2,chr3
ENSG00000011523,2,65056366,65087004,1,CEP68,chr2
ENSG00000011566,2,39249266,39437301,-1,MAP4K3,chr2
ENSG00000013016,2,31234152,31269451,1,EHD3,chr2
