,importance score
FO538757.2,0.00437424680691838
AP006222.2,0.003859038713789895
RP11-206L10.9,0.031166531418856638
FAM41C,0.06334611285161837
NOC2L,0.030945921570351347
ISG15,0.016177458776847294
TNFRSF18,1.2365132834008556
TNFRSF4,0.631412869475023
SDF4,0.0402055102377975
B3GALT6,0.02280913381275506
UBE2J2,0.03818170619793396
ACAP3,0.024356681792667097
PUSL1,0.0030741751915350428
CPSF3L,0.04507094623872057
CPTP,0.004554883468508336
AURKAIP1,0.0030143928184214065
CCNL2,0.05820997666595472
MRPL20,0.025165813277216332
ATAD3B,0.03960333551169173
ATAD3A,0.03932535963626948
SSU72,0.004377298073342557
RP5-832C2.5,0.05985673348614851
C1orf233,0.05810961063660283
RP11-345P4.9,0.018018591633768972
MIB2,0.08132486096949422
CDK11B,0.01784881210063487
SLC35E2B,0.0572197358263155
CDK11A,0.02039374690780755
NADK,0.00830278123871949
GNB1,0.030536055195570455
FAAP20,0.01411598731978491
SKI,0.03179125099390854
RER1,0.07333321671379556
PEX10,0.06871287978457381
RP3-395M20.12,0.018548923760686203
TNFRSF14,0.0193336193798195
FAM213B,0.03608669686040291
TPRG1L,0.004515988047172798
WRAP73,0.12018849761496198
TP73-AS1,0.012112108689559833
SMIM1,0.012896085528891972
LRRC47,0.020335913812524326
CEP104,0.005799833803969233
C1orf174,0.042274229629120946
KCNAB2,0.05850951086132283
RPL22,0.16231877846161946
ICMT,0.1989056854317035
ACOT7,0.03212452731051892
TNFRSF25,0.015195748371748285
NOL9,0.07754100390388903
ZBTB48,0.020820371267251534
KLHL21,0.008218072708715354
THAP3,0.048507015182256384
DNAJC11,0.01124376081067528
CAMTA1,0.06982190449719505
VAMP3,0.00789413077596101
UTS2,0.0015271573014192506
PARK7,0.06520417506442637
RERE,0.017437474092792633
ENO1,0.06896300581495064
H6PD,0.04528354876162307
SLC25A33,0.008208951368541962
PIK3CD,0.0028974158495925517
CLSTN1,0.025645336510845187
CTNNBIP1,0.07572927701702704
LZIC,0.010320981012232828
NMNAT1,0.010808204744697314
RBP7,0.23277827825851893
UBE4B,0.004363494744249623
KIF1B,0.011780181813767786
PGD,0.010319564759958797
APITD1,0.06213618728071931
DFFA,0.026198764090552787
PEX14,0.06335453369158653
TARDBP,0.007936213379379244
SRM,0.10550924228630247
EXOSC10,0.07613225637589668
MTOR,0.013979372531124447
UBIAD1,0.034117706357514814
FBXO44,0.0037893629537013858
FBXO6,0.021256843606610544
MAD2L2,0.035852358869179736
AGTRAP,0.01691499008245069
MTHFR,0.013558448668442557
KIAA2013,0.004429618298704593
PLOD1,0.024614428200086
MFN2,0.04673413601197156
MIIP,0.003163779901128519
TNFRSF1B,0.013109446175687232
VPS13D,0.0038867578721510066
DHRS3,0.010906898689292663
PRDM2,0.00995639321253428
EFHD2,0.12707940674194212
CASP9,0.07854058463587754
DNAJC16,0.011017550893534327
AGMAT,0.005415550895170073
DDI2,0.01569116848442426
PLEKHM2,0.001168345943504742
UQCRHL,0.01987337322825957
FLJ37453,0.08391636602015362
SPEN,0.003946241555498911
ZBTB17,0.040281968592585496
ARHGEF19,0.009264183802010833
FBXO42,0.08727817564861706
SZRD1,0.017452993333916766
NECAP2,0.06291872953102144
CROCC,0.000642265495844592
RP11-108M9.4,0.028467089911112315
ATP13A2,0.022123972622192668
SDHB,0.018222745611263236
PADI2,0.06815983884745395
PADI4,0.010617887689508089
RCC2,0.008232492386442353
UBR4,0.007747084470097329
EMC1,0.09918080489808825
MRTO4,0.03222925341090159
AKR7A2,0.04664602270213391
PQLC2,0.05750727137059969
CAPZB,0.03807601259185183
MINOS1,0.0766002954714836
NBL1,0.009350691252271346
TMCO4,0.007565717195445803
MUL1,0.017054353587095825
CDA,0.015541701491050535
PINK1,0.014279637569411205
DDOST,0.03758031591670204
HP1BP3,0.020422269238111558
EIF4G3,0.005158735751566681
ECE1,0.006490729241519791
USP48,0.13897927482591987
LINC00339,0.09803830358566581
CDC42,0.12471689065444894
KDM1A,0.01203416235777765
LUZP1,0.009560971286178773
HNRNPR,0.037232045216965035
TCEA3,0.021350146844237222
ID3,0.015909872596023347
MDS2,0.0194019457215871
RPL11,0.7102558358157164
TCEB3,0.005683605084512709
TCEB3-AS1,0.03323950293234881
PITHD1,0.004943669916960018
LYPLA2,0.015235122208488936
GALE,0.018501053343836775
HMGCL,0.014177672830138183
FUCA1,0.08568771503832621
CNR2,0.013591191639078147
PNRC2,0.013679270485219094
SRSF10,0.011868510233096879
NIPAL3,0.019689451067308406
RCAN3,0.054824806280042375
RP4-594I10.3,0.0035651490595530787
SRRM1,0.007301578792281628
CLIC4,0.01373759837037496
RUNX3,0.016952874312787337
SYF2,0.004391354305101941
RSRP1,0.0024233199633615105
TMEM50A,0.036384578898812456
TMEM57,0.0020700828878445258
LDLRAP1,0.05719474831185127
MAN1C1,0.0024344491935423085
RP1-187B23.1,0.019166686872035286
SEPN1,0.0032931702496167975
MTFR1L,0.06669140056805274
PAQR7,0.14685327694753245
STMN1,0.06557823809415536
PDIK1L,0.013153317223632685
ZNF593,0.09598346870232316
CEP85,0.00015408171662541572
SH3BGRL3,0.2567809714711853
UBXN11,0.005843987217814381
CD52,0.1798584815800033
DHDDS,0.0074334348189861186
HMGN2,0.2308363644224012
RPS6KA1,0.04177970627472467
ARID1A,0.01175310540084496
PIGV,0.014183373855169108
ZDHHC18,0.09850347845127856
GPN2,0.009440552699262783
GPATCH3,0.09865770861228164
NUDC,0.12058835433778532
WDTC1,0.01140115262348923
TMEM222,0.014624072848596091
SYTL1,0.09340648661302484
WASF2,0.06837304559759164
AHDC1,0.011025529394824412
