,importance score
FO538757.2,0.10571554560304412
AP006222.2,0.007676776358672911
RP11-206L10.9,0.048524310815875986
FAM41C,0.03124729495593099
NOC2L,0.014164123404100523
ISG15,0.023028525002033375
TNFRSF18,0.3137421516626458
TNFRSF4,0.06660654426022115
SDF4,0.043297523090891195
B3GALT6,0.034759185190693036
UBE2J2,0.09724928144455389
ACAP3,0.08160457532177116
PUSL1,0.09324707110960549
CPSF3L,0.09116681847413582
CPTP,0.06884108786674026
AURKAIP1,0.0307926204046525
CCNL2,0.03109997589520063
MRPL20,0.09323409933239664
ATAD3B,0.06801438753531566
ATAD3A,0.014993515906020506
SSU72,0.04113389373394991
RP5-832C2.5,0.1841741702025664
C1orf233,0.07716711383497793
RP11-345P4.9,0.20167121864814497
MIB2,0.025273851191090973
CDK11B,0.05566781583987475
SLC35E2B,0.11401044003252238
CDK11A,0.04693325321692056
NADK,0.05869962840083993
GNB1,0.03073888052262277
FAAP20,0.06385530963140447
SKI,0.17371494182450495
RER1,0.028816148350594706
PEX10,0.0700991085367351
RP3-395M20.12,0.10683682344788756
TNFRSF14,0.0891974799331706
FAM213B,0.14454897641464912
TPRG1L,0.015756922648766814
WRAP73,0.1619572031612617
TP73-AS1,0.036144760128332246
SMIM1,0.10030586791184802
LRRC47,0.052583284340613136
CEP104,0.0727701761469468
C1orf174,0.030677317119715688
KCNAB2,0.3018582969253385
RPL22,1.2031909894024486
ICMT,0.6836397764716311
ACOT7,0.12908034289144607
TNFRSF25,0.024935935781074177
NOL9,0.10627932253728156
ZBTB48,0.026438308542438362
KLHL21,0.199694571631373
THAP3,0.11781267265191699
DNAJC11,0.002438446513654344
CAMTA1,0.2413424829742968
VAMP3,0.005348799302247571
UTS2,0.001957804132411702
PARK7,0.2122757465972995
RERE,0.11921940157545706
ENO1,0.09632356663705233
H6PD,0.0203832879386949
SLC25A33,0.03540366053621227
PIK3CD,0.010286246555444923
CLSTN1,0.012285380562217502
CTNNBIP1,0.027308035569005382
LZIC,0.007270146640587282
NMNAT1,0.0974259594859323
RBP7,0.7046292440872136
UBE4B,0.010632184509073302
KIF1B,0.13326238000944574
PGD,0.07715739636112072
APITD1,0.11809603935466942
DFFA,0.015109770112292092
PEX14,0.11788743985701808
TARDBP,0.02277906682275887
SRM,0.07543290444520497
EXOSC10,0.04066462940904294
MTOR,0.09299630683672504
UBIAD1,0.04007334803779969
FBXO44,0.01709440771689925
FBXO6,0.022462009295731018
MAD2L2,0.13586751837571778
AGTRAP,0.0428570944637882
MTHFR,0.05563464661680702
KIAA2013,0.033096829757547616
PLOD1,0.11836747546687555
MFN2,0.10409695492070836
MIIP,0.021208060843214988
TNFRSF1B,0.012964746409818475
VPS13D,0.03442237873976055
DHRS3,0.0410218026814716
PRDM2,0.05813453534945662
EFHD2,0.13192151195727295
CASP9,0.06770977999965795
DNAJC16,0.07591083223229896
AGMAT,0.050343025623170994
DDI2,0.03781717643839548
PLEKHM2,0.007692990584259332
UQCRHL,0.0864402739651555
FLJ37453,0.032009222926783355
SPEN,0.016462090573860805
ZBTB17,0.2647651420742058
ARHGEF19,0.0475227286659594
FBXO42,0.11505105294905617
SZRD1,0.15620525483206882
NECAP2,0.023508986056329777
CROCC,0.002119710054035231
RP11-108M9.4,0.06414207755422506
ATP13A2,0.04933545331497437
SDHB,0.07566204316956412
PADI2,0.15040223629943064
PADI4,0.05099871097412542
RCC2,0.07305195536470739
UBR4,0.06252251938446525
EMC1,0.047073673868938
MRTO4,0.013647208291255713
AKR7A2,0.05297753139196984
PQLC2,0.03572428153991798
CAPZB,0.12440000368300076
MINOS1,0.07147753055201689
NBL1,0.03360464653102957
TMCO4,0.027824295746851836
MUL1,0.10637688520555875
CDA,0.05940133174428856
PINK1,0.13187296365827558
DDOST,0.0499648590887924
HP1BP3,0.03277254323188734
EIF4G3,0.19665015627703816
ECE1,0.07604921227205255
USP48,0.10818439627746289
LINC00339,0.036594026635161155
CDC42,0.39860362530795573
KDM1A,0.05463882606674717
LUZP1,0.030563161781863947
HNRNPR,0.23875633845900718
TCEA3,0.030669689394807353
ID3,0.08226308968969176
MDS2,0.02995815218108531
RPL11,1.350733759524271
TCEB3,0.026714389334313738
TCEB3-AS1,0.05856017525944465
PITHD1,0.003041934267081927
LYPLA2,0.04694351733970191
GALE,0.05297682372507064
HMGCL,0.009777207533560239
FUCA1,0.39606648106811426
CNR2,0.049513822574732615
PNRC2,0.08065803551647083
SRSF10,0.013268362668768153
NIPAL3,0.11306149199283423
RCAN3,0.07110911223128123
RP4-594I10.3,0.02642434799078876
SRRM1,0.014168177391583334
CLIC4,0.13647669308301486
RUNX3,0.032193713787878386
SYF2,0.014326692991136748
RSRP1,0.00830916755265602
TMEM50A,0.14616197994726138
TMEM57,0.003874990596400634
LDLRAP1,0.02199280156780616
MAN1C1,0.01967508759782095
RP1-187B23.1,0.025825988931502605
SEPN1,0.015807542307696418
MTFR1L,0.17671601228121836
PAQR7,1.2376182771387703
STMN1,0.23854168687179877
PDIK1L,0.051560242354621595
ZNF593,0.06697984025885204
CEP85,0.00042061657021206757
SH3BGRL3,0.614836037893566
UBXN11,0.02127192187608348
CD52,0.4644515834176031
DHDDS,0.02613485215800589
HMGN2,1.1334264988399743
RPS6KA1,0.03305110871867919
ARID1A,0.08861133113696078
PIGV,0.06548272188941796
ZDHHC18,0.016127797897801905
GPN2,0.10800029138900821
GPATCH3,0.3015753728801239
NUDC,0.5919734058442772
WDTC1,0.010454425421946
TMEM222,0.15227130843048373
SYTL1,0.09112405030473958
WASF2,0.10216332606456958
AHDC1,0.04746175259209685
FGR,0.03392749706247603
IFI6,0.044694153937339255
FAM76A,0.20768397366438465
STX12,0.028040635707006878
PPP1R8,0.10686152620876112
THEMIS2,0.049404135944420266
RPA2,0.12261407712156215
XKR8,0.11063356845550819
EYA3,0.01443358933309734
PTAFR,0.03695973754531935
DNAJC8,0.17439094315655582
ATPIF1,0.0404150536524968
RP5-1092A3.4,0.20904226009108068
PHACTR4,0.03625239074890784
RCC1,0.2691263838866842
TRNAU1AP,0.05347441314243815
SNHG12,0.02427997837568354
TAF12,0.09055211214855924
GMEB1,0.0067556006925153355
YTHDF2,0.07167178158116749
EPB41,0.05738016887852053
SRSF4,0.029392042861706894
MECR,0.03265253866710187
LAPTM5,0.0641730527713952
PUM1,0.15711681229836838
SNRNP40,0.017990793976792284
ZCCHC17,0.017319495194856222
PEF1,0.2638099696310114
PTP4A2,0.14551565254775617
KHDRBS1,0.25047372258437034
TMEM39B,0.016255987174740753
KPNA6,0.017477003542487
TXLNA,0.01849279138540865
CCDC28B,0.19230826297853096
TMEM234,0.0974421745874549
EIF3I,0.043990101531166226
LCK,0.02107716605588207
HDAC1,0.017121771324162764
MARCKSL1,0.10970107449333488
BSDC1,0.0426996365218386
ZBTB8OS,0.09289768676251531
RBBP4,0.16540064089865014
SYNC,0.14974024182881904
YARS,0.4422318985400467
S100PBP,0.06811453354366054
RNF19B,0.12549882302116178
AK2,0.07909564328528212
ZNF362,0.1436327488241062
PHC2,0.10650792220579738
SMIM12,0.0124369319020095
ZMYM6,0.06303055562991014
ZMYM1,0.3513150740287583
SFPQ,0.23883733694187556
