,importance score
FO538757.2,0.48693714242003094
AP006222.2,0.10065524399510635
RP11-206L10.9,0.6720599858587916
FAM41C,1.3597303273096428
NOC2L,0.4120412502081131
ISG15,0.647186588945201
TNFRSF18,0.5483172169121936
TNFRSF4,1.1454266743469566
SDF4,0.7088182343517994
B3GALT6,0.4465307636645956
UBE2J2,0.6177908309692212
ACAP3,0.7328551144398973
PUSL1,0.7770655738892462
CPSF3L,0.38517257978809605
CPTP,0.5291329875064835
AURKAIP1,0.8918313095189366
CCNL2,0.2317137444301037
MRPL20,3.005443816290392
ATAD3B,1.8064770246502797
ATAD3A,0.10543335776980738
SSU72,0.3517697439945481
RP5-832C2.5,2.4090682943747628
C1orf233,0.4088138990340506
RP11-345P4.9,5.894534921406209
MIB2,0.6711968679805589
CDK11B,0.9415206528516935
SLC35E2B,0.896356988792542
CDK11A,1.4176560834275673
NADK,0.109210417160583
GNB1,1.0403249118473414
FAAP20,2.454714211838503
SKI,1.6899098121753175
RER1,0.7557555638247166
PEX10,2.831569124339836
RP3-395M20.12,0.49586847348383883
TNFRSF14,1.1231268030755008
FAM213B,0.8541030491810843
TPRG1L,0.12990639948171281
WRAP73,1.3057651400626713
TP73-AS1,0.5714320932579204
SMIM1,0.29398149882656016
LRRC47,0.4345655547734148
CEP104,0.21724008851410398
C1orf174,0.7506166481086526
KCNAB2,0.7575256283624021
RPL22,12.034933872988045
ICMT,2.7656901505271256
ACOT7,1.7277954252174803
TNFRSF25,0.42008823493156666
NOL9,0.8918326129152349
ZBTB48,0.3642124289550085
KLHL21,1.22772682183906
THAP3,0.7336200495438334
DNAJC11,0.15138796664742488
CAMTA1,1.8061658822642321
VAMP3,0.11818858655145496
UTS2,0.07369504390137759
PARK7,2.0371077076756063
RERE,0.470773156700927
ENO1,2.796141504265014
H6PD,1.8566524008264804
SLC25A33,0.41732878313154453
PIK3CD,0.025508721441658975
CLSTN1,2.406502698992588
CTNNBIP1,0.7192468004632847
LZIC,0.20756787904291793
NMNAT1,1.2928604377090247
RBP7,3.1005282465372095
UBE4B,0.7629756847232738
KIF1B,0.7614336704396047
PGD,0.7541396596887888
APITD1,0.3672067338196896
DFFA,0.5607869405364438
PEX14,0.2509266610044627
TARDBP,0.43947933716424636
SRM,5.7577287354621
EXOSC10,0.33960786150973915
MTOR,1.325115364599401
UBIAD1,1.6985755709053207
FBXO44,0.12031987527251241
FBXO6,2.0745762903068226
MAD2L2,0.24280968132888708
AGTRAP,0.16552774954617488
MTHFR,2.2895491212808294
KIAA2013,0.3010791408229292
PLOD1,0.5366146133895555
MFN2,3.8917564753638163
MIIP,0.14563724924840332
TNFRSF1B,0.23638795144167654
VPS13D,0.1361524416741524
DHRS3,0.04714000348194621
PRDM2,0.9438523014939884
EFHD2,0.6871394486979275
CASP9,1.5889371810549184
DNAJC16,0.7158003017001685
AGMAT,0.7395986828366399
DDI2,0.4763700355887815
PLEKHM2,0.0354581830026841
UQCRHL,1.4734241025724277
FLJ37453,2.4985504707841493
SPEN,0.7579963047425385
ZBTB17,2.7908884152585114
ARHGEF19,0.3672300986263754
FBXO42,1.1808451524549077
SZRD1,2.5542841080992993
NECAP2,0.9949374921646512
CROCC,0.023830925118314937
RP11-108M9.4,0.20276050376537888
ATP13A2,0.16285533407820643
SDHB,0.7814671481398536
PADI2,1.6406677189634282
PADI4,1.0726082892652415
RCC2,0.07990283762585398
UBR4,0.12069055441068419
EMC1,0.2307077915891804
MRTO4,1.1689954325320866
AKR7A2,4.525418680687598
PQLC2,1.4810442136927164
CAPZB,2.2191865220045557
MINOS1,2.4969384599384656
NBL1,0.2990653293793396
TMCO4,0.37852852093816713
MUL1,4.624390479484958
CDA,0.24630373481792137
PINK1,1.3521799290488388
DDOST,0.4058820247730695
HP1BP3,0.6774785118555032
EIF4G3,1.936365969083238
ECE1,0.3015425325527141
USP48,2.712851176783029
LINC00339,3.948020442241069
CDC42,0.5528854275301811
KDM1A,0.4807048352585378
LUZP1,0.927342367575499
HNRNPR,0.7936366077677294
TCEA3,0.8551468035046919
ID3,12.202526029541266
MDS2,0.40951375038441795
RPL11,13.091408765404681
TCEB3,0.9373184580375606
TCEB3-AS1,1.9085833185226357
PITHD1,0.0546328607188824
LYPLA2,1.7613467412836676
GALE,0.44065339338832293
HMGCL,0.05133994955832537
FUCA1,0.34927894582820496
CNR2,2.3908008477021827
PNRC2,2.1943535661325533
SRSF10,0.2232348118120192
NIPAL3,1.7028597218677923
RCAN3,1.196223241075265
RP4-594I10.3,0.4405334211055541
SRRM1,0.026553812706704684
CLIC4,5.502757966823262
RUNX3,0.5754097711123329
SYF2,0.04250818396177682
RSRP1,0.11825829528519977
TMEM50A,0.2985238078295421
TMEM57,0.017120418617615474
LDLRAP1,1.9190456513719696
MAN1C1,0.053233613028803944
RP1-187B23.1,1.0667125872672962
SEPN1,0.08153115669310129
MTFR1L,0.7128928150563681
PAQR7,6.177156498410651
STMN1,0.8058045937675797
PDIK1L,0.6101985257934404
ZNF593,1.1791642226140355
CEP85,0.0060874767833321766
SH3BGRL3,13.521512406213072
UBXN11,0.9016855514185849
CD52,47.67199769103819
DHDDS,1.4855049260889326
HMGN2,6.861067925581607
RPS6KA1,0.2789852464137956
ARID1A,0.8316501411316839
PIGV,0.5572103570608965
ZDHHC18,0.17460254526912036
GPN2,1.6990009013546545
GPATCH3,1.1136906196000629
NUDC,11.236707995929192
WDTC1,0.06648429277442956
TMEM222,1.8569716948092645
SYTL1,0.3748497919860017
WASF2,1.939477177619482
AHDC1,0.5150841480237938
FGR,0.8210612238106101
IFI6,0.3004890677879229
FAM76A,0.25983875515326216
STX12,0.7774009746931879
PPP1R8,2.154021735721613
THEMIS2,0.27638193719294574
RPA2,2.237307114338314
XKR8,0.7348691949671379
EYA3,0.3917027916955033
PTAFR,0.7166014859599688
DNAJC8,4.02133827902052
ATPIF1,1.07591353226206
