,importance score
FO538757.2,0.044113186437253156
AP006222.2,0.005195309547099354
RP11-206L10.9,0.20346219888554914
FAM41C,0.04166454643209975
NOC2L,0.12542185389033444
ISG15,0.7553901008702972
TNFRSF18,0.28821393851460714
TNFRSF4,0.33202556473463934
SDF4,0.04047944297268969
B3GALT6,0.256543905708104
UBE2J2,0.06411912802391245
ACAP3,0.24541361975003698
PUSL1,0.035874973481075496
CPSF3L,0.3385745486844306
CPTP,0.0914394755553893
AURKAIP1,0.0201104440898398
CCNL2,0.08982196110971229
MRPL20,0.15118792331342443
ATAD3B,0.15435678446587914
ATAD3A,0.07403870388710332
SSU72,0.04033595861961286
RP5-832C2.5,0.15622162184446542
C1orf233,0.022798782529140853
RP11-345P4.9,0.05331752042967723
MIB2,0.03330504911791499
CDK11B,0.27601230976509855
SLC35E2B,0.2066055139757665
CDK11A,0.1919101023093437
NADK,0.44530144600390165
GNB1,0.47140954106255
FAAP20,0.4104296426717328
SKI,0.04927180818314543
RER1,0.3449372411896645
PEX10,0.17036201537187673
RP3-395M20.12,0.9065397451909301
TNFRSF14,0.21869426903823455
FAM213B,0.07199936091411892
TPRG1L,0.014213493774075325
WRAP73,0.050871828286921536
TP73-AS1,0.014874046040352511
SMIM1,0.07004631164365144
LRRC47,0.011076909151055078
CEP104,0.05233684968362512
C1orf174,0.08739390186660508
KCNAB2,0.4959748018874053
RPL22,1.6157744936437133
ICMT,0.8513112213330168
ACOT7,0.1807107295796189
TNFRSF25,0.054553780914361936
NOL9,0.21063056565368354
ZBTB48,0.023620746857505745
KLHL21,0.12817953350955133
THAP3,0.15175518774767022
DNAJC11,0.023646288656870355
CAMTA1,0.3864717429417266
VAMP3,0.07383780380667004
UTS2,0.0029048375383674357
PARK7,0.08029197029923173
RERE,0.06918508715964435
ENO1,0.23673234879842092
H6PD,0.20379445094132334
SLC25A33,0.08603787633146022
PIK3CD,0.027287356578217407
CLSTN1,0.19414819896656213
CTNNBIP1,0.10629891891375451
LZIC,0.02495607858417246
NMNAT1,0.08494264702725554
RBP7,1.2751345937559964
UBE4B,0.04764028087211376
KIF1B,0.05071037729111498
PGD,0.11450737107826867
APITD1,0.24966056251234436
DFFA,0.04430576309690401
PEX14,0.09432366283155322
TARDBP,0.11456996155493056
SRM,0.30617765193295576
EXOSC10,0.18902155165924414
MTOR,0.037837850933477274
UBIAD1,0.05221114542102932
FBXO44,0.03807766157190532
FBXO6,0.06763796056950865
MAD2L2,0.10895603886003684
AGTRAP,0.10024665123715863
MTHFR,0.42185948221387864
KIAA2013,0.0943857066912613
PLOD1,0.03948783470177349
MFN2,0.46051241828168954
MIIP,0.09275393413912524
TNFRSF1B,0.072983226552284
VPS13D,0.04663615751744494
DHRS3,0.09957391944000352
PRDM2,0.032044926602424806
EFHD2,0.5061250242098794
CASP9,0.33323063754633303
DNAJC16,0.021349371727961496
AGMAT,0.052279775728530466
DDI2,0.07769408448675892
PLEKHM2,0.017819418417375065
UQCRHL,0.14084058387458698
FLJ37453,0.09715017686688396
SPEN,0.12503372022240147
ZBTB17,0.24543896009814853
ARHGEF19,0.06316535334449033
FBXO42,0.25933454027630504
SZRD1,0.3462451566225133
NECAP2,0.30173261042330857
CROCC,0.004657697652007191
RP11-108M9.4,0.032840273586464304
ATP13A2,0.207900934889805
SDHB,0.1224400464668848
PADI2,0.05789130731118118
PADI4,0.07641087548355129
RCC2,0.1354821599724915
UBR4,0.05487879686075713
EMC1,0.3178875104077382
MRTO4,0.20347349133211085
AKR7A2,0.15056723758102036
PQLC2,0.27693451631604615
CAPZB,0.6997594473843928
MINOS1,0.27262792053932816
NBL1,0.049535169713614643
TMCO4,0.015252939831925893
MUL1,0.06267282620725927
CDA,0.11699760023314451
PINK1,0.10129291805315499
DDOST,0.04497025773493533
HP1BP3,0.2237195182415701
EIF4G3,0.09327433772479672
ECE1,0.020916484614851003
USP48,0.0503055265967103
LINC00339,0.2742754131537999
CDC42,2.5195697703994355
KDM1A,0.06717722744335418
LUZP1,0.021501454042110724
HNRNPR,0.0519681998420921
TCEA3,0.02048633129258147
ID3,0.3657714098007668
MDS2,0.04667065657369439
RPL11,0.4576309687266452
TCEB3,0.029683513101979125
TCEB3-AS1,0.040018156783579874
PITHD1,0.013902171894830727
LYPLA2,0.22894702619062188
GALE,0.06672184536905998
HMGCL,0.08123452358254199
FUCA1,0.0918574207950099
CNR2,0.16086318949436115
PNRC2,0.16277119946252552
SRSF10,0.02038638054705318
NIPAL3,0.06918545991240818
RCAN3,0.26193383774063717
RP4-594I10.3,0.13956030114957593
SRRM1,0.016578580913627877
CLIC4,0.8423708111088923
RUNX3,0.06927212208097348
SYF2,0.03653272403434209
RSRP1,0.015083116323694268
TMEM50A,0.09249973731669196
TMEM57,0.025294996743212478
LDLRAP1,0.17815237776129914
MAN1C1,0.008610965212823838
RP1-187B23.1,0.1528965285013931
SEPN1,0.025916107536230488
MTFR1L,0.16130191921402795
PAQR7,0.15624832250032944
STMN1,0.17478066080035712
PDIK1L,0.0405524261070357
ZNF593,0.22340497095130712
CEP85,0.0008954433707967
SH3BGRL3,2.389258381387983
UBXN11,0.18092108277928837
CD52,9.571014540007027
DHDDS,0.05500036344562308
HMGN2,0.877075236667773
RPS6KA1,0.37221070455019006
ARID1A,0.0847400638675706
PIGV,0.09177011114330809
ZDHHC18,0.1294296526953385
GPN2,0.15813352369791586
GPATCH3,0.1994669810574835
NUDC,0.24603633928166443
WDTC1,0.016034498076485604
TMEM222,0.05446794043926357
SYTL1,0.37945162143835154
WASF2,0.12993432686028666
AHDC1,0.03810191818772933
FGR,1.5141583985516562
IFI6,0.20752897696398137
FAM76A,0.13903456158698016
STX12,0.30243796193269445
PPP1R8,0.07994932936519604
THEMIS2,0.34642751515401043
RPA2,0.17616346292342855
XKR8,0.0363730172974786
EYA3,0.057603945704642
PTAFR,0.08326410219403259
DNAJC8,1.1071326611736063
ATPIF1,0.2970903746877311
RP5-1092A3.4,0.2924498598256797
PHACTR4,0.11917079287920355
RCC1,0.04938766446303448
TRNAU1AP,0.03793279063643106
SNHG12,0.019028910553990353
TAF12,0.17083599077282918
GMEB1,0.011655581165902602
YTHDF2,0.1499600143604913
EPB41,0.15526913137025233
SRSF4,0.1465936403913779
MECR,0.16308353484198274
LAPTM5,0.4821842998032762
PUM1,0.12895173777247484
SNRNP40,0.02380851475902389
ZCCHC17,0.009672707388843781
PEF1,0.19243470713082697
PTP4A2,3.872110018844826
KHDRBS1,1.2161055929920468
TMEM39B,0.04763572396406487
KPNA6,0.050278529644610145
TXLNA,0.007942118403028739
CCDC28B,0.26768752547456154
TMEM234,0.06634837105094982
EIF3I,0.059481602341184416
LCK,0.12914300597374445
HDAC1,0.15828777916161793
MARCKSL1,1.1291144086241918
BSDC1,0.06601303005188412
ZBTB8OS,0.21853743450971458
RBBP4,0.28768856817662036
SYNC,0.4067533652172179
YARS,0.16028398778546915
S100PBP,0.04110346195985232
RNF19B,0.2623895682234694
AK2,0.07808268226382567
ZNF362,0.06300585768606846
PHC2,0.06525391952391467
SMIM12,0.01556997560123311
ZMYM6,0.03132112836868319
ZMYM1,0.08955717386540966
SFPQ,0.216484892973362
ZMYM4,0.060147161315983105
KIAA0319L,0.00906739608825398
NCDN,0.08818810122804263
RP4-728D4.2,0.03455271639276685
PSMB2,0.2222120756165743
C1orf216,0.0035178046207965494
CLSPN,0.046021605288832826
AGO4,0.07099320367095631
AGO1,0.0715043671634069
AGO3,0.06747505325047365
ADPRHL2,0.3944073443994611
TRAPPC3,0.12348833251942389
MAP7D1,0.046893378421957024
THRAP3,0.145245111296106
STK40,0.08694786961518251
LSM10,0.478501364618076
MRPS15,0.022221203696930834
CSF3R,0.2988732903211188
LINC01137,0.07007169054067935
ZC3H12A,0.2761207993457069
MEAF6,0.27946074826382905
SNIP1,0.020195194192260874
GNL2,0.17893283185596282
C1orf109,0.04131878282186824
CDCA8,0.056914354975554526
YRDC,0.42371771759050225
C1orf122,0.01898053726453818
MTF1,0.014193748424815092
INPP5B,0.07940501379245675
SF3A3,0.012943131529631832
FHL3,0.33315717057951383
UTP11L,0.024621540080718537
RRAGC,0.010064993682217293
MYCBP,0.12892960983234145
AKIRIN1,0.20442775603330862
NDUFS5,0.08106181547482759
MACF1,0.005022338480799215
PABPC4,0.02346328311563271
PPIE,0.240864650348831
TRIT1,0.3420335783768841
MYCL,0.04892174848475148
CAP1,0.4567527518146871
PPT1,0.15471530995264893
RLF,0.008214221185469824
RP1-39G22.7,0.38812264030882926
ZMPSTE24,0.016922385966426017
SMAP2,0.22696263105771097
NFYC,0.010597159051480558
CITED4,0.08468197969195974
CTPS1,0.039927496439268975
SCMH1,0.12895939402443346
HIVEP3,0.08070651254479172
FOXJ3,0.06890377764292803
PPCS,0.45252035297422916
PPIH,0.016226641852151582
YBX1,3.3462857311375602
P3H1,0.13982247193999128
C1orf50,0.04523209501615358
SVBP,0.30908647366271297
ERMAP,0.06858399556475088
SLC2A1,0.1303333234311768
EBNA1BP2,0.010634090224636954
CDC20,0.17489594709757406
ELOVL1,0.21396588400252234
MED8,0.25297088017041724
SZT2,0.0514261058969926
HYI,0.04534852137143156
IPO13,0.4408186137212667
DPH2,0.057632062069813285
ATP6V0B,0.08543419131343319
DMAP1,0.014883168053165278
ERI3,0.08307354683329929
RNF220,0.2211931263984729
C1orf228,0.3040742302470528
KIF2C,0.3044982918382859
RPS8,1.5769443003039258
PLK3,0.2162069633017359
EIF2B3,0.11740660761338922
HECTD3,0.14556270695094228
UROD,0.0032806836147669747
MUTYH,0.4704666934967242
TOE1,0.07091241134712739
PRDX1,0.27541028417686936
AKR1A1,0.01593000917310979
NASP,0.12800474027725803
GPBP1L1,0.31312389626620274
TMEM69,0.05939488165277713
IPP,0.03099395372635037
POMGNT1,0.06861045459581198
LRRC41,0.0665601528034802
UQCRH,0.46814677720715264
NSUN4,0.07810834008282558
FAAH,0.041946721427133696
MKNK1,0.17677880302842336
ATPAF1,0.09879267331224899
EFCAB14,0.0074477805765611384
TAL1,0.15653317331025624
CMPK1,0.616666696301524
BEND5,0.09837578270795745
FAF1,0.07875661843258419
CDKN2C,0.47240372233533134
RNF11,0.054105773375585677
EPS15,0.13302553336499345
OSBPL9,0.04805050221115919
NRDC,0.01783204091771386
TXNDC12,0.17169992378410645
KTI12,0.02373942211092802
BTF3L4,0.011839758389527522
PRPF38A,0.006033528791703458
ZCCHC11,0.39289353454822346
GPX7,0.05692218576120079
FAM159A,0.1268274032029396
COA7,0.4414621749835012
ZYG11B,0.2693420949806319
ECHDC2,0.05954067720460913
SCP2,0.6260949516504832
CPT2,0.22589123786395446
C1orf123,0.07811361706178135
MAGOH,0.32912051099042083
RP11-117D22.2,0.2226930100783271
NDC1,0.2976570534013984
YIPF1,0.039011755696776576
HSPB11,0.26386995214007514
LRRC42,0.2270194289949211
TMEM59,0.9024877831807346
TCEANC2,0.030203592885559894
MRPL37,0.31150732731579583
SSBP3,0.016979783278081886
USP24,0.03069766772297395
OMA1,0.03537971471407529
MYSM1,0.08099751788555035
JUN,0.5577927952900943
HOOK1,0.2004830746563685
NFIA,0.6644568042891645
TM2D1,0.23385492613713021
INADL,0.18779681688689984
USP1,0.5010023414086495
ATG4C,0.13219950183373605
ALG6,0.011552886635707967
ITGB3BP,0.023925816417560284
PGM1,0.3312212247045085
JAK1,0.36569330745055456
LEPROT,0.32264174402914303
LEPR,0.6566765349323582
PDE4B,0.024278107081121828
MIER1,0.012714747219594865
SLC35D1,0.11909535208060465
SERBP1,0.1311989181154156
GADD45A,0.08600680919037247
DEPDC1,0.13300001632889574
LRRC7,0.2692920547621372
LRRC40,0.16293046012250245
SRSF11,0.04595701069922807
ANKRD13C,0.13514595570950075
HHLA3,0.11756012127249613
ZRANB2,0.09472339695498645
FPGT,0.053783250333820254
CRYZ,0.028721652911765524
TYW3,0.16344818239052739
ACADM,0.049066088538932594
RABGGTB,0.4806533952008526
PIGK,0.16410949751538584
AK5,0.11176312527167441
ZZZ3,0.5639883849882505
USP33,0.11464802724238181
FAM73A,0.05760067007294361
FUBP1,0.05489368035268642
RP11-386I14.4,0.06003354945470524
IFI44L,0.10240112787983689
IFI44,0.03022834308134553
RP5-887A10.1,1.6275134748245736
PRKACB,0.10406097734506568
RPF1,0.4621514053180368
GNG5,0.6295800360357672
CTBS,0.022846561372150086
SSX2IP,0.0024095527406493475
C1orf52,0.23188064174668996
BCL10,0.2039780656298155
ZNHIT6,0.09670175354327441
ODF2L,0.08835316123455907
SH3GLB1,0.13012432105065502
SEP15,0.0638289547718554
HS2ST1,0.052810538423761655
LMO4,0.05115505387087163
PKN2,0.18885201428494983
GTF2B,0.043893695139813546
CCBL2,0.04781344388949823
RBMXL1,0.007198719092890349
GBP3,0.2029671512389373
GBP1,0.3589391781598739
GBP2,0.38968318966044396
GBP4,0.3286940131936383
GBP5,0.20269425401529698
LRRC8B,0.00838450816857544
LRRC8C,0.030535187327372194
LRRC8D,0.09596644836777711
ZNF326,0.03570698836375363
ZNF644,0.36986331916069193
CDC7,0.12463606380270703
GLMN,0.006822267312910323
RPAP2,0.054453947123089534
EVI5,0.027015873921840315
RPL5,1.6206837460367651
MTF2,0.14164187090905306
TMED5,0.3181552756157101
CCDC18,0.13651170508876775
DR1,0.022158305090478118
DNTTIP2,0.06382408525041472
GCLM,0.046572244154121055
ABCD3,0.04211288492243708
CNN3,0.07656631857898895
ALG14,0.004840086534025729
TMEM56,0.05394287709094976
PTBP2,0.11112964057855969
DPYD,0.19814247079337075
AGL,0.19602406329353184
SLC35A3,0.004586883526401038
MFSD14A,0.16226230647699907
SASS6,0.08828566614002015
TRMT13,0.1097240081535664
DBT,0.054326250028893255
RTCA,0.10555644800224974
CDC14A,0.043864605335835284
EXTL2,0.028606172732151932
SLC30A7,0.07695461706148629
DPH5,0.2535306088074878
RP11-421L21.3,0.16945159243012112
S1PR1,0.08777694875529655
RNPC3,0.131729082395278
PRMT6,0.03439778780713557
VAV3,0.04992756993517692
RP11-356N1.2,0.12107872151118837
SLC25A24,0.04162936934277217
FAM102B,0.45390216175245773
HENMT1,0.01757614046906303
PRPF38B,0.5302847198870827
STXBP3,0.283263734115448
GPSM2,0.30623915285891895
CLCC1,0.051368030741774734
TAF13,0.09607860786467293
TMEM167B,0.08031559691267517
SARS,0.11297439104646988
SORT1,0.24879421907274424
PSMA5,0.12486029275978737
CYB561D1,0.029744235716325333
GNAI3,0.8002156144372505
AMPD2,0.15215531376410465
GSTM4,0.16021206853601946
GSTM3,0.061532546636646854
CSF1,0.08572184935775673
AHCYL1,0.2305448661453605
STRIP1,0.06518868799360825
RBM15,0.23410852327582335
SLC16A4,0.08230523260386585
LAMTOR5,0.03652460421574371
RP11-284N8.3,0.038380407187907445
KCNA3,0.19120264577797633
CD53,0.07544158170719013
LRIF1,0.08619517413751697
DRAM2,0.35004444224427445
CEPT1,0.00947189556485541
RP5-1180E21.5,0.05824265507485529
DENND2D,0.4793803633239668
CHI3L2,0.213494898742629
WDR77,0.3081580572742435
ATP5F1,0.12460545242561265
C1orf162,2.408084895823198
RAP1A,0.5551648031689471
DDX20,0.09286629371594647
ST7L,0.04311308836510623
CAPZA1,0.802585874637589
MOV10,0.005480953965145806
RHOC,2.425363246102646
SLC16A1,0.025210487551031554
SLC16A1-AS1,0.060804153517505045
LRIG2,0.08056041709240144
PHTF1,0.10337225936222065
RSBN1,0.026078053493618126
PTPN22,0.0654505776408379
AP4B1,0.0192770219853495
DCLRE1B,0.1719653726129692
HIPK1,0.2162541100620295
TRIM33,0.04375468898660973
BCAS2,0.05746349951859623
NRAS,0.10766862989211771
CSDE1,0.19275516185827288
SIKE1,0.2757409228510347
TSPAN2,0.033841600112028
VANGL1,0.01718185342614887
SLC22A15,0.05773830783637013
ATP1A1,0.544467644709373
CD58,0.5353123657964521
CD2,0.050601302355220354
TTF2,0.0026503464931029045
MAN1A2,0.06370945256554537
FAM46C,0.0806675207996693
GDAP2,0.21634988478402045
WDR3,0.09108297723147221
WARS2,0.29012624195248815
PHGDH,0.33609402954615636
NOTCH2,0.02692803663519703
SEC22B,0.033484258610401
LINC00623,0.05822969273959811
FCGR1B,0.12840487395203795
SRGAP2C,0.04989712262417741
RP11-14N7.2,0.20298988843587257
SRGAP2B,0.23966507574547616
CH17-373J23.1,0.29692242940650376
GPR89A,0.04985664068720479
CD160,0.12335828258520504
RNF115,0.2264780073947398
POLR3C,0.013043076030633654
PIAS3,0.06746327653118633
PEX11B,0.3141905562533008
RBM8A,0.09206699090379046
LIX1L,0.021082387329559298
POLR3GL,0.050419633672364794
TXNIP,2.145474324030285
NBPF12,0.13411723481534446
PRKAB2,0.23118523172138292
CHD1L,0.22047249399835106
ACP6,0.01584835995180222
GPR89B,0.07279784023187719
NBPF11,0.07527546404793288
LINC01138,0.2698130581379455
AC245100.1,0.04077178176893599
NBPF14,0.41196797892496684
PDE4DIP,0.11473389520694897
NBPF9,0.03390445711528351
CH17-189H20.1,0.24601118382221038
NBPF19,0.050957200684483
LINC00869,0.403554498992977
FAM231D,0.047532471361230705
FCGR1A,0.010521590835811532
HIST2H2BE,0.10640661713538058
HIST2H2AC,0.06702182594928098
BOLA1,0.49862942688846357
SF3B4,0.1874911085358396
MTMR11,0.14610571059597688
VPS45,0.0675538518087501
PLEKHO1,0.14221622277320287
ANP32E,0.22373475078817717
APH1A,0.2664966905974833
C1orf54,0.09967746285835248
MRPS21,0.17292260168687384
PRPF3,0.010751094601571597
RPRD2,0.13157994050549138
TARS2,0.0019610098614804713
ADAMTSL4,0.12204536603343412
MCL1,0.15194206353465964
ENSA,0.20620072605787562
GOLPH3L,0.07732127545944514
CTSS,17.060096791347796
ARNT,0.007128990048075303
SETDB1,0.0931343398261895
CERS2,0.009172219111426409
FAM63A,0.02583123229922875
PRUNE,0.1220252612864026
C1orf56,0.9721225539413613
CDC42SE1,0.6774022443368081
MLLT11,0.33387761563791557
GABPB2,0.05452954963346002
TNFAIP8L2,0.018732032829394205
SCNM1,0.2180211763173211
VPS72,0.0414909874081603
PIP5K1A,0.015059521334769224
PSMD4,0.05959684330687148
ZNF687,0.22493363941709027
PI4KB,0.05132503918837733
RFX5,0.008536647711672188
RP11-126K1.6,0.03277419716165039
SELENBP1,0.044745745297441235
PSMB4,0.007986548055061174
POGZ,0.15204768313532813
SNX27,0.010285965284099407
MRPL9,0.20816843481294156
THEM4,0.20573962285141903
S100A10,1.5509315509433645
S100A11,13.362847880939732
S100A9,4.9795969415332975
S100A12,0.9500267453739021
S100A8,5.674319526366536
S100A6,13.84564713543075
S100A4,3.6596705252506965
CHTOP,0.06966501793053978
SNAPIN,0.33016864898324827
ILF2,0.19752033987688764
INTS3,0.028610145173860225
SLC27A3,0.003107897622225868
GATAD2B,0.06757265677276605
DENND4B,0.05044435944428992
CRTC2,0.046301240586680115
SLC39A1,0.017059446829049252
CREB3L4,0.014563109609463085
JTB,0.20331880670373054
RAB13,0.08884598474212874
RPS27,3.3785276965316293
TPM3,0.33634334006155825
C1orf43,0.08563061953427317
UBAP2L,0.0186451834831995
HAX1,0.345357761429693
ATP8B2,0.01627892877215762
IL6R,0.18814622367649833
UBE2Q1,0.32327334457645746
ADAR,0.4132333502330027
PMVK,0.10110654126697326
PBXIP1,0.11412344174746654
PYGO2,0.20751413026777552
SHC1,0.04917746241207436
CKS1B,0.06381119451123923
FLAD1,0.0955379571911714
ZBTB7B,0.19543472614889992
ADAM15,0.09875320880603888
EFNA4,0.3262872499636045
SLC50A1,0.059218617279392205
DPM3,0.042974761727944503
KRTCAP2,0.08842152769112893
MTX1,0.14387689727957284
GBA,0.06846657003019398
FAM189B,0.03309576844424958
SCAMP3,0.18780106118471943
CLK2,0.1773399913983574
FDPS,0.14397782368049408
RUSC1,0.09016755716829401
ASH1L,0.19538749443835648
MSTO1,0.07076334065652314
YY1AP1,0.01157237916115506
DAP3,0.021075674418601562
GON4L,0.03378558342185944
SYT11,0.00451611142625649
RIT1,0.031059490224517594
KIAA0907,0.01757239676699249
ARHGEF2,0.17332277827738926
SSR2,0.10137676369528234
UBQLN4,0.14868832966765894
LAMTOR2,0.22961143200791512
LMNA,0.09824131154853477
SEMA4A,0.10648844718145563
SLC25A44,0.024649577164152264
PMF1,0.06027149351045972
SMG5,0.017833748820821102
GLMP,0.02131927702399024
CCT3,0.17777918590591424
MEF2D,0.1021785513897242
APOA1BP,0.029078611902943412
GPATCH4,0.07942017789321267
ISG20L2,0.022407536698112393
RRNAD1,0.12442630476381072
MRPL24,0.07532827605542969
HDGF,0.2687360537675932
PRCC,0.0356874987697665
SH2D2A,0.646525841220636
ETV3,0.29907352077246663
FCRL5,0.19678152107678132
FCRL3,0.07188497457142233
FCRL2,0.9778847340574026
FCRL1,0.25281533681302376
CD1D,0.08849463673084111
CD1C,0.14381190307992475
SPTA1,0.08536670219072527
MNDA,1.7532859414067317
PYHIN1,0.07505890516425641
IFI16,0.42358249028895095
AIM2,1.5974822731835716
FCER1A,0.6932538881503666
DUSP23,0.14681883789255623
FCRL6,0.5270539108480734
TAGLN2,0.3278849139169577
LINC01133,0.07584212443194598
PIGM,0.061433362554411126
IGSF8,0.17675140955471752
PEA15,0.08731968361873797
DCAF8,0.20201045119059563
PEX19,0.06561504824982822
COPA,0.21229955882873372
NCSTN,0.29589626413719466
SLAMF6,0.027175576264807023
CD84,0.5836447041180051
SLAMF1,0.18191996486065917
CD48,0.14543035016357042
SLAMF7,0.16343247609422423
LY9,0.05711969231701949
CD244,0.052073155382744464
F11R,0.08009458217503328
TSTD1,0.14243839372691308
USF1,0.0843300746490681
ARHGAP30,0.19962786938312563
PFDN2,0.15531559481586435
NIT1,0.37903479438014404
DEDD,0.05588002207912796
UFC1,0.561361130581493
USP21,0.09607258981758215
PPOX,0.1194843973271328
B4GALT3,0.16170444062939443
NDUFS2,0.0768610646383779
FCER1G,4.362425961423895
SDHC,0.6243696786094433
FCGR2A,0.6428431700581809
FCGR3A,48.73938628945113
FCGR2B,0.03245064857424353
FCRLA,0.28457135162799135
DUSP12,0.10051201456130561
ATF6,0.04275858334569467
UHMK1,0.07334263606463147
UAP1,0.018314758834424367
HSD17B7,0.1597403074572475
NUF2,0.022570733396338652
MGST3,0.08695706138180014
ALDH9A1,0.08038134557805904
TMCO1,0.17988344368952447
UCK2,0.04943618090927286
POGK,0.07510983436285142
TADA1,0.09002625811970336
POU2F1,0.291525301633001
CD247,0.2614283772928898
CREG1,0.03692175854716678
RCSD1,0.17480408448310394
MPZL1,0.10392452991016825
MPC2,1.0230255102891121
DCAF6,0.13997643998513049
TIPRL,0.004557554523901295
SFT2D2,0.19393664995286625
XCL2,0.10634080421167465
ATP1B1,0.1657951965165571
NME7,0.08168581613555331
BLZF1,0.020674283618674294
C1orf112,0.012287387465153753
SELL,0.4881098404474929
METTL18,0.1065876058703559
SCYL3,0.11924653116031082
KIFAP3,0.010065648272298671
PRRC2C,0.08932536584359213
VAMP4,0.03249515022483701
METTL13,0.03137244507623202
PIGC,0.032995167842879286
SUCO,0.019733529163963936
RP11-296O14.3,0.05194462882347334
PRDX6,0.03948067282734633
KLHL20,0.032967376514340965
CENPL,0.14842250757565253
ZBTB37,0.08998498473775317
RC3H1,0.03929276215672917
RABGAP1L,0.16395981213608063
CACYBP,0.16958822614598995
MRPS14,0.16002778808739948
KIAA0040,0.09552932406632103
RFWD2,0.08501941182034693
RALGPS2,0.05787417352356162
FAM20B,0.07722417395283471
TOR3A,0.23512976909875388
ABL2,0.3397882468164735
SOAT1,0.14958456663796496
TOR1AIP2,0.13389326765587006
TOR1AIP1,0.07882163422125459
CEP350,0.2694008458508983
QSOX1,0.06376123956638735
ACBD6,0.10686603700605714
XPR1,0.09169316947492288
STX6,0.032545473738701515
MR1,0.08534607281891357
IER5,0.0164251181013559
GLUL,0.8122153557120528
NPL,0.02744328541946747
DHX9,0.46730133213236735
SMG7,0.20124202826099977
NCF2,0.5918241181049716
ARPC5,0.8638247482302074
TSEN15,0.12456063337780898
C1orf21,0.5579193276443929
EDEM3,0.16970911485100115
FAM129A,0.16411928022784722
RNF2,0.16528822970672344
TRMT1L,0.09839131487381299
IVNS1ABP,0.11886291409771448
TPR,0.18493888468624387
C1orf27,0.32376538402991123
RGS18,0.9231361506510917
RGS1,0.48167266064515646
RGS2,0.8165011762253406
UCHL5,0.03220870348866179
TROVE2,0.027820541935536777
GLRX2,0.04629192427029954
CDC73,0.11403436994365251
ASPM,0.33946513910645143
DENND1B,0.18757086978633164
NEK7,0.0129023161588509
PTPRC,1.767341399479702
MIR181A1HG,0.1157666925600382
ZNF281,0.18638034707972823
DDX59,0.24628814157429427
TMEM9,0.024291345689355207
CSRP1,0.04545692330301767
IPO9,0.05797756155673023
TIMM17A,0.08192832523443837
RNPEP,0.254603847728056
ARL8A,0.07479533509033807
PTPN7,0.05888891350704931
UBE2T,0.06031847743189113
PPP1R12B,0.049162857862090785
KDM5B,0.08594876679568939
RABIF,0.194447980860109
KLHL12,0.10844353031313923
ADIPOR1,0.6152448961156407
CYB5R1,0.25236197467336074
TMEM183A,0.030890341746550448
BTG2,0.7650286283451604
ATP2B4,0.11462340758032499
LAX1,0.044275581816536715
ZC3H11A,0.03747117811013361
ZBED6,0.033859109623675304
SNRPE,0.042188097924544345
PPP1R15B,0.06413849787005545
MDM4,0.22046050561437133
RBBP5,0.3092542194742218
DSTYK,0.041068651250168633
NUAK2,0.16180427832148864
ELK4,0.06316474618814634
NUCKS1,0.3620097968268379
RAB29,0.02711713220451292
SLC41A1,0.2618091721651158
C1orf186,0.10464347104804085
SRGAP2,0.31001392639471087
