,importance score
FO538757.2,0.031124347146452225
AP006222.2,0.025257161954179656
RP11-206L10.9,0.11344833588775746
FAM41C,0.14893374819093197
NOC2L,0.09482827677153179
ISG15,0.1546365688363351
TNFRSF18,0.040539512893783256
TNFRSF4,0.16106247866964093
SDF4,0.052936461771627925
B3GALT6,0.07731822240050694
UBE2J2,0.07324179742250046
ACAP3,0.04269607044404618
PUSL1,0.043455292237089244
CPSF3L,0.14773433180804993
CPTP,0.049093431002044115
AURKAIP1,0.08056793556763123
CCNL2,0.2360984286605169
MRPL20,0.12358137924923213
ATAD3B,0.2344976826824662
ATAD3A,0.03201495041289747
SSU72,0.05821412225256287
RP5-832C2.5,0.08366041188321359
C1orf233,0.18148036150861752
RP11-345P4.9,0.21583771311605557
MIB2,0.22485055975590165
CDK11B,0.22155813782949926
SLC35E2B,0.27188929538708423
CDK11A,0.07556389178772369
NADK,0.02680266076388159
GNB1,0.1303844991091377
FAAP20,0.158897358442796
SKI,0.038268158559590135
RER1,0.10085375037715791
PEX10,0.23120173205012598
RP3-395M20.12,0.20555990251457046
TNFRSF14,0.04361581523083879
FAM213B,0.18734579051068115
TPRG1L,0.10359110803920452
WRAP73,0.2864741224468111
TP73-AS1,0.01126733440025617
SMIM1,0.021846577884275156
LRRC47,0.048665445748675464
CEP104,0.010229417812298695
C1orf174,0.02632482679023801
KCNAB2,0.2866333119776979
RPL22,0.7023371608761582
ICMT,0.12210764599427566
ACOT7,0.02225614524675164
TNFRSF25,0.052567052667570516
NOL9,0.22707774308552525
ZBTB48,0.07860778472420969
KLHL21,0.1265134893217945
THAP3,0.15181428503436534
DNAJC11,0.029458514965163305
CAMTA1,0.12660000386084624
VAMP3,0.03888777587862309
UTS2,0.006712433411712986
PARK7,0.02648236715593733
RERE,0.17046419486588948
ENO1,0.21055081133099263
H6PD,0.06092674229720821
SLC25A33,0.14392468148464185
PIK3CD,0.013351147789858023
CLSTN1,0.17210857390653928
CTNNBIP1,0.040108294295260694
LZIC,0.007042382465545889
NMNAT1,0.019630691192566378
RBP7,0.19828310436387514
UBE4B,0.039818798269063226
KIF1B,0.1281411862938588
PGD,0.04699165658158867
APITD1,0.2840803107078153
DFFA,0.06713953939211546
PEX14,0.06941499659135099
TARDBP,0.058716514257687494
SRM,0.31343610656434817
EXOSC10,0.11465666924218317
MTOR,0.02025274720223104
UBIAD1,0.06192375341093514
FBXO44,0.04812299816554104
FBXO6,0.06456259389684443
MAD2L2,0.10965834814341009
AGTRAP,0.07288508716426173
MTHFR,0.042528270133410595
KIAA2013,0.0537083995691552
PLOD1,0.07340672987137135
MFN2,0.0532409512275056
MIIP,0.026002298861808725
TNFRSF1B,0.16579307376607902
VPS13D,0.034202477543203665
DHRS3,0.05620398599365782
PRDM2,0.02444782084695625
EFHD2,0.6612947898989738
CASP9,0.16607739389878082
DNAJC16,0.06675462756050297
AGMAT,0.053177949955067215
DDI2,0.05636340668255142
PLEKHM2,0.002097451307148049
UQCRHL,0.10712512750329035
FLJ37453,0.4225084557103084
SPEN,0.04857668262365922
ZBTB17,0.07595363114788564
ARHGEF19,0.07391796400752176
FBXO42,0.3398484269456853
SZRD1,0.10185497487790647
NECAP2,0.2011732783135154
CROCC,0.0010489223526501349
RP11-108M9.4,0.05213907081551044
ATP13A2,0.008602330901304687
SDHB,0.09605205853292129
PADI2,0.05043642642761907
PADI4,0.02647347060057977
RCC2,0.09301418282728337
UBR4,0.21920872514009385
EMC1,0.2060082670747802
MRTO4,0.10051446289251892
AKR7A2,0.21553628298733893
PQLC2,0.06314368669296434
CAPZB,0.3464726288147875
MINOS1,0.07058665578032744
NBL1,0.030245439751451827
TMCO4,0.008709717601724025
MUL1,0.07660922080896232
CDA,0.02857216754845061
PINK1,0.11860092378409796
DDOST,0.30400735022848435
HP1BP3,0.06392539492927007
EIF4G3,0.01867479908134221
ECE1,0.04739352709408939
USP48,0.34616440371751944
LINC00339,0.06914011905023251
CDC42,0.11183459823586166
KDM1A,0.021526556985607206
LUZP1,0.06744173645414954
HNRNPR,0.09199185703899757
TCEA3,0.057322385464810784
ID3,0.09749200884683842
MDS2,0.2169978382687858
RPL11,1.353181007303323
TCEB3,0.006823965892685633
TCEB3-AS1,0.08565066109363093
PITHD1,0.014050306298377894
LYPLA2,0.06835846545954286
GALE,0.007532779907113899
HMGCL,0.07773448013540428
FUCA1,0.13350627870651938
CNR2,0.09904670610324322
PNRC2,0.3990661641319363
SRSF10,0.07979472968833988
NIPAL3,0.25328313993064594
RCAN3,0.16936594988024295
RP4-594I10.3,0.019554049962610752
SRRM1,0.00969290186998835
CLIC4,0.06387797713360226
RUNX3,0.15745782642767023
SYF2,0.014102969362780514
RSRP1,0.05109191929448249
TMEM50A,0.21254721900963378
TMEM57,0.0036213899613731938
LDLRAP1,0.29944779828224116
MAN1C1,0.036406564936298
RP1-187B23.1,0.12380946624486182
SEPN1,0.013870036195240468
MTFR1L,0.1070958209591263
PAQR7,0.13261437548489807
STMN1,0.1554437819511201
PDIK1L,0.008615854466443376
ZNF593,0.09567941681519637
CEP85,0.0005501945340332384
SH3BGRL3,0.22839323602008993
UBXN11,0.1590747281363823
CD52,7.012870280033812
DHDDS,0.04155129412188628
HMGN2,0.17942954866676417
RPS6KA1,0.134388542742186
ARID1A,0.07856326813408525
PIGV,0.07384652620084127
ZDHHC18,0.03653311811508507
GPN2,0.0325469289498801
GPATCH3,0.26146355380080905
NUDC,0.25100664933437006
WDTC1,0.01105654656267147
TMEM222,0.06538100427601519
SYTL1,0.49868423060346223
WASF2,0.052259111275889295
AHDC1,0.05146336754049958
FGR,0.027695424071453274
IFI6,0.04045791938057749
FAM76A,0.03342548546802129
STX12,0.025232048026220002
PPP1R8,0.0654104514212138
THEMIS2,0.04376919683516743
RPA2,0.10739669887899077
XKR8,0.23963368208242392
