,importance score
FO538757.2,0.12045645766181318
AP006222.2,0.017949491917671936
RP11-206L10.9,0.15645620210706132
FAM41C,0.25495426022128026
NOC2L,0.14080786105031082
ISG15,0.16867864536043733
TNFRSF18,0.34783123188388076
TNFRSF4,0.46676406731439346
SDF4,0.031848779266809644
B3GALT6,0.3968337479094054
UBE2J2,0.4117753256091396
ACAP3,0.14369246226108703
PUSL1,0.037873190594403854
CPSF3L,0.23366873535050683
CPTP,0.03370024111729895
AURKAIP1,0.110135439288669
CCNL2,0.43266002859561664
MRPL20,0.4251509229659385
ATAD3B,0.09318515977250719
ATAD3A,0.1804291537440034
SSU72,0.01970677281881664
RP5-832C2.5,0.07399144337690816
C1orf233,0.13534121024506635
RP11-345P4.9,0.28227138160775816
MIB2,0.3145107340387379
CDK11B,0.12784397180552845
SLC35E2B,0.21248944442109216
CDK11A,0.07455130355049613
NADK,0.13038166746297433
GNB1,0.07701096668195803
FAAP20,0.5759546395826971
SKI,0.24388903002387574
RER1,0.09811920153508522
PEX10,0.3314614329937295
RP3-395M20.12,0.0758538530080103
TNFRSF14,0.3273369356184766
FAM213B,0.586186068102944
TPRG1L,0.10511975314741946
WRAP73,0.0847192825043258
TP73-AS1,0.03443310069204016
SMIM1,0.32477848317131974
LRRC47,0.07910495629290343
CEP104,0.0739722006761624
C1orf174,0.052940652732678985
KCNAB2,0.7904865180515905
RPL22,0.7522919753637386
ICMT,0.826084472016045
ACOT7,0.45516835980359194
TNFRSF25,0.07909417783138317
NOL9,0.1823802857838549
ZBTB48,0.05923914905037439
KLHL21,0.19047204858587768
THAP3,0.22573514080312881
DNAJC11,0.03031563116610249
CAMTA1,0.2987024186071078
VAMP3,0.044248625780385305
UTS2,0.028493819257454513
PARK7,0.09635106630623569
RERE,0.1407316263342809
ENO1,0.7174565428480927
H6PD,0.3390367084579089
SLC25A33,0.13905399418719105
PIK3CD,0.011803888604244573
CLSTN1,0.07944614434675071
CTNNBIP1,0.10152770753864418
LZIC,0.05855422430736291
NMNAT1,0.20385370237333955
RBP7,0.3281198034916617
UBE4B,0.04134369686806143
KIF1B,0.22120797058947866
PGD,0.08636287874294014
APITD1,0.2254406124612554
DFFA,0.0576481216276446
PEX14,0.5014703262733262
TARDBP,0.18208683481736107
SRM,0.9585513203627252
EXOSC10,0.34634992162580136
MTOR,0.08444287481043548
UBIAD1,0.193120337784383
FBXO44,0.094358613185457
FBXO6,0.2982468387381096
MAD2L2,0.12315127450873799
AGTRAP,0.05459544847312284
MTHFR,0.3977028365973305
KIAA2013,0.06610850162416868
PLOD1,0.042275531392187
MFN2,0.41088062698755207
MIIP,0.16700986597509707
TNFRSF1B,0.1398348776918614
VPS13D,0.0587014787154559
DHRS3,0.08013940816444638
PRDM2,0.07550231947942161
EFHD2,0.2751082570466031
CASP9,0.23200642701729593
DNAJC16,0.1354623771354911
AGMAT,0.02857673596989319
DDI2,0.21563200849945857
PLEKHM2,0.009099604984834165
UQCRHL,0.0647462555470509
FLJ37453,0.1854306779070463
SPEN,0.041267278526631625
ZBTB17,0.2272021617820625
ARHGEF19,0.25047473174957285
FBXO42,0.3372679374627957
SZRD1,0.18210665804552528
NECAP2,0.19861079044961444
CROCC,0.0046528522941219974
RP11-108M9.4,0.08737487674884503
ATP13A2,0.04615730195210448
SDHB,0.06314328864098509
PADI2,0.5290968036602867
PADI4,0.23717217237409538
RCC2,0.17309644084874148
UBR4,0.22681962278435003
EMC1,0.27900868662666806
MRTO4,0.06421438022763733
AKR7A2,0.7706522080643256
PQLC2,0.2410100458546712
CAPZB,0.2517386571772174
MINOS1,0.5419731172592906
NBL1,0.023182105319097247
TMCO4,0.032845862222638175
MUL1,0.3724883650450451
CDA,0.028466434272165234
PINK1,0.25889084111557953
DDOST,0.07976092112587267
HP1BP3,0.3093979309967991
