,importance score
FO538757.2,0.03313219860578355
AP006222.2,0.021914568194004766
RP11-206L10.9,0.32955966973284684
FAM41C,0.149663306879394
NOC2L,0.04163090976853471
ISG15,0.1400906282754031
TNFRSF18,0.1869717364838586
TNFRSF4,0.5849685008675096
SDF4,0.13188963758478067
B3GALT6,0.21193227969452538
UBE2J2,0.3517240198210614
ACAP3,0.04571442537986579
PUSL1,0.06538090980502076
CPSF3L,0.0870864731008167
CPTP,0.02799440074440199
AURKAIP1,0.01829130519551321
CCNL2,0.07352614289056246
MRPL20,0.1447584677035648
ATAD3B,0.21852495935324093
ATAD3A,0.16486896411977855
SSU72,0.10914637049941919
RP5-832C2.5,0.323533123631185
C1orf233,0.04524685184040563
RP11-345P4.9,0.17846916031740762
MIB2,0.0737232153113104
CDK11B,0.2270321169230838
SLC35E2B,0.12821174576562386
CDK11A,0.41555967935301763
NADK,0.10608546677808742
GNB1,0.1995345147655082
FAAP20,0.27304168256725125
SKI,0.29554129144644425
RER1,0.23794842181876114
PEX10,0.21306979039433616
RP3-395M20.12,0.1909427197610799
TNFRSF14,0.18289564223789131
FAM213B,0.12124453665291951
TPRG1L,0.05427401487022
WRAP73,0.2884054550496339
TP73-AS1,0.04077678688253768
SMIM1,0.4221678670934871
LRRC47,0.06279742863978428
CEP104,0.08281838834208247
C1orf174,0.15225056346794513
KCNAB2,0.4441012829101409
RPL22,1.7218980184641346
ICMT,0.46788636184010074
ACOT7,0.06006724960240505
TNFRSF25,0.04958333137681979
NOL9,0.4171871714265265
ZBTB48,0.09205565899807593
KLHL21,0.11568968552171023
THAP3,0.26759543312743045
DNAJC11,0.02409448298475939
CAMTA1,0.11968206935289696
VAMP3,0.07329380268378281
UTS2,0.02077192513375179
PARK7,0.18514204343145302
RERE,0.08865656556575088
ENO1,0.3793751546157144
H6PD,0.043773854369911484
SLC25A33,0.22599250148496564
PIK3CD,0.03757789709803691
CLSTN1,0.0897337775789814
CTNNBIP1,0.03507769045818884
LZIC,0.10253109342662611
NMNAT1,0.10901480310034081
RBP7,0.7612108909607832
UBE4B,0.0845707165473263
KIF1B,0.034120228972093915
PGD,0.13200715882035285
APITD1,0.45133163613363747
DFFA,0.15903283902986898
PEX14,0.3024389047623452
TARDBP,0.04969759049057762
SRM,0.34273459048129584
EXOSC10,0.21316153693004095
MTOR,0.09272559697832418
UBIAD1,0.0543979935063317
FBXO44,0.021537444468288505
FBXO6,0.1614750961849395
MAD2L2,0.17381066967658204
AGTRAP,0.15014443969029323
MTHFR,0.2174997350699613
KIAA2013,0.10869428931698114
PLOD1,0.19831711235077432
MFN2,0.10385752219413075
MIIP,0.06763745943786333
TNFRSF1B,0.04737060214492492
VPS13D,0.011247827134591966
DHRS3,0.028049224847398947
PRDM2,0.054637883380591105
EFHD2,0.2005183338075472
CASP9,0.14950727976824935
DNAJC16,0.027125964893451197
AGMAT,0.026768650710855938
DDI2,0.1060559119861931
PLEKHM2,0.0032884787326530954
UQCRHL,0.07930796301500195
FLJ37453,0.12811221332193892
SPEN,0.01995507916038624
ZBTB17,0.12978917898210063
ARHGEF19,0.09206234299865078
FBXO42,0.08913489908893661
SZRD1,0.11350889612426887
NECAP2,0.23181545545056745
CROCC,0.004889580944029718
RP11-108M9.4,0.059071124942244424
ATP13A2,0.10501333537198544
SDHB,0.0941120454437772
PADI2,0.4842136842053375
PADI4,0.11366888069006933
RCC2,0.09395163517061905
UBR4,0.185001317812079
EMC1,0.17551984717864405
MRTO4,0.02185388354748669
AKR7A2,0.3928448997670059
PQLC2,0.06492127410226756
CAPZB,0.8134768498878434
MINOS1,0.35376011509902183
NBL1,0.03521072242957124
TMCO4,0.10505724683377515
MUL1,0.13520067301007904
CDA,0.041634130053477124
PINK1,0.06058587285586409
DDOST,0.06512884318581898
HP1BP3,0.5252065102224457
EIF4G3,0.034138210178852914
ECE1,0.01713720280525269
USP48,0.23335461831797516
LINC00339,0.0858742996231419
CDC42,0.17647287756129437
KDM1A,0.06223773978685047
LUZP1,0.048153092546238514
HNRNPR,0.18014246327633865
TCEA3,0.05641499444947566
ID3,0.06327156586595864
MDS2,0.05615225214824175
RPL11,2.812053738812449
TCEB3,0.078776604910319
