,importance score
FO538757.2,0.7001032893797186
AP006222.2,0.06701799775168148
RP11-206L10.9,0.30643916676252875
FAM41C,0.08343273164314609
NOC2L,0.26094961699308816
ISG15,0.09808382385306637
TNFRSF18,2.7705645837006663
TNFRSF4,4.038422979570841
SDF4,0.23948449918330983
B3GALT6,0.6299526190871197
UBE2J2,0.1466843703892734
ACAP3,0.09050221578786757
PUSL1,0.3776078270419286
CPSF3L,0.3400074034394903
CPTP,0.32057628954708334
AURKAIP1,0.2763884002788775
CCNL2,0.27201703182464787
MRPL20,0.18663006671680182
ATAD3B,0.897699423887125
ATAD3A,0.6610404926076667
SSU72,0.11041985463465943
RP5-832C2.5,1.043167520946026
C1orf233,0.44866156756025066
RP11-345P4.9,0.31494215795566205
MIB2,0.42588743225080433
CDK11B,0.49331510827957425
SLC35E2B,1.4322833542522726
CDK11A,0.26821771140447676
NADK,0.36923175117880774
GNB1,0.06876850857570574
FAAP20,0.5011574706969105
SKI,0.1459250620953779
RER1,0.29160143047437626
PEX10,0.19826664185996287
RP3-395M20.12,1.5628021439620878
TNFRSF14,0.05599331994508259
FAM213B,1.0921607368158697
TPRG1L,0.27114750532513215
WRAP73,0.4769451004867846
TP73-AS1,0.06047163918379242
SMIM1,7.259723264884217
LRRC47,0.1672453165229324
CEP104,0.3484702017958074
C1orf174,0.5819209737899675
KCNAB2,0.19928957224023833
RPL22,6.239079693512128
ICMT,1.6805204431505043
ACOT7,0.8789942930538944
TNFRSF25,0.08970934672139826
NOL9,0.11433900379525803
ZBTB48,0.221414830341186
KLHL21,0.13729509279021843
THAP3,0.32222419410612796
DNAJC11,0.08911081564211637
CAMTA1,0.12699441313700474
VAMP3,0.027480044532301847
UTS2,0.030095442952015414
PARK7,0.23172813526787708
RERE,0.4024613578578715
ENO1,1.784309060609979
H6PD,0.5470796343790089
SLC25A33,0.15943312528051634
PIK3CD,0.008292320881269502
CLSTN1,0.06230127490576845
CTNNBIP1,0.10797907146246506
LZIC,0.042235124392310246
NMNAT1,0.29227873216138717
RBP7,2.4228117637698054
UBE4B,0.04664739909715544
KIF1B,0.4100237812887714
PGD,0.3998552345505949
APITD1,0.1721103311928216
DFFA,0.1812955817528582
PEX14,1.1751055365080256
TARDBP,0.8661533143485941
SRM,2.960993813791931
EXOSC10,0.8524526616468531
MTOR,0.0795298876524048
UBIAD1,0.2618157261414527
FBXO44,0.15705420246369017
FBXO6,1.2096025084022863
MAD2L2,0.8112595144654581
AGTRAP,0.04622816525431332
MTHFR,1.0733611040695255
KIAA2013,0.18019482147481136
PLOD1,0.5310780424226431
MFN2,0.831642445339596
MIIP,0.1391774975677782
TNFRSF1B,0.22693303258368
VPS13D,0.15147844001918254
DHRS3,0.19371666137521998
PRDM2,0.12515164379438795
EFHD2,1.7591659538884978
CASP9,0.2868952379189061
DNAJC16,0.3176864745728536
AGMAT,0.21866809821123442
DDI2,1.054418162475298
PLEKHM2,0.033204296012523664
UQCRHL,0.7727945946846724
FLJ37453,0.3701305700603121
SPEN,0.29938442884584804
ZBTB17,0.7652865315518933
ARHGEF19,0.08280646824919154
FBXO42,1.135301094971447
SZRD1,0.1189706874103289
NECAP2,0.29412014827997635
CROCC,0.003100128168200255
RP11-108M9.4,0.32156122214335514
ATP13A2,0.20448546706127163
SDHB,0.33118050110374514
PADI2,1.4223427128400714
PADI4,0.413987092204351
RCC2,0.10187707382159364
UBR4,0.3415879961861444
EMC1,1.1485572809571893
MRTO4,0.07167468490860873
AKR7A2,1.7561089016566511
PQLC2,0.10338288922998912
CAPZB,0.14840554132198316
MINOS1,1.1889595795421508
NBL1,0.029804382869314257
TMCO4,0.19383892022570628
MUL1,0.24854636683921333
CDA,0.27207547839874613
PINK1,1.1222566065995332
DDOST,0.355894136948084
HP1BP3,0.4606505044084935
EIF4G3,0.061321645767593636
ECE1,0.6241478037799915
USP48,0.18473207445631407
LINC00339,0.5248342173846277
CDC42,1.3125039792638769
KDM1A,0.21901424398270855
LUZP1,0.06841475353642754
HNRNPR,0.469409956268642
TCEA3,0.02409828851902452
ID3,0.826644685182871
MDS2,0.21377502895261277
RPL11,5.4270912670090725
TCEB3,0.02333473940839699
TCEB3-AS1,1.1566704003728867
PITHD1,0.2156749879358596
LYPLA2,0.20452600844579932
GALE,0.34507065625209266
HMGCL,0.025488237930297027
FUCA1,0.9766595298809031
CNR2,0.3827763460119037
PNRC2,0.5335990723030932
SRSF10,0.09055222911875362
NIPAL3,0.09356388713382376
RCAN3,0.1365425204688856
RP4-594I10.3,0.05463874181382695
