,importance score
FO538757.2,0.433892965500124
AP006222.2,0.03552163850470852
RP11-206L10.9,0.43942960651470747
FAM41C,0.6907898738806882
NOC2L,0.35322619605318284
ISG15,0.6199803097464188
TNFRSF18,1.5347340834574605
TNFRSF4,0.3800896626695007
SDF4,0.25344208649813
B3GALT6,0.46765497816668716
UBE2J2,1.0318300770080142
ACAP3,0.27150355094810896
PUSL1,0.3085359326597025
CPSF3L,0.35739138994855696
CPTP,0.08909053940601375
AURKAIP1,0.4246673968552429
CCNL2,0.37828551253144027
MRPL20,1.4539397238227643
ATAD3B,0.5968032492114267
ATAD3A,0.31987813478659083
SSU72,0.13690905814049972
RP5-832C2.5,0.4250843628021687
C1orf233,0.7501509057100235
RP11-345P4.9,0.18757931248511714
MIB2,0.08744669201690186
CDK11B,0.10908024840745573
SLC35E2B,0.257041346924528
CDK11A,0.739939973527609
NADK,0.09010121051720918
GNB1,0.6590099324111499
FAAP20,0.2602995486379973
SKI,0.09592852542497429
RER1,0.43671718230003015
PEX10,1.2925291168861717
RP3-395M20.12,0.638731852451325
TNFRSF14,0.17609556399049542
FAM213B,0.5509190526826468
TPRG1L,0.1559996625301227
WRAP73,0.9530185914946243
TP73-AS1,0.17970939854271256
SMIM1,0.6888593623995297
LRRC47,0.16838381533284857
CEP104,0.12536234717525524
C1orf174,0.11572270454997685
KCNAB2,1.576837298945526
RPL22,4.664646957971713
ICMT,1.1631026212154647
ACOT7,0.5344973664081136
TNFRSF25,0.06448591709087743
NOL9,0.07533002937009753
ZBTB48,0.11347070155037128
KLHL21,0.573970373543965
THAP3,0.25249434884618976
DNAJC11,0.037518552851321316
CAMTA1,2.5133531393363002
VAMP3,0.020732983288697597
UTS2,0.04257160513186632
PARK7,0.6445097074108168
RERE,0.6117295708771422
ENO1,9.389545867438729
H6PD,0.47292524816168946
SLC25A33,0.38772571404940875
PIK3CD,0.02650316274614721
CLSTN1,0.3565053013915873
CTNNBIP1,0.14395283779808488
LZIC,0.04678232252462916
NMNAT1,0.32861695609588953
RBP7,3.1145016927922593
UBE4B,0.07293936024347435
KIF1B,0.10203496942546689
PGD,0.17078797701629903
APITD1,0.5624818776254776
DFFA,0.26540661054030196
PEX14,0.14863015904396742
TARDBP,1.0419818082564891
SRM,1.1592956538223205
EXOSC10,0.18118465990416024
MTOR,0.34184241260948184
UBIAD1,0.096198088618316
FBXO44,0.08432025191238733
FBXO6,0.9320838422369444
MAD2L2,0.2719125798056863
AGTRAP,1.011874216023319
MTHFR,0.541321879618917
KIAA2013,0.16610617348797552
PLOD1,0.05940809555939681
MFN2,0.18144941660325847
MIIP,0.3093675485768957
TNFRSF1B,0.26110464165063424
VPS13D,0.2707101902002085
DHRS3,0.032285682208501906
PRDM2,0.02682727132603448
EFHD2,0.8084873925176144
CASP9,0.16471101821307277
DNAJC16,0.030824831796977356
AGMAT,0.04735477909003246
DDI2,0.5757266742111469
PLEKHM2,0.009249605355584976
UQCRHL,0.35315794842237364
FLJ37453,1.0573645043910795
SPEN,0.17161115387253567
ZBTB17,0.6235316056842917
ARHGEF19,0.0486007935417387
FBXO42,0.6342468894200848
SZRD1,0.6434507029247416
NECAP2,0.06824225594978302
CROCC,0.002745539079031008
RP11-108M9.4,0.8143232159504852
ATP13A2,0.17417683234284562
SDHB,0.4622085424418566
PADI2,1.2848287722558218
PADI4,0.4771973098007005
RCC2,0.890367062194019
UBR4,0.5623724083471323
EMC1,0.5284871213282315
MRTO4,0.5293662989189716
AKR7A2,1.9982405567874482
PQLC2,0.1499036186814251
CAPZB,0.3047497259482226
MINOS1,0.6107271814601295
NBL1,0.026906463096146808
TMCO4,0.024802123246889653
MUL1,0.511734996174908
CDA,0.11186522327408721
PINK1,0.08863483914363833
DDOST,0.37805683730679324
HP1BP3,0.46577792367323967
EIF4G3,0.07199618081929829
ECE1,0.17507780743799808
USP48,0.3472954345931459
LINC00339,1.3877764170693814
CDC42,2.3954515584557554
KDM1A,0.17570584920801074
LUZP1,0.5741575906350117
HNRNPR,1.1302682747264532
TCEA3,0.08593140635450425
ID3,0.8348404506492814
MDS2,0.07813720898353828
RPL11,1.5343323195627465
TCEB3,0.03779210128533591
TCEB3-AS1,0.9168174033666115
PITHD1,0.023356733036497317
LYPLA2,0.09543542466042036
GALE,0.15263110589960244
HMGCL,0.08610404357470358
FUCA1,1.4321863626960836
CNR2,0.08102788288479568
PNRC2,0.14431675976565714
SRSF10,0.04355599823968703
NIPAL3,0.42871550184801305
RCAN3,0.05788941695954605
RP4-594I10.3,0.13719428942630782
SRRM1,0.01461671850555277
CLIC4,0.8788572339323218
RUNX3,0.47451780691275947
SYF2,0.044361376083276616
RSRP1,0.11487675412244841
TMEM50A,0.6832395992451116
TMEM57,0.04294427466286368
LDLRAP1,0.07856311822769434
MAN1C1,0.13391228702314412
RP1-187B23.1,0.34327941915248494
SEPN1,0.09627192701051003
MTFR1L,0.3214754562280209
PAQR7,3.875828296138641
STMN1,6.0221695787418055
PDIK1L,0.18099547051158293
ZNF593,1.3924224320649956
CEP85,0.005308684010139766
SH3BGRL3,5.142488389798361
UBXN11,0.11695974570512266
CD52,3.193220649110585
DHDDS,0.535577620727269
