,importance score
FO538757.2,0.0028100527484384453
AP006222.2,0.002569828640383675
RP11-206L10.9,0.02384891935914043
FAM41C,0.022103492877803426
NOC2L,0.002688834641974242
ISG15,0.024440271654598715
TNFRSF18,0.08199004965526496
TNFRSF4,0.04352756316010459
SDF4,0.021212164393876368
B3GALT6,0.030716132053464042
UBE2J2,0.09832739580500842
ACAP3,0.02082872270303093
PUSL1,0.008297433517893407
CPSF3L,0.017208312659006256
CPTP,0.005765426412719533
AURKAIP1,0.041318660396622506
CCNL2,0.026763872577336038
MRPL20,0.019000398598828225
ATAD3B,0.010221521108084204
ATAD3A,0.0024829618347930273
SSU72,0.008489195191625368
RP5-832C2.5,0.03198203567875119
C1orf233,0.03754237899586865
RP11-345P4.9,0.053867862099307204
MIB2,0.005773536987121922
CDK11B,0.04714572718329997
SLC35E2B,0.02471237770896428
CDK11A,0.03845899197626339
NADK,0.006974052746911826
GNB1,0.07613596505643284
FAAP20,0.07312829252049886
SKI,0.03059682325022384
RER1,0.05867068827930005
PEX10,0.07386295405982134
RP3-395M20.12,0.038005702647246946
TNFRSF14,0.011101112780867686
FAM213B,0.02971386883490328
TPRG1L,0.034985622985316954
WRAP73,0.0063135399312326465
TP73-AS1,0.007996451213044693
SMIM1,0.03569515642713218
LRRC47,0.006792843174738543
CEP104,0.016872495073186562
C1orf174,0.0032336262615246117
KCNAB2,0.0815451314830125
RPL22,0.3720745217716172
ICMT,0.016930021140419547
ACOT7,0.034314570946724444
TNFRSF25,0.014697849312128872
NOL9,0.07288560824853854
ZBTB48,0.0036605226694033243
KLHL21,0.027587075755621086
THAP3,0.018605515076466638
DNAJC11,0.004607888698349412
CAMTA1,0.034072894025766506
VAMP3,0.008388670773984183
UTS2,0.002269909388550257
PARK7,0.011263369923718956
RERE,0.007653154843289122
ENO1,0.08616555963846921
H6PD,0.020416452514611917
SLC25A33,0.011949524294313287
PIK3CD,0.0032949384217662086
CLSTN1,0.005007310263857558
CTNNBIP1,0.007214289585234982
LZIC,0.004674284895914724
NMNAT1,0.01387138556831402
RBP7,0.041971623860912986
UBE4B,0.0020013264885755493
KIF1B,0.07354535826299492
PGD,0.004626962953173407
APITD1,0.02412231083078018
DFFA,0.01262069492594209
PEX14,0.031239105766498857
TARDBP,0.034108670899478125
SRM,0.07716550424923528
EXOSC10,0.03754356510106822
MTOR,0.02234586128426176
UBIAD1,0.006539846195460162
FBXO44,0.01043777565724108
FBXO6,0.01723449801945433
MAD2L2,0.09170683373562281
AGTRAP,0.011450102333620949
MTHFR,0.02244619960079485
KIAA2013,0.006070415206909395
PLOD1,0.007503747609257234
MFN2,0.027711931362719017
MIIP,0.005964999822287836
TNFRSF1B,0.054238740244719405
VPS13D,0.01490515541106832
DHRS3,0.012028220383252353
PRDM2,0.0037690299125796656
EFHD2,0.07785767821631001
CASP9,0.047258314503132795
DNAJC16,0.009670973133355075
AGMAT,0.00841276083367655
DDI2,0.0148400516854938
PLEKHM2,0.0021316463807712995
UQCRHL,0.0261102431687033
FLJ37453,0.06181614277205781
SPEN,0.012954617450259888
ZBTB17,0.06387280119529068
ARHGEF19,0.05151859788768589
FBXO42,0.016172146815020272
SZRD1,0.015658584514576173
NECAP2,0.018855767148702785
CROCC,0.0004919293595305629
RP11-108M9.4,0.025895675210642538
ATP13A2,0.002345282051994002
SDHB,0.002704745827773542
PADI2,0.04371983559453847
PADI4,0.0023884213222743252
RCC2,0.003243873400576118
UBR4,0.04839090817454647
EMC1,0.02513424455660687
MRTO4,0.004420718718830532
AKR7A2,0.012669020305676421
PQLC2,0.04789984683910636
CAPZB,0.2399391875457629
MINOS1,0.21510525373278597
NBL1,0.010080556507543323
TMCO4,0.0034326409467718816
MUL1,0.04935362872531664
CDA,0.004289914285983385
PINK1,0.028072678005193894
DDOST,0.01818885308049667
HP1BP3,0.046201015764545064
EIF4G3,0.005160674732573701
ECE1,0.01732876260323733
USP48,0.04443298976187495
LINC00339,0.1283858448012264
CDC42,0.01611958667419795
KDM1A,0.012884820301673403
LUZP1,0.02453088381187432
HNRNPR,0.018284308377040884
TCEA3,0.0014586965072711
ID3,0.08907005111832074
MDS2,0.02354347494314326
RPL11,0.08635282951686796
TCEB3,0.008374578656919526
TCEB3-AS1,0.0196547963205214
PITHD1,0.0007344263013320521
LYPLA2,0.029045224739518902
GALE,0.014950081052829129
HMGCL,0.009413182002487317
FUCA1,0.06897209599800455
CNR2,0.023968722792404126
PNRC2,0.13255914557851095
SRSF10,0.018421529062380083
NIPAL3,0.05348901943773153
RCAN3,0.08211725839811854
RP4-594I10.3,0.0275695382133472
SRRM1,0.0014941792857353978
CLIC4,0.019970503416853226
RUNX3,0.014795173291704253
SYF2,0.014397495808246596
RSRP1,0.009201404885630373
TMEM50A,0.018890155581191004
TMEM57,0.0044360590635912096
LDLRAP1,0.016177109782566656
MAN1C1,0.005167571912939594
RP1-187B23.1,0.026383689066671847
SEPN1,0.005444918404335837
MTFR1L,0.012302977589218734
PAQR7,0.024490842182223332
STMN1,0.01919467916470623
PDIK1L,0.006371439740442416
ZNF593,0.025966659073080194
CEP85,0.00031182146769154434
SH3BGRL3,0.3541608095363108
UBXN11,0.0339060730976506
CD52,0.3365515149127973
DHDDS,0.017496424074488516
HMGN2,0.16898125379705867
RPS6KA1,0.05859852675475934
ARID1A,0.01911804054378619
PIGV,0.004781417090288724
ZDHHC18,0.049139672291072176
GPN2,0.004275104039511393
GPATCH3,0.03225048667648505
NUDC,0.033656669423917
WDTC1,0.003234673200935399
TMEM222,0.05822900443349337
SYTL1,0.1147468076851796
WASF2,0.056980518635832644
AHDC1,0.002747303041288692
FGR,0.030427815103813365
IFI6,0.021336232596275248
FAM76A,0.03844705437619146
STX12,0.005267601586876817
PPP1R8,0.0058981421013849
THEMIS2,0.042012310139838395
RPA2,0.03262770666232122
XKR8,0.010171317796437712
EYA3,0.002527278499680991
PTAFR,0.026731596660511864
DNAJC8,0.10884124714303928
ATPIF1,0.1568914313247969
RP5-1092A3.4,0.09354083956151715
PHACTR4,0.037562251372961486
RCC1,0.057431702305184955
TRNAU1AP,0.004402575116309259
SNHG12,0.01785843455411715
TAF12,0.030730122462336213
GMEB1,0.019048644002166104
YTHDF2,0.099976043748246
EPB41,0.019496467214377627
SRSF4,0.0032520836114714353
MECR,0.012499953782639803
LAPTM5,0.14525254253805076
PUM1,0.017338292621389296
SNRNP40,0.001348953192454359
ZCCHC17,0.0034558272688296715
PEF1,0.03193609822680636
PTP4A2,0.016730993686948886
KHDRBS1,0.019616753598175628
TMEM39B,0.01087370558526051
KPNA6,0.007372796402849334
TXLNA,0.01178373299518303
CCDC28B,0.019310093534385266
TMEM234,0.007538947078295201
EIF3I,0.09209846309030979
LCK,0.02291932988827444
HDAC1,0.015274996205534932
MARCKSL1,0.04062225695908906
BSDC1,0.003737001678283393
ZBTB8OS,0.04404581800914005
RBBP4,0.015067346536420969
SYNC,0.08373208328126044
YARS,0.03205574985582791
S100PBP,0.015358146932891632
RNF19B,0.007846129430634992
AK2,0.014264236535561673
ZNF362,0.01428300409465476
PHC2,0.014739941227672373
SMIM12,0.009827412980696722
ZMYM6,0.0032106659585513456
ZMYM1,0.007295658076255341
SFPQ,0.048906208153791667
ZMYM4,0.000936930698549648
KIAA0319L,0.0029336338705091523
NCDN,0.04404624578047094
RP4-728D4.2,0.032003253249591
PSMB2,0.059958458002077705
C1orf216,0.0005168187255511418
CLSPN,0.032424984597307645
AGO4,0.013356359568123134
AGO1,0.006350975675400602
AGO3,0.07024667975995187
ADPRHL2,0.04494029968076772
TRAPPC3,0.0335442693592201
MAP7D1,0.03875826821604882
THRAP3,0.0605366942543065
STK40,0.0036388086986031236
LSM10,0.01598252786575535
MRPS15,0.015274834151245599
CSF3R,0.038519912040101266
LINC01137,0.05109469404291578
ZC3H12A,0.017395442600500993
MEAF6,0.12044475462700109
SNIP1,0.014553354655504636
GNL2,0.010948985038701188
C1orf109,0.0077015519814308524
CDCA8,0.016762388764247835
YRDC,0.039725960056510884
C1orf122,0.015384572907694892
MTF1,0.006222065232266431
INPP5B,0.008355138720929937
SF3A3,0.003349355882757875
FHL3,0.050794982732567405
UTP11L,0.004726355284606582
RRAGC,0.0007932241449540476
MYCBP,0.013778381171027358
AKIRIN1,0.023691668728967122
NDUFS5,0.007903790802329417
MACF1,0.001092650251254391
PABPC4,0.0037647637287125
PPIE,0.023788923323978958
TRIT1,0.012325232768775478
MYCL,0.006205310568046108
CAP1,0.11486201567644228
PPT1,0.02033083287720312
RLF,0.0035867032346395744
RP1-39G22.7,0.03595329189705076
ZMPSTE24,0.016456345696650578
SMAP2,0.00833901009470943
NFYC,0.0008541889918189466
CITED4,0.04672145190463332
CTPS1,0.0021338231059041435
SCMH1,0.004843463107239111
HIVEP3,0.015268782425161624
FOXJ3,0.0381677153521765
PPCS,0.015781766706577705
PPIH,0.005230743696300637
YBX1,0.053719769930557104
P3H1,0.046606114940544764
C1orf50,0.003737751651918293
SVBP,0.006418749438892086
ERMAP,0.023539697324880482
SLC2A1,0.0370381483943432
EBNA1BP2,0.0029511455278077242
CDC20,0.017286954733988415
ELOVL1,0.036151473306899426
MED8,0.031604477835413314
SZT2,0.03434441711587912
HYI,0.007307767518476638
IPO13,0.035661433503772634
DPH2,0.10006928405715965
ATP6V0B,0.014978862687986337
DMAP1,0.01449593579104143
ERI3,0.010500434236633624
RNF220,0.04547747540892448
C1orf228,0.037468875975633746
KIF2C,0.07576401225041757
RPS8,1.0838268659750905
PLK3,0.02424812041834603
EIF2B3,0.011516801398221478
HECTD3,0.032493683306216534
UROD,0.00013739134084448946
MUTYH,0.008672732272771764
TOE1,0.009606604520175676
PRDX1,0.0611493661907452
AKR1A1,0.004036448678438299
NASP,0.010074449254314024
GPBP1L1,0.04637942571983979
TMEM69,0.014274008833823055
IPP,0.0017035813962949357
POMGNT1,0.015705801582792354
LRRC41,0.03374851265715086
UQCRH,0.09461767067080858
NSUN4,0.024192423589991085
FAAH,0.006873867632827528
MKNK1,0.0429956963649178
ATPAF1,0.044687680683096434
EFCAB14,0.0010199363809759831
TAL1,0.049507395518375345
CMPK1,0.05261602122924042
BEND5,0.038985544597861826
FAF1,0.01828849944903704
CDKN2C,0.16245655904394196
RNF11,0.03762816850561139
EPS15,0.04864727120982438
OSBPL9,0.008226283361313457
NRDC,0.0014735103235155422
TXNDC12,0.036435374402611714
KTI12,0.01488155698791008
BTF3L4,0.007994957828807731
PRPF38A,0.0006294739812073645
ZCCHC11,0.08038415578842999
GPX7,0.006166028772279192
FAM159A,0.09048059708151308
COA7,0.03097714381918425
ZYG11B,0.08239943389615714
ECHDC2,0.01819718895987463
SCP2,0.035398605424884544
CPT2,0.008661011514730537
C1orf123,0.012308966410792278
MAGOH,0.004954349398686097
RP11-117D22.2,0.02487191140828119
NDC1,0.00791314231960385
YIPF1,0.0022037839117448224
HSPB11,0.03791780493366452
LRRC42,0.04140035858679306
TMEM59,0.02511197401822267
TCEANC2,0.03983780529403799
MRPL37,0.07225593834997243
SSBP3,0.0006401943430465804
USP24,0.015098748371648655
OMA1,0.021737735804184907
MYSM1,0.005690538482327053
JUN,0.09716779255188042
HOOK1,0.0030169932147450225
NFIA,0.07707759252635642
TM2D1,0.026274731306787032
INADL,0.04614169201105331
USP1,0.0637949529177582
ATG4C,0.015680523356528954
ALG6,0.01576397844776282
ITGB3BP,0.0022458914793397618
PGM1,0.07290799355985585
JAK1,0.05648357894175067
LEPROT,0.0113264355537245
LEPR,0.05324019283794011
PDE4B,0.00524835113671648
MIER1,0.0036404347049178933
SLC35D1,0.047809877955025955
SERBP1,0.013486181736270598
GADD45A,0.028691439230241225
DEPDC1,0.013342522423267186
LRRC7,0.08195687659173799
LRRC40,0.026910209588135916
SRSF11,0.05150423064109672
ANKRD13C,0.004523973032010645
HHLA3,0.008153017659148724
ZRANB2,0.008919047263918633
