,importance score
FO538757.2,0.2765346989303762
AP006222.2,0.02319263617755322
RP11-206L10.9,0.07376468296973608
FAM41C,0.09203856483465654
NOC2L,0.03171834586475168
ISG15,0.1908180450188937
TNFRSF18,0.5194835175380322
TNFRSF4,0.6903228759982604
SDF4,0.03401494816147247
B3GALT6,0.1076686456229562
UBE2J2,0.1719056682767946
ACAP3,0.09471584748009121
PUSL1,0.1981291224406632
CPSF3L,0.0429677959164237
CPTP,0.1473659633999065
AURKAIP1,0.10064028352391538
CCNL2,0.08315629048765964
MRPL20,0.10759086944430901
ATAD3B,0.03857291719706546
ATAD3A,0.04137912304956112
SSU72,0.028032803583797082
RP5-832C2.5,0.09717896898738314
C1orf233,0.1306295619970104
RP11-345P4.9,0.4982177819049436
MIB2,0.06295442552850482
CDK11B,0.23665645397757862
SLC35E2B,0.33642422378232634
CDK11A,0.31822251371525034
NADK,0.051279332768496985
GNB1,0.07526748158840638
FAAP20,0.33040416732296324
SKI,0.18195547551068927
RER1,0.1818477823524255
PEX10,0.08160732210558988
RP3-395M20.12,0.06045393373601862
TNFRSF14,0.022035317021944195
FAM213B,0.39649613408918255
TPRG1L,0.07009913973788115
WRAP73,0.0454523217298868
TP73-AS1,0.010433576404221314
SMIM1,0.09731255671621929
LRRC47,0.016806921141534883
CEP104,0.03243398378833747
C1orf174,0.04816304492147828
KCNAB2,0.5797206290571295
RPL22,2.585781555572641
ICMT,0.2110118767899174
ACOT7,0.04870553655308832
TNFRSF25,0.10731950942771318
NOL9,0.08482204641375038
ZBTB48,0.07765955976991207
KLHL21,0.10333780075164703
THAP3,0.12406155223769855
DNAJC11,0.02103827969627978
CAMTA1,0.2996082867162182
VAMP3,0.015927673340065066
UTS2,0.006583313615204686
PARK7,0.2875698636813123
RERE,0.0947347271315256
ENO1,0.9007081200416637
H6PD,0.22899181311814734
SLC25A33,0.15579074275219787
PIK3CD,0.014250330247557211
CLSTN1,0.06682706158458444
CTNNBIP1,0.23795032744626274
LZIC,0.04475965716326556
NMNAT1,0.0644407730656108
RBP7,0.6173233873634796
UBE4B,0.06025511160022095
KIF1B,0.09503393278958037
PGD,0.10036408504241257
APITD1,0.11379894545500514
DFFA,0.07024127906425548
PEX14,0.399427401097311
TARDBP,0.05814839803384317
SRM,0.7065705315625559
EXOSC10,0.08336443065574808
MTOR,0.11512215095274406
UBIAD1,0.16815265716857639
FBXO44,0.03695620844839503
FBXO6,0.04148993014328621
MAD2L2,0.6411484459231513
AGTRAP,0.0794845429638901
MTHFR,0.0754900282449891
KIAA2013,0.0345587352757175
PLOD1,0.13576497520324224
MFN2,0.15648321230999318
MIIP,0.07310798256519135
TNFRSF1B,0.1298289363416331
VPS13D,0.019640485959843957
DHRS3,0.041707041620449595
PRDM2,0.09613228287793996
