,importance score
FO538757.2,0.11019381402964779
AP006222.2,0.004214887764641496
RP11-206L10.9,0.041170091158294626
FAM41C,0.037037166871097614
NOC2L,0.039669830109096894
ISG15,0.37793835762292033
TNFRSF18,0.3127529761691425
TNFRSF4,0.7160666535338158
SDF4,0.03489314751460986
B3GALT6,0.2620127252837537
UBE2J2,0.17158970503878976
ACAP3,0.055521768733984386
PUSL1,0.014387812206304399
CPSF3L,0.0399301139125958
CPTP,0.060615650033560786
AURKAIP1,0.02667517533500358
CCNL2,0.07658223009736907
MRPL20,0.05752874031870851
ATAD3B,0.0716264919919584
ATAD3A,0.021213979144595135
SSU72,0.0551605054279704
RP5-832C2.5,0.02716546085340114
C1orf233,0.06219261668229428
RP11-345P4.9,0.1178552031635895
MIB2,0.10077256086273584
CDK11B,0.35149346218947
SLC35E2B,0.24477456431479824
CDK11A,0.24534714371068034
NADK,0.05077845263711574
GNB1,0.04729074527715611
FAAP20,0.3555962114384342
SKI,0.0988637784664697
RER1,0.1292033615688723
PEX10,0.17446798885785972
RP3-395M20.12,0.20892721660476343
TNFRSF14,0.28197162886919713
FAM213B,0.1939232801275797
TPRG1L,0.08476608276888462
WRAP73,0.03924483546934563
TP73-AS1,0.010838628354536552
SMIM1,0.031468688564104993
LRRC47,0.02433526220976542
CEP104,0.051978955389087304
C1orf174,0.03286143374980485
KCNAB2,0.24429784242453179
RPL22,0.5061172937999732
ICMT,0.15803729939520966
ACOT7,0.22059894041148467
TNFRSF25,0.1569757268124252
NOL9,0.28909643299642834
ZBTB48,0.03046902791337988
KLHL21,0.12284393515708718
THAP3,0.2541872675889478
DNAJC11,0.008495345226223833
CAMTA1,0.1161451691000075
VAMP3,0.023835449175288934
UTS2,0.015393248422089296
PARK7,0.05505538250573767
RERE,0.021038751651132233
ENO1,0.6525895036282509
H6PD,0.03739389161629661
SLC25A33,0.13199626887461968
PIK3CD,0.00507428221827006
CLSTN1,0.059524895793819955
CTNNBIP1,0.04740923132684675
LZIC,0.03620211880247653
NMNAT1,0.03938416326123039
RBP7,0.36860242275558563
UBE4B,0.022609252557071077
KIF1B,0.12563682974869922
PGD,0.12077808476523161
APITD1,0.178536867514584
DFFA,0.07988053727010283
PEX14,0.055752223284565305
TARDBP,0.052636624131667385
SRM,0.7643687015528794
EXOSC10,0.09010775905897674
MTOR,0.04278292463394465
UBIAD1,0.05929545503575539
FBXO44,0.019616336973883826
FBXO6,0.05904406152423877
MAD2L2,0.30328080029865234
AGTRAP,0.04156882275167522
MTHFR,0.06488534733193546
KIAA2013,0.06957786828362376
PLOD1,0.025447100641764458
MFN2,0.19274178565594943
MIIP,0.045486646771130096
TNFRSF1B,0.048081517067693216
VPS13D,0.027755311554954833
DHRS3,0.03515691065448358
PRDM2,0.020390874096201644
EFHD2,0.4413456667359367
CASP9,0.05812381426957238
DNAJC16,0.09613512338573987
AGMAT,0.0387678678261408
DDI2,0.03244621705073363
PLEKHM2,0.00409945715396262
UQCRHL,0.1091973869725217
FLJ37453,0.2268742826240294
SPEN,0.03115803474479345
ZBTB17,0.10174671308900059
ARHGEF19,0.10681493104145202
FBXO42,0.12300026383860699
SZRD1,0.17717902138166253
NECAP2,0.10661463535451904
CROCC,0.0011715349973201142
RP11-108M9.4,0.08095082777320246
ATP13A2,0.018126532193669484
SDHB,0.10285024348846906
PADI2,0.09340652068914489
PADI4,0.02595410474823532
RCC2,0.02747201311076981
UBR4,0.21960784272833098
EMC1,0.11529291591912533
MRTO4,0.0601765691318041
AKR7A2,0.08816923909440887
PQLC2,0.08483186575711565
CAPZB,0.7048369709475362
MINOS1,0.14331358490837348
NBL1,0.011294241032960164
TMCO4,0.03594505584176022
MUL1,0.10320302887022077
CDA,0.02269207663131078
PINK1,0.09376171262794707
DDOST,0.28388449802916205
HP1BP3,0.12303816702260667
EIF4G3,0.04220542610252839
ECE1,0.0642933596106927
USP48,0.1455083979989358
LINC00339,0.23122120873611712
CDC42,0.2082158131074404
KDM1A,0.05773715256601604
LUZP1,0.1357350824654294
HNRNPR,0.08550699068500422
TCEA3,0.0410813080993292
ID3,0.18221308789438231
MDS2,0.1060238530274025
RPL11,0.6630982355464016
TCEB3,0.010335999041596601
TCEB3-AS1,0.24377450207966997
PITHD1,0.00898231183046772
LYPLA2,0.07091017694276089
GALE,0.01105431596091664
HMGCL,0.021550418972929235
FUCA1,0.4435923226612876
CNR2,0.022091103475545677
PNRC2,0.21535837536501107
SRSF10,0.04495496964269495
NIPAL3,0.31454818671586127
RCAN3,0.09284284611594451
RP4-594I10.3,0.019091888487169414
SRRM1,0.018250154392702025
CLIC4,0.07772796865187533
RUNX3,0.10504000673030695
SYF2,0.05697132877326579
RSRP1,0.020692376506452715
TMEM50A,0.44005793787535497
TMEM57,0.01142285195218806
LDLRAP1,0.12459822186279533
MAN1C1,0.051694024193707715
RP1-187B23.1,0.12127813543619967
SEPN1,0.019841035200570345
MTFR1L,0.031628524392576685
PAQR7,0.07107625131015974
STMN1,0.17557714385055237
PDIK1L,0.02306518242957023
ZNF593,0.04840165486381109
CEP85,0.0005128840215140308
SH3BGRL3,0.4417268592142007
UBXN11,0.04233981089107957
CD52,3.937330835264917
DHDDS,0.08372239665173538
HMGN2,0.5243753865283394
RPS6KA1,0.047208185860536135
ARID1A,0.029877521789397257
PIGV,0.03402514070381677
ZDHHC18,0.20979111221083707
GPN2,0.07195092032848346
GPATCH3,0.3431866363558152
NUDC,0.9608437816694737
WDTC1,0.05399357600416989
TMEM222,0.3103519185191807
SYTL1,0.3644318619010123
WASF2,0.2563430777502788
AHDC1,0.07369811894189976
FGR,0.16445293221366733
IFI6,0.19666421839927414
FAM76A,0.2020124327074707
STX12,0.035309828771565924
PPP1R8,0.027220750317134616
THEMIS2,0.0695051221041577
RPA2,0.06148241462832552
XKR8,0.0694554002514376
EYA3,0.047075678735819
PTAFR,0.02924487971144856
DNAJC8,0.08360766753874667
ATPIF1,0.2946019922165926
RP5-1092A3.4,0.5224443439740435
PHACTR4,0.11152591281019458
RCC1,0.15958692000278787
TRNAU1AP,0.10704470430344301
SNHG12,0.02696394911564627
TAF12,0.470579709971329
GMEB1,0.022095721264954845
YTHDF2,0.5966037504511732
EPB41,0.07823348687466702
SRSF4,0.030780913602813254
MECR,0.08235068511984876
LAPTM5,0.29776734129322996
PUM1,0.12967944036733525
SNRNP40,0.022774404601539885
ZCCHC17,0.008849651613743433
PEF1,0.35803742440103425
PTP4A2,0.35640006302763877
KHDRBS1,0.22509395667357973
TMEM39B,0.03706364961749908
KPNA6,0.0849452629405148
TXLNA,0.01591395312395466
CCDC28B,0.06272421553846297
TMEM234,0.07987193314121012
EIF3I,0.04338795222428894
LCK,0.327879303232346
HDAC1,0.07411980887026354
MARCKSL1,0.1529237003067372
BSDC1,0.028316009957252666
ZBTB8OS,0.2689308459480939
RBBP4,0.134744176492081
SYNC,0.057797705654083466
YARS,0.21302949422595618
S100PBP,0.10112226726355746
RNF19B,0.049464983787003154
AK2,0.027019369347340914
ZNF362,0.05912094919935535
PHC2,0.15062062688002598
SMIM12,0.037801112310966736
ZMYM6,0.03812442205326621
ZMYM1,0.41530197352621734
SFPQ,0.07421661234131245
ZMYM4,0.01695962570088906
KIAA0319L,0.024299387700572227
NCDN,0.19429385677653876
RP4-728D4.2,0.37076137954579813
PSMB2,0.3007009255732886
C1orf216,0.004966929529113977
CLSPN,0.03685660982503428
AGO4,0.04205132364610056
AGO1,0.03319085031278557
AGO3,0.18533347314092097
ADPRHL2,0.052540928043458446
TRAPPC3,0.05881737490433472
MAP7D1,0.040236925402828874
THRAP3,0.5099974935002546
STK40,0.018336591379374396
LSM10,0.11039867733453859
MRPS15,0.04627100484282999
CSF3R,0.1293628414751249
LINC01137,0.022326700191177405
ZC3H12A,0.09868396019967779
MEAF6,0.13079978813525886
SNIP1,0.019357896986061794
GNL2,0.053031544200106376
C1orf109,0.0219411987383678
CDCA8,0.03512820437539835
YRDC,0.11178561188094324
C1orf122,0.03956587512086039
MTF1,0.010248175188948222
INPP5B,0.07839903850231877
SF3A3,0.07861159865575887
FHL3,0.14238007578246978
UTP11L,0.03382193393961045
RRAGC,0.002964147606517664
MYCBP,0.017134475632027905
AKIRIN1,0.05249356743142878
NDUFS5,0.18682651269360182
MACF1,0.005932118349082918
PABPC4,0.010078923161640491
PPIE,0.227832437713372
TRIT1,0.0531851599810121
MYCL,0.013586696940556768
CAP1,0.23697415157481647
PPT1,0.050301059404909365
RLF,0.006319931222946415
RP1-39G22.7,0.1537997879111601
ZMPSTE24,0.03648810388017235
SMAP2,0.036368290754411246
NFYC,0.012142281188810717
CITED4,0.06344424946880207
CTPS1,0.023667045681920452
SCMH1,0.10070856946773676
HIVEP3,0.03204056703905267
FOXJ3,0.04975707194326657
PPCS,0.6234014835267757
PPIH,0.032605746926924105
YBX1,0.878822706022654
P3H1,0.21408555074070282
C1orf50,0.039159114483441004
SVBP,0.017891704841112913
ERMAP,0.04596673249915641
SLC2A1,0.08169285070993489
EBNA1BP2,0.011246899517885782
CDC20,0.03699438350654655
ELOVL1,0.13601656275366653
MED8,0.212319928256187
SZT2,0.23389552025085328
HYI,0.10350113912362922
IPO13,0.03731096926709003
DPH2,0.07774105593585037
ATP6V0B,0.05143761612476132
DMAP1,0.15979794355834698
ERI3,0.06580304742084761
RNF220,0.15867776166150035
C1orf228,0.15712516441319288
KIF2C,0.11987057169115826
RPS8,3.287400169837164
PLK3,0.21391305949164083
EIF2B3,0.021661620188194165
HECTD3,0.02541904102114334
UROD,0.0012085698265836872
MUTYH,0.03374795869455749
TOE1,0.06368717052833732
PRDX1,0.07768007152261847
AKR1A1,0.018555923429618752
NASP,0.029180232703198097
GPBP1L1,0.05314333447632908
TMEM69,0.03704550336482377
IPP,0.018174765041576335
POMGNT1,0.14854816688812897
LRRC41,0.11904963900404553
UQCRH,0.34253983527722315
NSUN4,0.07963557505373599
FAAH,0.02801638017526894
MKNK1,0.11713119558318773
ATPAF1,0.14104884242719362
EFCAB14,0.02090809151943575
TAL1,0.26356141956673435
CMPK1,0.2012001274210214
BEND5,0.023758171393042864
FAF1,0.07204679331120611
CDKN2C,0.1344339573182776
RNF11,0.03321314137086816
EPS15,0.07053014206985078
OSBPL9,0.036100773626874486
NRDC,0.0034091759677231915
TXNDC12,0.06876254433544285
KTI12,0.026281942114446743
BTF3L4,0.02602207682458832
PRPF38A,0.004784418111630005
ZCCHC11,0.14045128231003393
GPX7,0.02906929761871474
FAM159A,0.06597262469911129
COA7,0.07524586041728142
ZYG11B,0.03720302324313194
ECHDC2,0.18507431031484906
SCP2,0.37189778773783344
CPT2,0.026126977090427876
C1orf123,0.035128864647741696
MAGOH,0.11946869993122282
RP11-117D22.2,0.0355336245150847
NDC1,0.04826425478519345
YIPF1,0.07453098110928535
HSPB11,0.05535916665001216
LRRC42,0.17265614800929013
TMEM59,0.7958083181141036
TCEANC2,0.029627138727198576
MRPL37,0.3025830802907863
SSBP3,0.003862896855872122
USP24,0.058816395632224766
OMA1,0.04576656510357253
MYSM1,0.054463450929149136
JUN,0.5069868259940963
HOOK1,0.0279561439897812
NFIA,0.36023117185356457
TM2D1,0.22657832926403043
INADL,0.06688941264636891
USP1,0.08850373563907453
ATG4C,0.09984748863344291
ALG6,0.01634690443853904
ITGB3BP,0.021828494609643322
PGM1,0.3370244942744277
JAK1,0.2813312213356825
LEPROT,0.08096771407926105
LEPR,0.1582755443344622
PDE4B,0.021963327364733658
MIER1,0.005079902138411266
SLC35D1,0.04499959535986651
SERBP1,0.19800434197542566
GADD45A,0.05738942729263646
DEPDC1,0.14391777082069188
LRRC7,0.4069154222832999
LRRC40,0.05293748706554883
SRSF11,0.02682135791165318
ANKRD13C,0.02981904005810677
HHLA3,0.16600668332916685
ZRANB2,0.29649977438207187
FPGT,0.07102440782929455
CRYZ,0.015396809606659569
TYW3,0.04026986915633117
ACADM,0.08701558045730197
RABGGTB,0.14734093588824973
PIGK,0.03922476418223362
AK5,0.19833007694303864
ZZZ3,0.14167708309042
USP33,0.3927907736624495
FAM73A,0.01839748961737137
FUBP1,0.08692232007078644
RP11-386I14.4,0.025314029893329534
IFI44L,0.018268282038616974
IFI44,0.11464264772281992
RP5-887A10.1,0.3529729586914014
PRKACB,0.07035502151547725
RPF1,0.1664042466395195
GNG5,0.3427612335823119
CTBS,0.010658396461805672
SSX2IP,0.006470889570655167
C1orf52,0.20083399120576934
BCL10,0.18404721078387598
ZNHIT6,0.3245851136178993
ODF2L,0.23664828049363662
SH3GLB1,0.12296312716218909
SEP15,0.06798128575922832
HS2ST1,0.006859153937514603
LMO4,0.14619700859509482
PKN2,0.16519501264974382
GTF2B,0.02280825535186012
CCBL2,0.029102625479852536
RBMXL1,0.0051075565177998395
GBP3,0.09171384937524177
GBP1,0.04900998896581592
GBP2,0.49081798346201
GBP4,0.3361049987946423
GBP5,0.1828018356912068
LRRC8B,0.009871025984718267
LRRC8C,0.01151947465010089
LRRC8D,0.05134690475659059
ZNF326,0.028181953443563074
ZNF644,0.18957799981227383
CDC7,0.022346013597727952
GLMN,0.008145217991630609
RPAP2,0.2513542508520912
EVI5,0.09153549875643797
RPL5,0.5792649643462768
MTF2,0.06328837569755008
TMED5,0.07244631524437016
CCDC18,0.08497047839224628
DR1,0.088160600131914
DNTTIP2,0.13137204374442465
GCLM,0.20873107882605782
ABCD3,0.05821944978733682
CNN3,0.10832141397911874
ALG14,0.004061310844971553
TMEM56,0.05435820032797112
PTBP2,0.1003567251439836
DPYD,0.014099303643081706
AGL,0.06267892118106523
SLC35A3,0.008370929486723142
MFSD14A,0.11616776069530171
SASS6,0.18513822924284024
TRMT13,0.17104627860159213
DBT,0.09499427588981972
RTCA,0.045642216014623156
CDC14A,0.05472274158097391
EXTL2,0.0761467601434526
SLC30A7,0.11474231441086008
DPH5,0.07120440641002873
RP11-421L21.3,0.06187188570593006
S1PR1,0.040466581353679365
RNPC3,0.03347688097497635
PRMT6,0.08162023966919763
VAV3,0.012841810872694114
RP11-356N1.2,0.05875617577004404
SLC25A24,0.05404552967615984
FAM102B,0.08642721080417273
HENMT1,0.06386634388364534
PRPF38B,0.23950140603850287
STXBP3,0.10088715094820278
GPSM2,0.1042729164906084
CLCC1,0.020397907681398025
TAF13,0.19747179292659758
TMEM167B,0.0890421522057814
SARS,0.12115304993484144
SORT1,0.014769751607715549
PSMA5,0.057834722843658655
CYB561D1,0.03402383992565176
GNAI3,0.26371702341170505
AMPD2,0.08144662243502118
GSTM4,0.051655655184049826
GSTM3,0.022534595013856858
CSF1,0.37143157526211323
AHCYL1,0.04512871792288821
STRIP1,0.03264469117631072
RBM15,0.2602534550556245
SLC16A4,0.039404291136713135
LAMTOR5,0.02367297751667145
RP11-284N8.3,0.017736676753656058
KCNA3,0.18359457446649
CD53,0.5386822216846067
LRIF1,0.06331989406050945
DRAM2,0.15222985771379025
CEPT1,0.008942739106397726
RP5-1180E21.5,0.05519973819783511
DENND2D,0.2559988493200978
CHI3L2,0.15719557795124234
WDR77,0.22817934931579756
ATP5F1,0.25729366109478186
C1orf162,0.183959642907309
RAP1A,0.4500510262326179
DDX20,0.02831531350666268
ST7L,0.006824344276557967
CAPZA1,0.0991460879297178
MOV10,0.0051895407126121
RHOC,0.4126901719268942
SLC16A1,0.0517554329667971
SLC16A1-AS1,0.04656936253771414
LRIG2,0.10480282092386964
PHTF1,0.04677642715574491
RSBN1,0.1135864679529054
PTPN22,0.22585318140269572
AP4B1,0.0180199126941018
DCLRE1B,0.1918313897144224
HIPK1,0.7633813250739447
TRIM33,0.08699740014581717
BCAS2,0.1366443578481947
NRAS,0.03354040317241618
CSDE1,0.021601542324701326
SIKE1,0.1777158778793191
TSPAN2,0.01791551198537294
VANGL1,0.025000336436370306
SLC22A15,0.1144696795981491
ATP1A1,0.17860266291475074
CD58,0.10614057684028103
CD2,0.5894183071924813
TTF2,0.0046376995173117936
MAN1A2,0.26918582010684344
FAM46C,0.21426165438235145
GDAP2,0.04431086484552579
WDR3,0.10215413534460838
WARS2,0.1098323648189086
PHGDH,1.0550124954775966
NOTCH2,0.03517981453583208
SEC22B,0.022656958815877423
LINC00623,0.07961679024159689
