,importance score
FO538757.2,0.0697905115653743
AP006222.2,0.004626749273215537
RP11-206L10.9,0.05248852780267646
FAM41C,0.02036837647223009
NOC2L,0.02407173712061424
ISG15,0.19288346691430464
TNFRSF18,0.44305418936939656
TNFRSF4,0.09271698857175588
SDF4,0.009533968626338247
B3GALT6,0.18930386695252321
UBE2J2,0.17166798508415515
ACAP3,0.02938627704611256
PUSL1,0.08851441595840445
CPSF3L,0.05287429762892781
CPTP,0.0336316782835019
AURKAIP1,0.08073163302622444
CCNL2,0.24937049154184157
MRPL20,0.147957101031131
ATAD3B,0.09913973609463074
ATAD3A,0.06490094788316701
SSU72,0.033465711914050296
RP5-832C2.5,0.19448616449968126
C1orf233,0.14001441618284138
RP11-345P4.9,0.37227087322433794
MIB2,0.12669921240272658
CDK11B,0.33909271302967475
SLC35E2B,0.3155371997527954
CDK11A,0.4315234056768942
NADK,0.033981253038427396
GNB1,0.27486605649296225
FAAP20,0.08564360024100144
SKI,0.17504124307256544
RER1,0.12969799815351968
PEX10,0.04409576857950045
RP3-395M20.12,0.33087637851616397
TNFRSF14,0.07948795893257707
FAM213B,0.1389229929987588
TPRG1L,0.010854009178376416
WRAP73,0.1408769060146983
TP73-AS1,0.06680563863326279
SMIM1,0.041021185732097294
LRRC47,0.029300495807206235
CEP104,0.02509787188238661
C1orf174,0.03823638131733356
KCNAB2,0.4013289126367944
RPL22,0.73253748743203
ICMT,0.7901173675251942
ACOT7,0.13921626102045173
TNFRSF25,0.16128590362960615
NOL9,0.05711451082104725
ZBTB48,0.012143562629819797
KLHL21,0.030349192234278864
THAP3,0.0767903703529659
DNAJC11,0.006354643530191143
CAMTA1,0.20901617015113416
VAMP3,0.08891234822930957
UTS2,0.0022523761124729914
PARK7,0.7530416796143038
RERE,0.048440503145723214
ENO1,0.557582931957659
H6PD,0.2762329986551406
SLC25A33,0.07866256524228184
PIK3CD,0.01760354305659826
CLSTN1,0.026611247978051002
CTNNBIP1,0.1675249348482653
LZIC,0.03305623638249522
NMNAT1,0.041611430700639794
RBP7,1.436626568820084
UBE4B,0.04874374254067487
KIF1B,0.04458520973044814
PGD,0.026582987257833774
APITD1,0.1607633880586186
DFFA,0.0886577257009145
PEX14,0.0472843550194459
TARDBP,0.23022267002529184
SRM,0.7007325947946121
EXOSC10,0.04938021367994693
MTOR,0.05483330038213492
UBIAD1,0.13365378797177802
FBXO44,0.09567525371956408
FBXO6,0.02318801319784441
MAD2L2,0.18142764093058844
AGTRAP,0.036336958178746104
MTHFR,0.08230540597772636
KIAA2013,0.2842731034616782
PLOD1,0.06811049453631302
MFN2,0.13290637866749258
MIIP,0.029508897352319603
TNFRSF1B,0.08045647865844235
VPS13D,0.10952254609035035
DHRS3,0.05212155687709072
PRDM2,0.04315084618683066
EFHD2,0.2612999263245247
CASP9,0.028032461561810922
DNAJC16,0.06533946826020186
AGMAT,0.02285835359917727
DDI2,0.13512670618866354
PLEKHM2,0.0019201204936056101
UQCRHL,0.02109674274008894
FLJ37453,0.04871626088495514
SPEN,0.10238988156394377
ZBTB17,0.05512707010210278
ARHGEF19,0.016231323864605855
FBXO42,0.0690542859854751
SZRD1,0.22445448864224135
NECAP2,0.024928456995594667
CROCC,0.0031408782765292393
RP11-108M9.4,0.040036248261592126
ATP13A2,0.23369257735604948
SDHB,0.07947147385292741
PADI2,0.23648001918274075
PADI4,0.07537164429568263
RCC2,0.03791561491964631
UBR4,0.064581938010883
EMC1,0.1335258034001631
MRTO4,0.05471395825885427
AKR7A2,0.3134982548136508
PQLC2,0.0667533836332229
CAPZB,0.4027451343805604
MINOS1,0.3162434647120318
NBL1,0.045957617622083495
TMCO4,0.03120194031854067
MUL1,0.1847478483949674
CDA,0.06792367001252342
PINK1,0.0707933370598708
DDOST,0.22789225638901361
HP1BP3,0.06076097667451957
EIF4G3,0.06814219053860084
ECE1,0.11549937240420527
USP48,0.055663795026889076
LINC00339,0.12948044853730842
CDC42,0.9197894556512658
KDM1A,0.021351516824181033
LUZP1,0.13358794383591954
HNRNPR,0.2233920936094026
TCEA3,0.022901713593930312
ID3,0.03945817984527116
MDS2,0.021841774519353447
RPL11,0.3387329855644523
TCEB3,0.019308148598036888
TCEB3-AS1,0.22791055601672713
PITHD1,0.027886647876030336
LYPLA2,0.034146783492632976
GALE,0.16413068979854825
HMGCL,0.1349178520051458
FUCA1,0.4104280233002132
CNR2,0.06008359692708575
PNRC2,0.11422808197893254
SRSF10,0.07944014166462698
NIPAL3,0.10092101465367773
RCAN3,0.1360779356221242
RP4-594I10.3,0.11147910593361227
SRRM1,0.019841688083038336
CLIC4,0.15619605029096523
RUNX3,0.21095448739831762
SYF2,0.013663064860383574
RSRP1,0.015030196228946309
TMEM50A,0.5028225593777917
TMEM57,0.02315868891567947
LDLRAP1,0.20219531985272435
MAN1C1,0.05107925385488746
RP1-187B23.1,0.019744731816085798
SEPN1,0.0030588803209568587
MTFR1L,0.30946254677007595
PAQR7,0.7122312960791887
STMN1,0.9329714921636703
PDIK1L,0.047438424989691017
ZNF593,0.032383220417827804
CEP85,0.000218345140045272
SH3BGRL3,1.525772795944165
UBXN11,0.08856093075937903
CD52,1.9445498592045116
DHDDS,0.1505368379928473
HMGN2,2.5876249959773143
RPS6KA1,0.2207191530915441
ARID1A,0.07013253586732486
PIGV,0.11256006620408293
ZDHHC18,0.1902828137636522
GPN2,0.026366187635856696
GPATCH3,0.14549353552593633
NUDC,1.2894154467864904
WDTC1,0.019366657663099533
TMEM222,0.04512179860026752
SYTL1,0.10613925625449462
WASF2,0.050445267306092424
AHDC1,0.01785101728303935
FGR,0.03715604523334283
IFI6,0.014246190987192745
FAM76A,0.2809841922657914
STX12,0.1489130077198824
PPP1R8,0.1401873318479564
THEMIS2,0.21797197188361406
RPA2,0.07881915918753203
XKR8,0.16840827467039898
EYA3,0.10360796472259962
PTAFR,0.1143803715938053
DNAJC8,0.15833129377319743
ATPIF1,0.28880712648610124
RP5-1092A3.4,0.10450672329216737
PHACTR4,0.025404377033088725
RCC1,0.05780331342751487
TRNAU1AP,0.05068426919466778
SNHG12,0.07071025804112736
TAF12,0.5960252942567295
GMEB1,0.019762262150422268
YTHDF2,0.35350301041470206
EPB41,0.08229295076942453
SRSF4,0.041154409000182524
MECR,0.12518390879420313
LAPTM5,0.18489790351264032
PUM1,0.11791797439437232
SNRNP40,0.03748818191912656
ZCCHC17,0.005895925399824693
PEF1,0.16461767023985321
PTP4A2,0.663163581035875
KHDRBS1,0.10894860730785891
TMEM39B,0.04035029853886159
KPNA6,0.01417873412940743
TXLNA,0.0093835626004179
CCDC28B,0.2130665944756734
TMEM234,0.019146642531700304
EIF3I,0.043885895398108284
LCK,0.1476078765143633
HDAC1,0.04048576882181476
MARCKSL1,0.45719135753814216
BSDC1,0.06442178256533135
ZBTB8OS,0.05555444145765763
RBBP4,0.14953368473456893
SYNC,0.14548275409534056
