,importance score
FO538757.2,0.050158265928730066
AP006222.2,0.004730528151430723
RP11-206L10.9,0.1832218757549861
FAM41C,0.028531593730830182
NOC2L,0.051403125370156004
ISG15,0.5875434087174829
TNFRSF18,0.05896876153263677
TNFRSF4,0.4793824894031434
SDF4,0.02726372879508767
B3GALT6,0.10683228611139112
UBE2J2,0.2723650687808414
ACAP3,0.21393060934048355
PUSL1,0.023517929701097354
CPSF3L,0.051605534692531735
CPTP,0.02191600139355921
AURKAIP1,0.11310177082924255
CCNL2,0.09180474901514708
MRPL20,0.14047127418529334
ATAD3B,0.17664090753860634
ATAD3A,0.0695641589730755
SSU72,0.047697869671891664
RP5-832C2.5,0.09509228648958915
C1orf233,0.1156878262472156
RP11-345P4.9,0.044380368877339475
MIB2,0.0625243069682401
CDK11B,0.18579940035740666
SLC35E2B,0.12943017298127635
CDK11A,0.10523691369879781
NADK,0.07193631471958978
GNB1,0.1143083655297681
FAAP20,0.1812146203447669
SKI,0.16065250251809826
RER1,0.28788830563881923
PEX10,0.25187100226474557
RP3-395M20.12,0.041175589609529176
TNFRSF14,0.1303262829859554
FAM213B,0.030295424832939403
TPRG1L,0.05957060285164611
WRAP73,0.1595445467877936
TP73-AS1,0.008740514655622738
SMIM1,0.10070274514302145
LRRC47,0.044310590019776906
CEP104,0.15739461088782253
C1orf174,0.09465253126850166
KCNAB2,0.7997624287191847
RPL22,1.7369323355692234
ICMT,0.7660817103638323
ACOT7,0.034412708846769585
TNFRSF25,0.3555815012871054
NOL9,0.1438936190851249
ZBTB48,0.03442370822043357
KLHL21,0.1332217389456924
THAP3,0.20720416173318199
DNAJC11,0.019527373168727186
CAMTA1,0.44774674428260625
VAMP3,0.014010065094941068
UTS2,0.007862065131208563
PARK7,0.14465592706557603
RERE,0.20435489346066335
ENO1,0.5902387946114221
H6PD,0.15951651300741151
SLC25A33,0.13886737220029097
PIK3CD,0.010619554340110181
CLSTN1,0.02608029869657536
CTNNBIP1,0.03178191128982709
LZIC,0.019558794301756575
NMNAT1,0.01871124359544155
RBP7,0.3943077154225257
UBE4B,0.02481962149648516
KIF1B,0.02681510510594494
PGD,0.08663065190678351
APITD1,0.041427346473433255
DFFA,0.01697754681287368
PEX14,0.047222013289042276
TARDBP,0.1072450454365171
SRM,0.2071429570103511
EXOSC10,0.09741240986604235
MTOR,0.01911268225215391
UBIAD1,0.36481971469585717
FBXO44,0.01733986200781969
FBXO6,0.2828290129228564
MAD2L2,0.21526789304666807
AGTRAP,0.036454474894962355
MTHFR,0.09796156720780967
KIAA2013,0.09524197538906207
PLOD1,0.08718886229253321
MFN2,0.04353869168559078
MIIP,0.013185521795582378
TNFRSF1B,0.12322976473654705
VPS13D,0.01183169671045309
DHRS3,0.05402502387880299
PRDM2,0.07456208619496206
EFHD2,0.510979408236379
CASP9,0.17897697588473627
DNAJC16,0.07919330749961226
AGMAT,0.0936402781356022
DDI2,0.0442316101669676
PLEKHM2,0.023440721229593234
UQCRHL,0.092175959547585
FLJ37453,0.22068057513946632
SPEN,0.01636072814053161
ZBTB17,0.3210485471389897
ARHGEF19,0.10237872100855763
FBXO42,0.2957972217274002
SZRD1,0.27550830467753135
NECAP2,0.04748759283534188
CROCC,0.0034612564082673212
RP11-108M9.4,0.016107549960125814
ATP13A2,0.01946743552325122
