,importance score
FO538757.2,2.0460122653505257
AP006222.2,0.09646934731376051
RP11-206L10.9,2.0141533579097186
FAM41C,1.4787547944797765
NOC2L,0.5521971449944565
ISG15,3.9165979476918027
TNFRSF18,2.5952815204295905
TNFRSF4,3.08065332634997
SDF4,1.7450257612114246
B3GALT6,0.27616940314298954
UBE2J2,1.0537635176145064
ACAP3,0.30336820345181836
PUSL1,0.4630061989091723
CPSF3L,1.2396395805940963
CPTP,0.2663177755966137
AURKAIP1,0.7642713348954474
CCNL2,0.43461607892822096
MRPL20,1.919817622200293
ATAD3B,0.6938149765978985
ATAD3A,0.16143975711113576
SSU72,1.2177265860964832
RP5-832C2.5,0.6273990407670825
C1orf233,1.0817700022830556
RP11-345P4.9,1.7474055652748373
MIB2,0.5009849957045543
CDK11B,0.5739220640746047
SLC35E2B,5.8353614291256655
CDK11A,0.3056217443915181
NADK,0.946223957839825
GNB1,0.5956644714766837
FAAP20,0.7992256232313038
SKI,3.682345196117786
RER1,0.5221720345883336
PEX10,1.1900382524534499
RP3-395M20.12,0.48311816038672906
TNFRSF14,0.452821666600186
FAM213B,0.9193524860973447
TPRG1L,0.20803407729421441
WRAP73,1.8558928248221442
TP73-AS1,0.38862548992544166
SMIM1,3.205205904101329
LRRC47,0.31309794959032994
CEP104,0.8763756380428658
C1orf174,1.0029622080895284
KCNAB2,0.4747951082933606
RPL22,14.254308031788089
ICMT,6.364349312885066
ACOT7,0.3440266488743472
TNFRSF25,2.691040039986911
NOL9,1.421707284043055
ZBTB48,0.7862735039001746
KLHL21,0.8509746222350798
THAP3,1.6205690767964631
DNAJC11,0.20724079947223006
CAMTA1,0.6316171146996575
VAMP3,0.0959977475897329
UTS2,0.020566283562251098
PARK7,2.2503148163358855
RERE,0.341114749533602
ENO1,2.6814776417153046
H6PD,0.6666578989642585
SLC25A33,2.8114974016185657
PIK3CD,0.17305995876805663
CLSTN1,0.29338245252433887
CTNNBIP1,0.1690889535025403
LZIC,0.3329537764024175
NMNAT1,0.2720792372440428
RBP7,3.48705961970707
UBE4B,0.30123149168923974
KIF1B,0.49802876971312815
PGD,0.5328574110628959
APITD1,2.3520835684113663
DFFA,1.9928001477025103
PEX14,6.32747240760022
