,importance score
FO538757.2,0.07037212721684295
AP006222.2,0.003730957765745672
RP11-206L10.9,0.07758742000565097
FAM41C,0.028974039150752227
NOC2L,0.02561279296613057
ISG15,0.04380575417083284
TNFRSF18,0.1330675270317751
TNFRSF4,0.20576601000493971
SDF4,0.056757260552338144
B3GALT6,0.09563515479321386
UBE2J2,0.22001571371678044
ACAP3,0.041137839870444365
PUSL1,0.053424682205833
CPSF3L,0.0315173625357486
CPTP,0.035255299575481486
AURKAIP1,0.030823959353804643
CCNL2,0.03255320177245048
MRPL20,0.15546854948436947
ATAD3B,0.017650116919153108
ATAD3A,0.020799249346360345
SSU72,0.010752510066722289
RP5-832C2.5,0.0707970413177706
C1orf233,0.06378194906069165
RP11-345P4.9,0.1071496738363695
MIB2,0.010114179650471863
CDK11B,0.030641027413106106
SLC35E2B,0.058195998044406116
CDK11A,0.07628121062532882
NADK,0.10456538900289306
GNB1,0.04920197209971466
FAAP20,0.03261233160813984
SKI,0.023764806533345614
RER1,0.07142540288749531
PEX10,0.09505826034673247
RP3-395M20.12,0.05329274480710199
TNFRSF14,0.013661416544807802
FAM213B,0.12207830022679786
TPRG1L,0.060442530771625404
WRAP73,0.08055999765350919
TP73-AS1,0.005084626402993321
SMIM1,0.22003006411739498
LRRC47,0.0064622308650105625
CEP104,0.03513022384185723
C1orf174,0.03705835789611291
KCNAB2,0.03600993949586177
RPL22,0.3537494654412817
ICMT,0.26504032185242205
ACOT7,0.10758663062924181
TNFRSF25,0.022942529531265455
NOL9,0.11198400682278144
ZBTB48,0.016529355200832884
KLHL21,0.03567215657395548
THAP3,0.024872874841873765
DNAJC11,0.01059380902455942
CAMTA1,0.1404964712518085
VAMP3,0.006015861469472379
UTS2,0.005875486726724588
PARK7,0.08731558502294649
RERE,0.05755814094923969
ENO1,0.15119723508567093
H6PD,0.06712067044133639
SLC25A33,0.1554388037378847
PIK3CD,0.0027418985687814755
CLSTN1,0.02686959490001475
CTNNBIP1,0.07268419743974795
LZIC,0.05335442938052813
NMNAT1,0.014158232596971554
RBP7,0.49880681628084533
UBE4B,0.014373550559783841
KIF1B,0.05971319376363628
PGD,0.01682261514424313
APITD1,0.07644539433550787
DFFA,0.012284981386644193
PEX14,0.026193775240297375
TARDBP,0.16129882333128184
SRM,0.07927160276709973
EXOSC10,0.033057483166440964
MTOR,0.021887582226635314
UBIAD1,0.015962206269464888
FBXO44,0.014520110533457194
FBXO6,0.023567697054517542
MAD2L2,0.5257530655340917
AGTRAP,0.038369210118896345
MTHFR,0.03210400392412249
KIAA2013,0.05016876712339606
PLOD1,0.03254647051587331
MFN2,0.030125178738491708
MIIP,0.023865519227610318
TNFRSF1B,0.04001673583312497
VPS13D,0.02915599580709315
DHRS3,0.07267165032865602
PRDM2,0.013981539815611127
EFHD2,0.1000046294402667
CASP9,0.08057121266178319
DNAJC16,0.026105002908413884
AGMAT,0.016007841481274907
DDI2,0.061143569845324694
PLEKHM2,0.0027137963875734205
UQCRHL,0.021789268248027578
FLJ37453,0.13265719816533836
SPEN,0.01382167676085715
ZBTB17,0.062357255138005344
ARHGEF19,0.051881811454284985
FBXO42,0.04956999729026075
SZRD1,0.06720977447157118
NECAP2,0.039581429094519914
CROCC,0.0023186159799135453
RP11-108M9.4,0.020282101203238295
ATP13A2,0.047093326346756725
SDHB,0.060706984944419055
PADI2,0.10674418021531892
PADI4,0.013144474104262149
RCC2,0.01935740927605995
UBR4,0.02230324118570353
EMC1,0.08423543116512112
MRTO4,0.0365435684021635
AKR7A2,0.06473594334256279
PQLC2,0.09917974713169214
CAPZB,0.21750501331001185
MINOS1,0.31559119197203533
NBL1,0.01840634930293212
TMCO4,0.005535302260037172
MUL1,0.03976733268535967
CDA,0.028024141419933687
PINK1,0.02139763765980909
DDOST,0.029532413247803726
HP1BP3,0.04409418833288019
EIF4G3,0.029068793355145724
ECE1,0.04482593593489471
USP48,0.13029328496604936
LINC00339,0.12895456767446398
CDC42,0.38289141408623145
KDM1A,0.018234440905684924
LUZP1,0.06910749453523236
HNRNPR,0.21576144451245532
TCEA3,0.013354799923945745
ID3,0.14542957602861073
MDS2,0.0492885411802661
RPL11,0.1662091715338177
TCEB3,0.0060424685045386665
TCEB3-AS1,0.08285405635730742
PITHD1,0.0037357809937592426
LYPLA2,0.1347313366838322
GALE,0.05548502090052278
HMGCL,0.014310663252179152
FUCA1,0.17200712258832787
CNR2,0.020141909522458236
PNRC2,0.10118207397664146
SRSF10,0.1002565232948083
NIPAL3,0.16479988779544877
RCAN3,0.06596267375294446
RP4-594I10.3,0.014323975359972478
SRRM1,0.021125140367123117
CLIC4,0.08902790936382042
RUNX3,0.05177886447574288
SYF2,0.0069346568324770395
RSRP1,0.014297513860946938
TMEM50A,0.1260402346647603
TMEM57,0.0036519634108221426
LDLRAP1,0.1138630227136893
MAN1C1,0.04347967573720895
RP1-187B23.1,0.06065085613192294
SEPN1,0.007782813702205208
MTFR1L,0.02745455883531966
PAQR7,0.15292326152180372
STMN1,3.181641052617404
PDIK1L,0.020929517083698276
ZNF593,0.05883335617539984
CEP85,0.0005362342020354236
SH3BGRL3,0.07656570954776896
UBXN11,0.030046900349885237
CD52,1.2484428209025467
DHDDS,0.025151545347407225
HMGN2,2.5462683110753077
RPS6KA1,0.07875959633645356
ARID1A,0.01570598449271226
PIGV,0.03272634852262478
ZDHHC18,0.15273103386499556
GPN2,0.020983470242270888
GPATCH3,0.03567951061758655
NUDC,0.4337411565053333
WDTC1,0.04358210206633136
TMEM222,0.056287414942610886
SYTL1,0.02659230734926676
WASF2,0.06800529107821182
AHDC1,0.03556596059280387
FGR,0.03675124109911491
IFI6,0.010114548968373969
FAM76A,0.12836714463568522
STX12,0.028849151230503536
PPP1R8,0.018421379520068604
THEMIS2,0.0150990339416574
RPA2,0.15445236569067092
XKR8,0.01593465925170986
EYA3,0.03006878067975401
PTAFR,0.05240053844863562
DNAJC8,0.1399535176384819
ATPIF1,0.16256192291707386
RP5-1092A3.4,0.1202957003959633
PHACTR4,0.01481638567684425
RCC1,0.12285222790022719
TRNAU1AP,0.03157122424822361
SNHG12,0.013049890004724299
TAF12,0.09027809012088707
GMEB1,0.01129040668213666
YTHDF2,0.0528969949623278
EPB41,0.02575120055584173
SRSF4,0.04661973226940983
MECR,0.07401490838366138
LAPTM5,0.6196296457081735
PUM1,0.01869366712444221
SNRNP40,0.019357595466759355
ZCCHC17,0.004890800283486657
PEF1,0.06672084995250743
PTP4A2,0.1669220301558841
KHDRBS1,0.30244264979779917
TMEM39B,0.015353207589286731
KPNA6,0.009388654020609415
TXLNA,0.013617972210944422
CCDC28B,0.14190601544932466
TMEM234,0.015953317477641425
EIF3I,0.08269379450732706
LCK,0.011418003278876297
HDAC1,0.014064994505623027
MARCKSL1,0.25999480516707263
BSDC1,0.005697426078505713
ZBTB8OS,0.09959788399802692
RBBP4,0.12179140334815318
SYNC,0.1350169254007296
YARS,0.09129713829023485
S100PBP,0.026005329042686574
RNF19B,0.05601168836883592
AK2,0.15269674954175264
ZNF362,0.02241653442126997
PHC2,0.009897239354974208
SMIM12,0.007611639961711817
ZMYM6,0.013480013988795184
ZMYM1,0.12109940224127505
SFPQ,0.07761905173214673
ZMYM4,0.009816581042126885
KIAA0319L,0.006549396769247354
NCDN,0.10039501878270052
RP4-728D4.2,0.03404084917140681
PSMB2,0.11355402252931139
C1orf216,0.001177559540063255
CLSPN,0.23926118497806553
AGO4,0.03622789849271989
AGO1,0.03205145545987442
AGO3,0.07376750374871731
ADPRHL2,0.0264903578448272
TRAPPC3,0.01613435264320388
MAP7D1,0.06673077947518537
THRAP3,0.10367273939952544
STK40,0.006692381049923573
LSM10,0.058289654207940626
MRPS15,0.018204344641810775
CSF3R,0.11688998657133211
LINC01137,0.04188915228018591
ZC3H12A,0.051183759571509724
MEAF6,0.1138324726649852
SNIP1,0.061994320786333525
GNL2,0.10162539734783434
C1orf109,0.008119403424839302
CDCA8,0.1662567197867976
YRDC,0.05797909945617885
C1orf122,0.004979758492097547
MTF1,0.009886159688112269
INPP5B,0.055355883570684335
SF3A3,0.004652755097773744
FHL3,0.15887433298625805
UTP11L,0.01655690321586235
RRAGC,0.004236501043951086
MYCBP,0.03950644826983232
AKIRIN1,0.063244305827126
NDUFS5,0.09430279525144743
MACF1,0.007394022111814375
PABPC4,0.005310713933571059
PPIE,0.02939767456061168
TRIT1,0.017820318684440634
MYCL,0.005801114693296578
CAP1,0.038048690868439226
PPT1,0.06251933273967027
RLF,0.010053828502062323
RP1-39G22.7,0.08307368020489662
ZMPSTE24,0.012262798081100772
SMAP2,0.013986731333626594
NFYC,0.006820901918107955
CITED4,0.03882572345313703
CTPS1,0.021561906539191718
SCMH1,0.1028895286324049
HIVEP3,0.01695215676818021
FOXJ3,0.06047749585087423
PPCS,0.07128288583959753
PPIH,0.037247386289363985
YBX1,0.32435586436863456
P3H1,0.07266828330856288
C1orf50,0.009496460160200374
SVBP,0.0729033393844987
ERMAP,0.027409748789542568
SLC2A1,0.050816909317481465
EBNA1BP2,0.008354721759570562
CDC20,0.14780285164137166
ELOVL1,0.013540956009846882
MED8,0.06814308427316033
SZT2,0.11736066769323543
HYI,0.023979280393340657
IPO13,0.02310356489303513
DPH2,0.18544661742793322
ATP6V0B,0.008449317266760193
DMAP1,0.008223625185926725
ERI3,0.025080807157002505
RNF220,0.10156486813118122
C1orf228,0.4064102469142475
KIF2C,0.5030944123483421
RPS8,0.5376564385359307
PLK3,0.07560520488515807
EIF2B3,0.04615880641361141
HECTD3,0.09941952111784531
UROD,0.003320910863453668
MUTYH,0.040388398632556215
TOE1,0.03834218413999743
PRDX1,0.8086707922516171
AKR1A1,0.010062089207159003
NASP,0.23513329232409194
GPBP1L1,0.07870227453797883
TMEM69,0.015662296028381713
IPP,0.0043307330956425544
POMGNT1,0.025711845200616205
LRRC41,0.022863050138625867
UQCRH,0.09112579550958419
NSUN4,0.05777554278626525
FAAH,0.007065207172454755
MKNK1,0.20028878902089198
ATPAF1,0.023593206118069514
EFCAB14,0.007247057444086477
TAL1,0.1335359752383155
CMPK1,0.17374318599616803
BEND5,0.0485797563030737
FAF1,0.024510402992375502
CDKN2C,0.8560676283088137
RNF11,0.06304691669550593
EPS15,0.22001135422167625
OSBPL9,0.00704541516817031
NRDC,0.004689178176735459
TXNDC12,0.03027771999212986
KTI12,0.032578053035962985
BTF3L4,0.028893821527086028
PRPF38A,0.01030909763538879
ZCCHC11,0.060679690680260794
GPX7,0.02524664715540592
FAM159A,0.035413397637493856
COA7,0.047536950030329074
ZYG11B,0.19843560398293517
ECHDC2,0.02281640647814594
SCP2,0.05920367052986034
CPT2,0.1151662839538703
C1orf123,0.033761399322328425
MAGOH,0.0639774899326808
RP11-117D22.2,0.03691052190923363
NDC1,0.024992689340088005
YIPF1,0.021074408888435387
HSPB11,0.2802709887058606
LRRC42,0.12856282172142555
TMEM59,0.09314902405077057
TCEANC2,0.03151234522074881
MRPL37,0.059046054940401806
SSBP3,0.0037614113141308508
USP24,0.03266292280805651
OMA1,0.036284696215003354
MYSM1,0.02180427334609464
JUN,0.15896565834504683
HOOK1,0.020506538533692657
NFIA,0.6783763649250637
TM2D1,0.02541278672454183
INADL,0.10722260044489876
USP1,0.4724633925538588
ATG4C,0.05203000532653938
ALG6,0.013805106509559668
ITGB3BP,0.029040115876975157
PGM1,0.1895010023253186
JAK1,0.06268940747622422
LEPROT,0.2044161140176931
LEPR,0.11463521374676362
PDE4B,0.03904039208111357
MIER1,0.013194834047400118
SLC35D1,0.04572067284696092
SERBP1,0.05892287391594305
GADD45A,0.042114099781523695
DEPDC1,0.06598522056265145
LRRC7,0.14237216021263696
LRRC40,0.01884388190290065
SRSF11,0.07268762604015239
ANKRD13C,0.10842314939430317
HHLA3,0.014880215808032277
ZRANB2,0.07237240734655408
FPGT,0.026675863756375193
CRYZ,0.01853276494524142
TYW3,0.24883238818320863
ACADM,0.03271552669413621
RABGGTB,0.07165440617448027
PIGK,0.026348726873317473
AK5,0.058038471861561663
ZZZ3,0.15728123851008866
USP33,0.12903886905627382
FAM73A,0.01143076231648307
FUBP1,0.04944584543069267
RP11-386I14.4,0.052305992576299136
IFI44L,0.015512899529182429
IFI44,0.011308118102602337
RP5-887A10.1,0.21149215439463337
PRKACB,0.08359241968766934
RPF1,0.1306260638829246
GNG5,0.2909692668333246
CTBS,0.03201109463175881
SSX2IP,0.007728183610039716
C1orf52,0.1264407020136066
BCL10,0.019849795943512844
ZNHIT6,0.09776827360491208
ODF2L,0.14108555256079613
SH3GLB1,0.05126337923507953
SEP15,0.025356459294889683
HS2ST1,0.012513936494660325
LMO4,0.042221483832538736
PKN2,0.05338310502228947
GTF2B,0.005683726843862828
CCBL2,0.011588530230548375
RBMXL1,0.0016728226202467448
GBP3,0.06881727048394186
GBP1,0.06455918483822667
GBP2,0.04046153494463861
GBP4,0.07153851955542724
GBP5,0.38152346840544904
LRRC8B,0.009059431303380354
LRRC8C,0.0073627253549810485
LRRC8D,0.012388628655351433
ZNF326,0.012008038011213935
ZNF644,0.1982861908388955
CDC7,0.016144875384230473
GLMN,0.003406414035780113
RPAP2,0.013118568274327686
EVI5,0.03556571871568513
RPL5,0.20014670543450058
MTF2,0.03275433060966063
TMED5,0.05511500421251942
CCDC18,0.0273152780097817
DR1,0.03847485328012949
DNTTIP2,0.2279447686431902
GCLM,0.10110933471306824
