,importance score
FO538757.2,0.02370471913213105
AP006222.2,0.0016564144838661337
RP11-206L10.9,0.0630195690460486
FAM41C,0.09659367182063472
NOC2L,0.025984807890803405
ISG15,0.019198737699216296
TNFRSF18,0.3472086506148287
TNFRSF4,0.43375101116359555
SDF4,0.08943355224116314
B3GALT6,0.017763678489845024
UBE2J2,0.09631299704688392
ACAP3,0.034629197575218866
PUSL1,0.016796591294822298
CPSF3L,0.10688044147733508
CPTP,0.027228032133893597
AURKAIP1,0.011793224208061672
CCNL2,0.06048327546187181
MRPL20,0.040020978445082796
ATAD3B,0.052291440925314306
ATAD3A,0.08814056686725748
SSU72,0.0197494596486808
RP5-832C2.5,0.051372359973567074
C1orf233,0.08423588959595711
RP11-345P4.9,0.03949151404441555
MIB2,0.052268278973287424
CDK11B,0.044152215577435414
SLC35E2B,0.17334417246827272
CDK11A,0.02161469209035011
NADK,0.026225385885351785
GNB1,0.022513728294049948
FAAP20,0.053996305863096325
SKI,0.13021877729101278
RER1,0.17143578095223427
PEX10,0.07227557530802567
RP3-395M20.12,0.026227059592694
TNFRSF14,0.02937065501153503
FAM213B,0.1648704483026355
TPRG1L,0.014577604884379373
WRAP73,0.031124866150694343
TP73-AS1,0.006836061044915322
SMIM1,0.11977407067167292
LRRC47,0.03654594031738081
CEP104,0.0345355608015131
C1orf174,0.030815401414119026
KCNAB2,0.07259453529215905
RPL22,0.5333370991042068
ICMT,0.08443633354693748
ACOT7,0.11267321795633536
TNFRSF25,0.012724829462645105
NOL9,0.1821554037694488
ZBTB48,0.03808251508647603
KLHL21,0.03124516005604905
THAP3,0.11332891378485323
DNAJC11,0.018366304200325256
CAMTA1,0.13131431924572343
VAMP3,0.013537226049939618
UTS2,0.0026426367488158946
PARK7,0.038780859763508084
RERE,0.035423535977642126
ENO1,0.3007057549729388
H6PD,0.03806451012273729
SLC25A33,0.01700795781842529
PIK3CD,0.004622121162589426
CLSTN1,0.05168750520122422
CTNNBIP1,0.02254817675488925
LZIC,0.021427895379650768
NMNAT1,0.013434360301010624
RBP7,0.19698287450339397
UBE4B,0.021982640944335392
KIF1B,0.04539213859195657
PGD,0.019211635597369763
APITD1,0.18349761214423504
DFFA,0.05793603559911699
PEX14,0.08885143204771027
TARDBP,0.018671143739708712
SRM,0.5387892132554911
EXOSC10,0.16117233171593082
MTOR,0.03752387049766441
UBIAD1,0.04654645408357181
FBXO44,0.01657939676456851
FBXO6,0.10502789091119395
MAD2L2,0.05184001164244781
AGTRAP,0.08198687933727437
MTHFR,0.03348616363178218
KIAA2013,0.06511222691598605
PLOD1,0.011267861917534764
MFN2,0.05309920530377838
MIIP,0.041447593961912395
TNFRSF1B,0.03774048916583205
VPS13D,0.010654645643995072
DHRS3,0.0080271630340112
PRDM2,0.010177173298854822
EFHD2,0.37245538100290737
CASP9,0.08624799105521745
DNAJC16,0.048585943377293314
AGMAT,0.02401769240935891
DDI2,0.05029043116518546
PLEKHM2,0.007094236848576633
UQCRHL,0.05814889895917776
FLJ37453,0.1255424814057559
SPEN,0.04033643485505375
ZBTB17,0.043126820914063786
ARHGEF19,0.027493985238115127
FBXO42,0.041509970722866184
SZRD1,0.07411041800558664
NECAP2,0.03130764262811993
CROCC,0.002192010151923725
RP11-108M9.4,0.061017123582214026
ATP13A2,0.012686212847773954
SDHB,0.0729605631250376
PADI2,0.06953834257105856
PADI4,0.05843227261662545
RCC2,0.03127731721490744
UBR4,0.1425636840185157
EMC1,0.06078468752567337
MRTO4,0.044450956799290675
AKR7A2,0.11356629097267033
PQLC2,0.05913668330797687
CAPZB,0.06799585240948998
MINOS1,0.14491204116465242
NBL1,0.008480704590167502
TMCO4,0.009758637120894486
MUL1,0.06842536623886022
CDA,0.01772028077814901
PINK1,0.033758149958793525
DDOST,0.17042866535793932
HP1BP3,0.05784333250623317
EIF4G3,0.026618451874743872
ECE1,0.06520079258764895
USP48,0.10694277581060993
LINC00339,0.2300590500756671
CDC42,0.1405820606112522
KDM1A,0.0127511849910476
LUZP1,0.02802815489844063
HNRNPR,0.07931277729302617
TCEA3,0.022597350566276462
ID3,0.12035143587281576
MDS2,0.0457471670723496
RPL11,0.41307891298438787
TCEB3,0.01091504737434306
TCEB3-AS1,0.019355979381327524
PITHD1,0.009545830466270043
LYPLA2,0.051181084863559045
GALE,0.03206266807657714
HMGCL,0.02288246979143011
FUCA1,0.13034018189955499
CNR2,0.012525469458919697
PNRC2,0.05933189678914973
SRSF10,0.01248951400223746
NIPAL3,0.020082665400954415
RCAN3,0.04020360314913813
RP4-594I10.3,0.03643405272266589
SRRM1,0.004356203270598248
CLIC4,0.13687111699617757
RUNX3,0.0940437303790472
SYF2,0.005368331175205094
RSRP1,0.011877428405216899
TMEM50A,0.10888133018410955
TMEM57,0.01820260205866947
LDLRAP1,0.08682757603397326
MAN1C1,0.009584075026390932
RP1-187B23.1,0.009980496404248989
SEPN1,0.019703647368036682
MTFR1L,0.025846052346130688
PAQR7,0.23609529575138963
STMN1,0.1563981042830753
PDIK1L,0.015195941221705993
ZNF593,0.04506626516909018
CEP85,0.00032925014148735835
SH3BGRL3,0.2826455627082067
UBXN11,0.022316934084468606
CD52,1.2684256014473303
DHDDS,0.030233977261552983
HMGN2,0.7664784135828495
RPS6KA1,0.023886604042709855
ARID1A,0.019138704270229016
PIGV,0.011490643819614945
ZDHHC18,0.03216928639446338
GPN2,0.012103150633176595
GPATCH3,0.186506581065144
NUDC,0.16218563827455335
WDTC1,0.0090111082554462
TMEM222,0.02489445456727785
SYTL1,0.18491752313365825
WASF2,0.156954538699937
AHDC1,0.01272516036488822
FGR,0.13681837922441506
IFI6,0.07737324440867373
FAM76A,0.037208487372836024
STX12,0.011899667832252646
PPP1R8,0.07812589322607111
THEMIS2,0.09187360312796826
