,importance score
FO538757.2,0.019901359975785828
AP006222.2,0.0023488656159063623
RP11-206L10.9,0.03700699146988346
FAM41C,0.034872118419687376
NOC2L,0.09430092654711754
ISG15,0.26478515309476075
TNFRSF18,0.108582541103918
TNFRSF4,0.5659576760904736
SDF4,0.01699273972905999
B3GALT6,0.09914023163565797
UBE2J2,0.10613786254539584
ACAP3,0.035941925828741325
PUSL1,0.010148264915640783
CPSF3L,0.08733320223175375
CPTP,0.03593499765250265
AURKAIP1,0.06445983014060379
CCNL2,0.03640606324710071
MRPL20,0.08930568541111786
ATAD3B,0.16383242361467482
ATAD3A,0.06380016517424628
SSU72,0.026189525755784523
RP5-832C2.5,0.07351759714279742
C1orf233,0.1041916666771444
RP11-345P4.9,0.19527890286917018
MIB2,0.036786521576003865
CDK11B,0.04363532905430856
SLC35E2B,0.1987026660500452
CDK11A,0.12376876975111052
NADK,0.036318135101997155
GNB1,0.05596139615465287
FAAP20,0.12714602964972765
SKI,0.050831029033635795
RER1,0.08669419770845073
PEX10,0.10141800795563516
RP3-395M20.12,0.049452714243264605
TNFRSF14,0.020294445489085343
FAM213B,0.09839503958564988
TPRG1L,0.021374896130309975
WRAP73,0.062012777239341954
TP73-AS1,0.018094498435792975
SMIM1,0.16797259085809332
LRRC47,0.00838701893343373
CEP104,0.020178088913036792
C1orf174,0.06137104354199046
KCNAB2,0.09216742106597833
RPL22,0.40318366368418906
ICMT,0.046118523225171563
ACOT7,0.10429980597968817
TNFRSF25,0.02548463318497481
NOL9,0.15854385557467743
ZBTB48,0.007968563501036172
KLHL21,0.034585505461791864
THAP3,0.11645162957345989
DNAJC11,0.007318735160852018
CAMTA1,0.06788837255513776
VAMP3,0.035601259625468465
UTS2,0.005860496472708131
PARK7,0.13863601472397497
RERE,0.061927048030377116
ENO1,0.19291386743159547
H6PD,0.02886936655217156
SLC25A33,0.02314138700931622
PIK3CD,0.007390869782142673
CLSTN1,0.09782764141056133
CTNNBIP1,0.042419907518231506
LZIC,0.012097875319592999
NMNAT1,0.03682869112210813
RBP7,0.10634870539741947
UBE4B,0.024488385574700813
KIF1B,0.02432822430363129
PGD,0.029151535892323322
APITD1,0.1366078834527804
DFFA,0.029755710719031832
PEX14,0.10463469356451134
TARDBP,0.026441697839428065
SRM,0.15269063562011748
EXOSC10,0.15089291144890118
MTOR,0.08514016991404391
UBIAD1,0.02310520233039674
FBXO44,0.019783265383979055
FBXO6,0.07405688902738268
MAD2L2,0.07393983705364489
AGTRAP,0.15133775971645844
MTHFR,0.07767871949088112
KIAA2013,0.046792885741183586
PLOD1,0.06335470415952879
MFN2,0.18771412241045182
MIIP,0.023954223395658406
TNFRSF1B,0.04295513812212219
VPS13D,0.010119538695989055
DHRS3,0.00943185255624029
PRDM2,0.022811314797117833
EFHD2,0.35221442882584714
CASP9,0.02116117889962319
DNAJC16,0.033804452724753235
AGMAT,0.016062813542848615
DDI2,0.07473645272286324
PLEKHM2,0.0058337587779917904
UQCRHL,0.049898149312701236
FLJ37453,0.31337481849676846
SPEN,0.026916912970062858
ZBTB17,0.09987076805721505
