,importance score
FO538757.2,0.04461740415529861
AP006222.2,0.018236190014328826
RP11-206L10.9,0.7594032707035928
FAM41C,0.03873569691811174
NOC2L,0.08753244287438057
ISG15,0.6155169468185598
TNFRSF18,0.08308498601280187
TNFRSF4,0.9386334277027096
SDF4,0.13544037942757434
B3GALT6,0.2832688123875061
UBE2J2,0.47360567316916713
ACAP3,0.15338894134713396
PUSL1,0.07111709482473609
CPSF3L,0.06545494503487183
CPTP,0.018395442976635843
AURKAIP1,0.13485754600688923
CCNL2,0.045527045424108424
MRPL20,0.5943224837604817
ATAD3B,0.04067246332548706
ATAD3A,0.1368912111865891
SSU72,0.030367722242488654
RP5-832C2.5,0.3474922332552829
C1orf233,0.05202095617747425
RP11-345P4.9,0.254957385415498
MIB2,0.11664910784949754
CDK11B,0.5193992714959182
SLC35E2B,0.8116780105943413
CDK11A,0.5457490953445506
NADK,0.20905007685842625
GNB1,0.4628346629455954
FAAP20,0.6155832782882176
SKI,0.05771491466335696
RER1,0.4494061781686338
PEX10,0.04688296484568107
RP3-395M20.12,0.4489966847996277
TNFRSF14,0.0789423569347379
FAM213B,0.08946543315212413
TPRG1L,0.01457918740429814
WRAP73,0.18307086419583893
TP73-AS1,0.033783294424078555
SMIM1,0.17400921202839942
LRRC47,0.034844693431297064
CEP104,0.017547324960210223
C1orf174,0.08386506821764889
KCNAB2,0.5913814256466866
RPL22,1.27551611283856
ICMT,1.2869142869271428
ACOT7,0.1428928198271195
TNFRSF25,0.1523061418766063
NOL9,0.27647704514895993
ZBTB48,0.03182125621003694
KLHL21,0.10190341774586227
THAP3,0.15122479420673007
DNAJC11,0.029140325910716688
CAMTA1,0.21716000588650067
VAMP3,0.04657873901209279
UTS2,0.03110682440246579
PARK7,0.3363900550470955
RERE,0.28516192001329693
ENO1,0.8144133716807243
H6PD,0.37127749104116325
SLC25A33,0.28924899020325173
PIK3CD,0.029766663479063416
CLSTN1,0.021263942299954475
CTNNBIP1,0.6224339330859469
LZIC,0.12487437216520202
NMNAT1,0.020884686477660844
RBP7,2.132987470145391
UBE4B,0.13573810851465004
KIF1B,0.36477529376872553
PGD,0.13694713832710023
APITD1,0.3728434416523322
DFFA,0.14504890488322833
PEX14,0.5927518932456358
TARDBP,0.13581463487741902
SRM,0.08462379187616376
EXOSC10,0.30252664872627844
MTOR,0.03108946810633723
UBIAD1,0.25331441732843096
FBXO44,0.024168483823975274
FBXO6,0.12447653401129785
MAD2L2,0.4388046542176185
AGTRAP,0.3267074363758833
MTHFR,0.1829918644908241
KIAA2013,0.06145859268099832
PLOD1,0.18576836052466147
MFN2,0.17151765954466278
MIIP,0.06703932725769535
TNFRSF1B,0.21687658488109454
VPS13D,0.0188081403302153
DHRS3,0.06381051137764812
PRDM2,0.03373042665727678
EFHD2,0.141394235031623
CASP9,0.09847029061997394
DNAJC16,0.14532646031866187
AGMAT,0.09833866637490672
DDI2,0.1855707787636064
PLEKHM2,0.02275152474610665
UQCRHL,0.033995906037659306
FLJ37453,0.25558560263468094
SPEN,0.07414472231462971
ZBTB17,0.3312632569852163
ARHGEF19,0.028867933031228594
FBXO42,0.2727331133038897
SZRD1,0.32082860537458313
NECAP2,0.4403563391143923
CROCC,0.002880704730870327
RP11-108M9.4,0.02005683588300799
ATP13A2,0.11186026948618596
SDHB,0.036388019986739434
PADI2,0.3743795121096176
PADI4,0.09070252949194815
RCC2,0.14714334232285128
UBR4,0.5283987216867431
EMC1,0.4586690158501471
MRTO4,0.1180362062276149
AKR7A2,0.9495599553454466
PQLC2,0.3347339902515776
CAPZB,0.26808074182504815
MINOS1,0.7751391327755719
NBL1,0.06691836287963314
TMCO4,0.03650273626896059
MUL1,0.043752081859604976
CDA,0.24304545267355407
PINK1,0.41070327788621647
DDOST,0.25655764287039245
HP1BP3,0.11198931413153689
EIF4G3,0.18343017760184133
ECE1,0.2079771308993547
USP48,0.05772590789061575
LINC00339,0.11471117905400478
CDC42,0.8934898059333481
KDM1A,0.2421633114861917
LUZP1,0.11624068893944588
HNRNPR,0.31246980809659547
TCEA3,0.010844677993659903
ID3,0.29331615801652683
MDS2,0.0991429580688337
RPL11,1.4402098764128228
TCEB3,0.05723430296280535
TCEB3-AS1,0.07672859767907422
PITHD1,0.014552474306218735
LYPLA2,0.44178080011690984
GALE,0.21919292050660952
HMGCL,0.07282723078940959
FUCA1,0.3837564509160767
CNR2,0.08417540561936117
PNRC2,0.7439061685811712
SRSF10,0.1002588129700466
NIPAL3,0.3507389097124333
RCAN3,0.17601089230211606
RP4-594I10.3,0.20705641097933977
SRRM1,0.04385383764344449
CLIC4,0.4342310862541999
RUNX3,0.13959567110105361
SYF2,0.03698987379027781
RSRP1,0.02436521110349582
TMEM50A,0.38530925155310486
TMEM57,0.00734009034609666
LDLRAP1,0.039148413998395915
MAN1C1,0.08967011130138856
RP1-187B23.1,0.02647539579275663
SEPN1,0.03481923520261767
MTFR1L,0.033225743176133776
PAQR7,0.7390795427782803
STMN1,1.3639129290026588
PDIK1L,0.11495298320179372
ZNF593,0.13671879415623078
CEP85,0.002142843583072111
SH3BGRL3,1.559702568192145
UBXN11,0.39413457452617323
CD52,2.4636956315487075
DHDDS,0.03796994671410075
HMGN2,2.9310632289226946
RPS6KA1,0.2839404334547424
ARID1A,0.12598050457159657
PIGV,0.03247948945739669
ZDHHC18,0.2127719714642291
GPN2,0.09189166141059699
GPATCH3,0.3965425261499338
NUDC,2.9259789135140406
WDTC1,0.20529437593024893
TMEM222,0.3297584429591296
SYTL1,1.0182136488998128
WASF2,0.04413570658906939
AHDC1,0.1404306676935133
FGR,0.611334753458291
IFI6,0.327138708858615
FAM76A,0.04043313709391722
STX12,0.06997202583637123
PPP1R8,0.21594478730937333
THEMIS2,0.05199237242501573
RPA2,0.05003282158146155
XKR8,0.205747796684156
EYA3,0.07177372245040274
PTAFR,0.6074815799248092
DNAJC8,0.19468822338256303
ATPIF1,0.18615355057932967
RP5-1092A3.4,0.09979605665374643
PHACTR4,0.1084629373075485
RCC1,0.029930200091826932
TRNAU1AP,0.050190216842770974
SNHG12,0.019154172731170996
TAF12,0.1446221423736264
GMEB1,0.06936249480422554
YTHDF2,0.3220677885440445
EPB41,0.283582078003602
SRSF4,0.11799760247506179
MECR,0.34378156692451545
LAPTM5,0.5894137358159485
PUM1,0.04682091452080075
SNRNP40,0.055873375409265895
ZCCHC17,0.00953636440055238
PEF1,0.07907435099914358
PTP4A2,0.3101633316776488
KHDRBS1,0.33900741710457877
TMEM39B,0.03426198228834728
KPNA6,0.05172515355222284
TXLNA,0.01658096129856195
CCDC28B,0.7233404967641718
TMEM234,0.022400186673460123
EIF3I,0.029962220481228836
LCK,0.03515891657398334
HDAC1,0.061468615589423306
MARCKSL1,0.05631251327098439
BSDC1,0.049637975331971715
ZBTB8OS,0.1909401550079017
RBBP4,0.366855507941348
SYNC,0.1503723866137025
YARS,0.17169046592779957
S100PBP,0.032397245750102575
RNF19B,0.01918061457615339
AK2,0.3803829402923432
ZNF362,0.024830517803705508
PHC2,0.01574991214785344
SMIM12,0.037900754249406685
ZMYM6,0.11135664194647664
ZMYM1,0.3031753192540953
SFPQ,0.1084874389864797
ZMYM4,0.02611376677331848
